,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HIGH-POINT_homegame,HIGH-POINT_homegame2,HIGH-POINT_home,HIGH-POINT_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-07-19-william-mary,26.9,7,6.7,2,111.3,74.2,23,0.483,60,0.433,26,0.317,19,0.579,11,1,200,97.2,30.6,11,20,69,,12.7,9,0.183,11,0.545,6,50.7,34,0.5,16.0,13,49,0.408,20,0.0,0,"November 7, 2018",51.9,14,14.3,7,97.2,69.4,25,0.573,55,0.491,27,0.418,23,0.696,16,0,200,111.3,25.8,8,19,79,,4.2,3,0.455,25,0.36,9,49.3,33,0.599,17.7,14,30,0.6,18,1.0,1,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",HIGH-POINT,High Point,71.5,Home,WILLIAM-MARY,William & Mary,High Point,big-south,0,False,False,False,Away,False,6,20,60,34,67,9,18,55,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-14-high-point,42.3,11,12.1,4,101.7,75.0,18,0.5820000000000001,55,0.473,26,0.145,8,0.5,4,1,200,115.3,40.0,12,13,68,,10.2,6,0.455,25,0.48,12,55.6,30,0.578,17.0,12,30,0.467,14,0.5,1,"November 10, 2018",50.0,12,10.0,3,115.3,60.0,18,0.565,46,0.522,24,0.28300000000000003,13,0.615,8,2,200,101.7,25.0,6,12,60,,15.3,9,0.28300000000000003,13,0.308,4,44.4,24,0.575,20.1,13,33,0.606,20,0.0,0,"Millis Center, High Point, North Carolina",HIGH-POINT,High Point,59.0,Away,WOFFORD,Wofford,High Point,big-south,1,False,True,True,Home,False,4,20,46,24,54,12,14,55,0,1,6,20,60,0.48333333333333334,34,67,0.5074626865671642,9,18,55,0.5727272727272728,0.0
2,2018-11-16-18-high-point,45.0,9,6.5,2,96.8,66.7,16,0.5,45,0.444,20,0.42200000000000004,19,0.579,11,1,200,90.3,20.0,5,18,56,,4.8,3,0.4,18,0.278,5,42.9,21,0.518,17.1,11,27,0.556,15,0.667,2,"November 16, 2018",40.0,8,14.8,4,90.3,80.0,20,0.478,46,0.435,20,0.457,21,0.762,16,2,200,96.8,33.3,8,24,60,,11.3,7,0.326,15,0.267,4,57.1,28,0.536,21.4,15,31,0.516,16,0.33299999999999996,1,"Gateway Christian Academy, Bimini",SOUTH-DAKOTA,South Dakota,61.5,Home,HIGH-POINT,High Point,High Point,big-south,2,True,False,True,Home,True,4,16,46,28,49,5,15,45,1,0,10,40,106,0.5188679245283019,58,121,0.4793388429752066,21,32,110,0.5772727272727273,0.0
3,2018-11-17-20-high-point,54.5,12,4.3,1,92.2,69.0,20,0.5429999999999999,47,0.46799999999999997,22,0.617,29,0.586,17,1,200,106.3,20.0,5,18,68,,7.8,5,0.38299999999999995,18,0.389,7,46.3,25,0.5589999999999999,13.1,9,29,0.517,15,0.8,4,"November 17, 2018",50.0,10,10.3,3,106.3,80.0,20,0.521,47,0.426,20,0.40399999999999997,19,0.526,10,3,200,92.2,31.0,9,26,59,,3.1,2,0.511,24,0.375,9,53.7,29,0.527,23.5,17,23,0.478,11,0.25,1,"Gateway Christian Academy, Bimini",HIGH-POINT,High Point,64.4,Away,MARYLAND-BALTIMORE-COUNTY,UMBC,High Point,big-south,3,False,True,True,Home,False,9,11,47,29,54,7,15,47,0,1,14,56,152,0.506578947368421,86,170,0.5058823529411764,26,47,155,0.5548387096774193,0.3333333333333333
4,2018-11-19-18-air-force,36.0,9,3.2,1,98.4,66.7,22,0.509,55,0.455,25,0.327,18,0.722,13,3,200,109.5,40.0,12,16,69,,9.5,6,0.309,17,0.353,6,54.0,34,0.5429999999999999,13.7,10,38,0.5,19,0.4,2,"November 19, 2018",54.5,12,5.3,2,109.5,60.0,18,0.455,55,0.4,22,0.29100000000000004,16,0.75,12,3,200,98.4,33.3,11,20,62,,3.2,2,0.436,24,0.25,6,46.0,29,0.495,16.2,12,31,0.516,16,0.4,2,"Gateway Christian Academy, Bimini",AIR-FORCE,Air Force,62.6,Away,HIGH-POINT,High Point,High Point,big-south,4,False,False,False,Away,True,6,19,55,34,63,6,16,55,1,0,23,67,199,0.5100502512562815,115,224,0.5133928571428571,33,62,202,0.551980198019802,0.25
5,2018-11-24-17-east-carolina,52.6,10,3.4,1,86.7,90.9,20,0.42,50,0.38,19,0.46,23,0.565,13,3,200,91.7,34.5,10,11,55,,13.3,8,0.28,14,0.28600000000000003,4,58.8,30,0.451,13.0,9,36,0.41700000000000004,15,0.5,3,"November 24, 2018",52.6,10,8.3,3,91.7,65.5,19,0.47700000000000004,43,0.442,19,0.326,14,0.7859999999999999,11,3,200,86.7,9.1,2,19,52,,6.7,4,0.326,14,0.214,3,41.2,21,0.524,19.6,12,29,0.552,16,0.5710000000000001,4,"Williams Arena at Minges Coliseum, Greenville, North Carolina",EAST-CAROLINA,East Carolina,59.8,Away,HIGH-POINT,High Point,High Point,big-south,5,False,False,False,Away,True,4,15,50,30,51,3,16,43,1,0,29,86,254,0.5098425196850394,149,287,0.519163763066202,39,78,257,0.5311284046692607,0.4
6,2018-11-27-19-citadel,61.8,21,14.3,3,141.8,78.3,18,0.444,81,0.42,34,0.259,21,0.7140000000000001,15,4,200,110.1,48.9,22,17,87,,11.4,9,0.34600000000000003,28,0.14300000000000002,4,58.8,40,0.478,11.7,12,53,0.5660000000000001,30,0.429,3,"November 27, 2018",71.1,27,15.1,8,110.1,51.1,23,0.8109999999999999,61,0.623,38,0.27899999999999997,17,0.765,13,2,200,141.8,21.7,5,17,112,,7.6,6,0.6559999999999999,40,0.575,23,41.2,28,0.8109999999999999,16.0,13,21,0.7140000000000001,15,0.7140000000000001,5,"McAlister Field House, Charleston, South Carolina",HIGH-POINT,High Point,79.0,Home,CITADEL,Citadel,High Point,big-south,6,False,False,False,Away,False,4,30,81,40,68,23,15,61,0,1,33,101,304,0.49506578947368424,179,338,0.5295857988165681,42,94,300,0.5233333333333333,0.5
7,2018-12-01-14-high-point,34.6,9,14.6,6,92.0,82.8,24,0.426,68,0.382,26,0.235,16,0.75,12,4,200,93.3,24.4,10,21,70,,10.7,8,0.324,22,0.273,6,48.6,34,0.46299999999999997,10.7,9,46,0.435,20,0.5,4,"December 1, 2018",36.4,8,8.7,4,93.3,75.6,31,0.47100000000000003,51,0.431,22,0.569,29,0.7240000000000001,21,5,200,92.0,17.2,5,14,69,,6.7,5,0.196,10,0.4,4,51.4,36,0.5329999999999999,19.0,15,41,0.439,18,0.375,3,"Millis Center, High Point, North Carolina",HIGH-POINT,High Point,74.7,Away,EASTERN-KENTUCKY,Eastern Kentucky,High Point,big-south,7,False,True,True,Home,False,4,18,51,36,70,6,20,68,0,1,37,131,385,0.4844155844155844,219,406,0.5394088669950738,65,109,361,0.5720221606648199,0.42857142857142855
8,2018-12-04-20-valparaiso,29.2,7,9.1,3,81.5,71.1,27,0.446,56,0.429,24,0.107,6,0.833,5,5,200,84.6,11.1,3,18,55,,9.2,6,0.23199999999999998,13,0.154,2,46.2,30,0.467,17.0,12,43,0.512,22,0.444,4,"December 4, 2018",55.6,10,16.3,7,84.6,88.9,24,0.355,55,0.327,18,0.364,20,0.7,14,4,200,81.5,28.9,11,9,53,,10.8,7,0.4,22,0.136,3,53.8,35,0.41100000000000003,12.4,9,33,0.455,15,0.556,5,"Athletics-Recreation Center, Valparaiso, Indiana",VALPARAISO,Valparaiso,65.2,Away,HIGH-POINT,High Point,High Point,big-south,8,False,False,False,Away,True,2,22,56,30,65,3,15,55,1,0,41,149,436,0.4827981651376147,255,476,0.5357142857142857,71,129,429,0.548951048951049,0.375
9,2018-12-15-19-high-point,54.2,13,0.0,0,134.4,64.7,11,0.5379999999999999,53,0.45299999999999996,24,0.151,8,0.25,2,9,200,92.2,26.7,8,10,59,,6.3,4,0.509,27,0.33299999999999996,9,40.4,19,0.519,23.1,17,26,0.5770000000000001,15,0.25,3,"December 15, 2018",55.6,20,23.1,6,92.2,73.3,22,0.75,54,0.667,36,0.16699999999999998,9,0.556,5,5,200,134.4,35.3,6,14,86,,14.1,9,0.33299999999999996,18,0.5,9,59.6,28,0.738,14.7,10,36,0.75,27,0.5,5,"Millis Center, High Point, North Carolina",WESTERN-CAROLINA,Western Carolina,64.0,Home,HIGH-POINT,High Point,High Point,big-south,9,True,False,True,Home,True,9,27,54,28,47,9,15,53,1,0,43,171,492,0.47865853658536583,285,541,0.5268022181146026,74,144,484,0.5268595041322314,0.4444444444444444
