,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WESTERN-MICHIGAN_homegame,WESTERN-MICHIGAN_homegame2,WESTERN-MICHIGAN_home,WESTERN-MICHIGAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-western-michigan,40.0,10,2.4,1,117.1,46.3,19,0.436,70,0.35700000000000004,25,0.386,27,0.556,15,1,200,100.0,28.9,13,22,76,,9.2,7,0.47100000000000003,33,0.33299999999999996,11,37.2,32,0.45899999999999996,9.9,9,37,0.37799999999999995,14,0.0,0,"November 6, 2018",64.5,20,13.5,5,100.0,71.1,32,0.53,66,0.47,31,0.424,28,0.679,19,0,200,117.1,53.7,22,21,89,,3.9,3,0.364,24,0.33299999999999996,8,62.8,54,0.561,16.1,15,42,0.5479999999999999,23,1.0,1,"University Arena, Kalamazoo, Michigan",DETROIT-MERCY,Detroit,75.6,Home,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac,0,True,False,True,Home,True,8,23,66,54,86,11,14,70,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-16-mississippi,75.0,15,0.0,0,121.6,60.0,15,0.48,49,0.408,20,0.429,21,0.81,17,1,200,86.5,27.3,6,18,64,,5.4,4,0.38799999999999996,19,0.368,7,44.7,21,0.5429999999999999,29.2,24,30,0.433,13,0.5,1,"November 10, 2018",42.4,14,16.7,5,86.5,72.7,16,0.623,61,0.541,33,0.295,18,0.778,14,0,200,121.6,40.0,10,20,90,,20.3,15,0.361,22,0.455,10,55.3,26,0.647,13.8,11,39,0.59,23,1.0,1,"The Pavilion at Ole Miss, Oxford, Mississippi",WESTERN-MICHIGAN,Western Michigan,73.8,Home,MISSISSIPPI,Ole Miss,Western Michigan,mac,1,False,False,False,Away,False,7,13,49,21,47,10,23,61,0,1,8,23,66,0.5303030303030303,54,86,0.627906976744186,11,14,70,0.4357142857142857,1.0
2,2018-11-13-19-oakland,50.0,14,12.8,5,91.7,85.4,35,0.484,62,0.452,28,0.516,32,0.7809999999999999,25,1,225,101.2,31.0,9,20,85,,9.5,8,0.306,19,0.21100000000000002,4,62.9,44,0.551,15.5,14,43,0.5579999999999999,24,0.667,2,"November 13, 2018",72.0,18,14.0,6,101.2,69.0,20,0.44799999999999995,67,0.373,25,0.358,24,0.708,17,2,225,91.7,14.6,6,24,77,,7.1,6,0.418,28,0.35700000000000004,10,37.1,26,0.491,14.4,13,39,0.385,15,0.0,0,"Athletics Center O'rena, Rochester, Michigan",OAKLAND,Oakland,74.5,Away,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac,2,False,False,False,Away,True,4,24,62,44,70,10,15,67,1,0,15,36,115,0.508695652173913,75,133,0.5639097744360902,21,37,131,0.5229007633587787,0.5
3,2018-11-17-14-western-michigan,61.1,11,0.0,0,141.4,60.0,15,0.402,56,0.321,18,0.179,10,0.7,7,0,200,74.3,16.1,5,24,52,,8.6,6,0.536,30,0.3,9,35.7,20,0.428,20.9,16,26,0.34600000000000003,9,0.0,0,"November 17, 2018",54.8,17,7.7,2,74.3,83.9,26,0.722,54,0.574,31,0.593,32,0.6559999999999999,21,1,200,141.4,40.0,10,9,99,,12.9,9,0.537,29,0.552,16,64.3,36,0.715,12.8,10,25,0.6,15,0.75,3,"University Arena, Kalamazoo, Michigan","Aquinas
			","Aquinas
			",70.5,Home,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac,3,True,False,True,Home,True,16,15,54,36,56,9,9,56,1,0,19,60,177,0.5,119,203,0.5862068965517241,31,52,198,0.49747474747474746,0.6666666666666666
4,2018-11-19-19-cincinnati,53.3,8,3.9,2,109.9,61.3,19,0.4,45,0.33299999999999996,15,0.6890000000000001,31,0.516,16,2,200,73.2,15.2,5,18,52,,5.6,4,0.444,20,0.3,6,37.5,24,0.435,22.5,17,25,0.36,9,0.6,3,"November 19, 2018",63.3,19,16.0,4,73.2,84.8,28,0.508,64,0.469,30,0.266,17,0.765,13,1,200,109.9,38.7,12,21,78,,14.1,10,0.203,13,0.385,5,62.5,40,0.541,13.3,11,51,0.49,25,0.75,3,"Fifth Third Arena, Cincinnati, Ohio",WESTERN-MICHIGAN,Western Michigan,71.4,Home,CINCINNATI,Cincinnati,Western Michigan,mac,4,False,False,False,Away,False,6,9,45,24,64,5,25,64,0,1,35,75,231,0.551948051948052,155,259,0.5984555984555985,40,61,254,0.4763779527559055,0.75
5,2018-11-23-12-western-michigan,34.6,9,10.3,3,123.2,63.2,12,0.475,61,0.426,26,0.295,18,0.667,12,5,200,101.4,27.3,9,21,70,,14.5,10,0.344,21,0.28600000000000003,6,40.4,21,0.503,10.4,8,40,0.5,20,0.0,0,"November 23, 2018",41.4,12,10.0,4,101.4,72.7,24,0.667,51,0.569,29,0.47100000000000003,24,0.708,17,2,200,123.2,36.8,7,18,85,,2.9,2,0.431,22,0.455,10,59.6,31,0.6809999999999999,18.5,14,29,0.655,19,0.667,4,"The Arena, Niceville, Florida",SOUTHERN,Southern,69.0,Home,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac,5,True,False,True,Home,True,10,19,51,31,52,6,20,61,1,0,41,84,276,0.5271739130434783,179,323,0.5541795665634675,45,86,318,0.4827044025157233,0.6
6,2018-11-24-13-western-michigan,43.5,10,14.3,5,83.6,72.7,24,0.41700000000000004,66,0.348,23,0.136,9,0.778,7,4,225,84.9,17.9,7,15,62,,6.8,5,0.439,29,0.31,9,43.1,31,0.441,12.5,10,37,0.37799999999999995,14,0.5,4,"November 24, 2018",41.7,10,8.1,3,84.9,82.1,32,0.45799999999999996,59,0.40700000000000003,24,0.18600000000000003,11,0.636,7,3,225,83.6,27.3,9,15,61,,4.1,3,0.40700000000000003,24,0.25,6,56.9,41,0.475,22.0,18,35,0.514,18,0.5710000000000001,4,"The Arena, Niceville, Florida",WESTERN-MICHIGAN,Western Michigan,65.1,Away,NICHOLLS-STATE,Nicholls State,Western Michigan,mac,6,False,True,True,Home,False,6,18,59,41,72,9,14,66,0,1,51,103,327,0.5489296636085627,210,375,0.56,51,106,379,0.4815303430079156,0.6666666666666666
7,2018-12-01-14-western-michigan,55.2,16,10.3,4,94.3,59.0,23,0.524,62,0.46799999999999997,29,0.145,9,0.667,6,6,200,101.4,23.3,7,24,71,,8.6,6,0.29,18,0.389,7,43.5,30,0.536,10.8,8,44,0.5,22,0.25,2,"December 1, 2018",38.1,8,6.8,3,101.4,76.7,23,0.375,60,0.35,21,0.517,31,0.677,21,4,200,94.3,41.0,16,13,66,,4.3,3,0.35,21,0.14300000000000002,3,56.5,39,0.442,15.0,13,39,0.462,18,0.5,4,"University Arena, Kalamazoo, Michigan",WESTERN-MICHIGAN,Western Michigan,69.5,Away,SOUTH-CAROLINA-UPSTATE,USC Upstate,Western Michigan,mac,7,False,True,True,Home,False,3,18,60,39,69,7,22,62,0,1,57,121,386,0.5349740932642487,251,447,0.5615212527964206,60,120,445,0.47191011235955055,0.5714285714285714
8,2018-12-08-14-youngstown-state,56.7,17,9.5,4,106.9,70.7,29,0.629,58,0.517,30,0.397,23,0.652,15,4,200,122.2,33.3,9,12,88,,4.2,3,0.534,31,0.419,13,55.9,38,0.638,16.0,13,27,0.63,17,0.556,5,"December 8, 2018",48.4,15,14.8,4,122.2,66.7,18,0.507,71,0.43700000000000006,31,0.141,10,0.5,5,8,200,106.9,29.3,12,22,77,,9.7,7,0.408,29,0.345,10,44.1,30,0.508,9.6,8,42,0.5,21,0.273,3,"Beeghly Center, Youngstown, Ohio",YOUNGSTOWN-STATE,Youngstown State,72.3,Away,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac,8,False,False,False,Away,True,13,17,58,38,68,10,21,71,1,0,60,139,446,0.5134529147982063,290,516,0.562015503875969,67,142,507,0.47830374753451677,0.5
9,2018-12-15-14-michigan,19.0,4,2.8,1,102.9,81.3,26,0.522,46,0.457,21,0.435,20,0.7,14,5,200,91.2,8.0,2,20,62,,5.9,4,0.413,19,0.316,6,49.1,28,0.5589999999999999,21.5,15,27,0.556,15,0.5,5,"December 15, 2018",33.3,8,7.4,2,91.2,92.0,23,0.509,54,0.444,24,0.46299999999999997,25,0.6,15,0,200,102.9,18.8,6,14,70,5.0,14.7,10,0.33299999999999996,18,0.389,7,50.9,29,0.531,11.0,8,36,0.47200000000000003,17,1.0,11,"Crisler Arena, Ann Arbor, Michigan",WESTERN-MICHIGAN,Western Michigan,68.2,Home,MICHIGAN,Michigan,Western Michigan,mac,9,False,False,False,Away,False,6,15,46,28,57,7,17,54,0,1,73,156,504,0.5267857142857143,328,584,0.5616438356164384,77,163,578,0.4818339100346021,0.5555555555555556
