,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CALIFORNIA-SANTA-BARBARA_homegame,CALIFORNIA-SANTA-BARBARA_homegame2,CALIFORNIA-SANTA-BARBARA_home,CALIFORNIA-SANTA-BARBARA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-22-wyoming,33.3,8,10.3,3,93.0,78.9,30,0.585,47,0.511,24,0.574,27,0.778,21,0,200,107.0,25.0,6,24,76,,4.2,3,0.40399999999999997,19,0.368,7,58.1,36,0.635,23.4,18,28,0.607,17,1.0,1,"November 6, 2018",42.9,9,3.6,1,107.0,75.0,18,0.405,58,0.36200000000000004,21,0.466,27,0.7040000000000001,19,1,200,93.0,21.1,8,20,66,,9.9,7,0.5,29,0.172,5,41.9,26,0.466,10.3,8,29,0.552,16,0.0,0,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,71.3,Away,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,0,False,False,False,Away,True,7,17,47,36,62,5,16,58,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-11-14-north-dakota-state,30.0,6,11.5,3,115.5,83.3,20,0.39799999999999996,54,0.37,20,0.5,27,0.741,20,1,200,88.7,25.0,8,22,63,,4.2,3,0.222,12,0.25,3,50.0,28,0.47100000000000003,15.4,12,42,0.405,17,0.5,1,"November 11, 2018",44.4,12,7.1,3,88.7,75.0,24,0.5820000000000001,55,0.491,27,0.4,22,0.818,18,1,200,115.5,16.7,4,23,82,,5.6,4,0.527,29,0.345,10,50.0,28,0.626,12.2,9,26,0.654,17,0.5,1,"Scheels Center, Fargo, North Dakota",CALIFORNIA-SANTA-BARBARA,UCSB,70.6,Home,NORTH-DAKOTA-STATE,North Dakota State,UC Santa Barbara,big-west,1,False,False,False,Away,False,3,17,54,28,56,10,17,55,0,1,7,17,47,0.5851063829787234,36,62,0.5806451612903226,5,16,58,0.4051724137931034,1.0
2,2018-11-13-22-california-santa-barbara,77.8,7,1.9,1,127.5,55.6,15,0.184,57,0.158,9,0.298,17,0.647,11,0,200,46.4,20.8,10,10,32,,0.0,0,0.439,25,0.12,3,33.3,25,0.24600000000000002,15.7,12,32,0.188,6,0.0,0,"November 13, 2018",66.7,26,31.3,10,46.4,79.2,38,0.619,67,0.5820000000000001,39,0.11900000000000001,8,0.625,5,1,200,127.5,44.4,12,18,88,,13.0,9,0.22399999999999998,15,0.33299999999999996,5,66.7,50,0.621,14.5,12,52,0.654,34,0.667,2,"The Thunderdome, Santa Barbara, California","Cal Lutheran
			","Cal Lutheran
			",68.9,Home,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,2,True,False,True,Home,True,5,34,67,50,75,3,6,57,1,0,10,34,101,0.48514851485148514,64,118,0.5423728813559322,15,33,113,0.4911504424778761,0.5
3,2018-11-17-17-california-santa-barbara,62.5,15,2.6,1,133.3,65.5,19,0.519,54,0.444,24,0.33299999999999996,18,0.722,13,4,200,104.5,23.1,6,12,69,,6.1,4,0.426,23,0.348,8,45.5,25,0.552,13.9,10,31,0.516,16,0.2,1,"November 17, 2018",61.8,21,12.9,4,104.5,76.9,20,0.648,61,0.557,34,0.213,13,0.6920000000000001,9,1,200,133.3,34.5,10,18,88,,7.6,5,0.361,22,0.5,11,54.5,30,0.655,10.7,8,39,0.59,23,0.75,3,"The Thunderdome, Santa Barbara, California",MONTANA-STATE,Montana State,65.9,Home,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,3,True,False,True,Home,True,11,23,61,30,55,8,16,54,1,0,15,68,168,0.5386904761904762,114,193,0.5906735751295337,18,39,170,0.38823529411764707,0.6666666666666666
4,2018-11-23-19-california-santa-barbara,36.4,8,8.3,3,100.0,69.0,20,0.379,62,0.355,22,0.516,32,0.688,22,2,200,90.8,40.0,16,36,69,,3.9,3,0.371,23,0.13,3,52.2,36,0.447,17.4,16,39,0.48700000000000004,19,0.5,2,"November 23, 2018",58.3,14,10.3,4,90.8,60.0,24,0.48100000000000004,52,0.462,24,0.8079999999999999,42,0.619,26,1,200,100.0,31.0,9,25,76,,7.9,6,0.308,16,0.125,2,47.8,33,0.528,14.5,12,36,0.611,22,0.8,4,"CenturyLink Arena, Boise, Idaho",PORTLAND-STATE,Portland State,76.1,Home,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,4,True,False,True,Home,True,2,22,52,33,69,3,19,62,1,0,26,91,229,0.5676855895196506,144,248,0.5806451612903226,26,55,224,0.41964285714285715,0.75
5,2018-11-24-21-california-santa-barbara,44.4,8,6.3,3,104.8,51.4,18,0.38,54,0.33299999999999996,18,0.315,17,0.8240000000000001,14,4,200,87.3,23.5,8,22,55,,9.5,6,0.444,24,0.20800000000000002,5,37.7,26,0.44299999999999995,11.5,8,30,0.433,13,0.2,1,"November 24, 2018",45.5,10,13.3,4,87.3,76.5,26,0.375,60,0.36700000000000005,22,0.4,24,0.875,21,1,200,104.8,48.6,17,14,66,,4.8,3,0.2,12,0.083,1,62.3,43,0.462,12.4,10,48,0.43799999999999994,21,0.833,5,"CenturyLink Arena, Boise, Idaho",IDAHO,Idaho,63.2,Home,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,5,True,False,True,Home,True,1,21,60,43,69,5,13,54,1,0,28,113,281,0.5516014234875445,177,317,0.5583596214511041,29,74,286,0.41083916083916083,0.8
6,2018-11-29-22-california-santa-barbara,45.0,9,0.0,0,115.4,55.2,16,0.449,49,0.408,20,0.49,24,0.583,14,1,200,89.2,20.6,7,21,58,,7.7,5,0.28600000000000003,14,0.28600000000000003,4,36.5,23,0.48,16.8,12,35,0.457,16,0.75,3,"November 29, 2018",58.3,14,11.4,4,89.2,79.4,27,0.539,51,0.47100000000000003,24,0.51,26,0.769,20,1,200,115.4,44.8,13,18,75,,6.2,4,0.353,18,0.389,7,63.5,40,0.5920000000000001,19.4,15,33,0.515,17,0.857,6,"The Thunderdome, Santa Barbara, California",SACRAMENTO-STATE,Sacramento State,65.4,Home,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,6,True,False,True,Home,True,7,17,51,40,63,4,16,49,1,0,29,134,341,0.5205278592375366,220,386,0.5699481865284974,34,87,340,0.40588235294117647,0.8333333333333334
7,2018-12-02-20-washington,54.5,12,3.4,1,95.7,80.0,24,0.491,53,0.415,22,0.396,21,0.524,11,2,200,90.0,29.4,10,23,63,,11.4,8,0.377,20,0.4,8,53.1,34,0.5,20.4,16,33,0.424,14,0.75,6,"December 2, 2018",61.9,13,15.2,5,90.0,70.6,24,0.47,50,0.42,21,0.56,28,0.7140000000000001,20,2,200,95.7,20.0,6,20,67,,14.3,10,0.42,21,0.23800000000000002,5,46.9,30,0.529,18.3,14,29,0.552,16,0.75,6,"Alaska Airlines Arena, Seattle, Washington",CALIFORNIA-SANTA-BARBARA,UCSB,70.1,Home,WASHINGTON,Washington,UC Santa Barbara,big-west,7,False,False,False,Away,False,8,14,53,34,64,5,16,50,0,1,36,151,392,0.5229591836734694,260,449,0.579064587973274,38,103,389,0.41131105398457585,0.8571428571428571
8,2018-12-08-22-california-santa-barbara,38.9,7,3.1,1,93.2,69.2,18,0.39799999999999996,54,0.33299999999999996,18,0.09300000000000001,5,0.4,2,7,200,76.3,15.6,5,20,45,,6.8,4,0.29600000000000004,16,0.43799999999999994,7,39.7,23,0.39899999999999997,15.1,10,38,0.289,11,0.222,2,"December 8, 2018",55.0,11,13.2,5,76.3,84.4,27,0.489,44,0.455,20,0.455,20,0.6,12,2,200,93.2,30.8,8,14,55,,0.0,0,0.273,12,0.25,3,60.3,35,0.514,18.5,12,32,0.531,17,0.778,7,"The Thunderdome, Santa Barbara, California",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,59.4,Home,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,8,True,False,True,Home,True,3,17,44,35,58,7,11,54,1,0,44,165,445,0.5191011235955056,294,513,0.5730994152046783,43,119,439,0.417995444191344,0.75
9,2018-12-15-15-rice,54.8,17,12.1,4,115.6,62.2,23,0.644,59,0.525,31,0.40700000000000003,24,0.958,23,2,225,128.6,12.0,3,26,99,,11.7,9,0.49200000000000005,29,0.483,14,41.9,26,0.703,11.5,9,30,0.5670000000000001,17,0.8,8,"December 15, 2018",56.7,17,10.0,3,128.6,88.0,22,0.5820000000000001,61,0.49200000000000005,30,0.557,34,0.529,18,7,225,115.6,37.8,14,18,89,,5.2,4,0.45899999999999996,28,0.39299999999999996,11,58.1,36,0.5770000000000001,15.6,14,33,0.5760000000000001,19,0.364,4,"Tudor Fieldhouse, Houston, Texas",RICE,Rice,68.2,Away,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,9,False,False,False,Away,True,14,17,59,26,62,11,19,61,1,0,47,182,489,0.516359918200409,329,571,0.5761821366024519,50,130,493,0.4158215010141988,0.7777777777777778
