,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TOWSON_homegame,TOWSON_homegame2,TOWSON_home,TOWSON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-virginia,7.7,1,0.0,0,130.4,64.5,20,0.366,41,0.317,13,0.659,27,0.444,12,1,203,75.0,34.3,12,18,42,,5.4,3,0.341,14,0.28600000000000003,4,48.5,32,0.39,20.9,14,27,0.33299999999999996,9,0.0,0,"November 6, 2018",73.1,19,11.1,3,75.0,65.7,23,0.574,54,0.48100000000000004,26,0.33299999999999996,18,0.611,11,0,203,130.4,35.5,11,19,73,5.0,10.7,6,0.48100000000000004,26,0.385,10,51.5,34,0.584,7.5,5,28,0.5710000000000001,16,1.0,1,"John Paul Jones Arena, Charlottesville, Virginia",TOWSON,Towson,55.4,Home,VIRGINIA,Virginia,Towson,colonial,0,False,False,False,Away,False,4,9,41,32,66,10,16,54,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-11-16-towson,52.4,11,4.9,2,124.0,65.7,23,0.44,58,0.36200000000000004,21,0.31,18,0.833,15,0,200,88.0,20.0,7,21,66,,4.0,3,0.517,30,0.3,9,42.9,30,0.496,21.4,18,28,0.429,12,0.0,0,"November 11, 2018",47.1,16,14.3,4,88.0,80.0,28,0.585,65,0.523,34,0.415,27,0.63,17,1,200,124.0,34.3,12,22,93,,14.7,11,0.369,24,0.33299999999999996,8,57.1,40,0.597,8.3,7,41,0.634,26,0.5,1,"SECU Arena, Towson, Maryland","Wesley
			","Wesley
			",75.2,Home,TOWSON,Towson,Towson,colonial,1,True,False,True,Home,True,8,26,65,40,70,9,12,58,1,0,4,9,41,0.36585365853658536,32,66,0.48484848484848486,10,16,54,0.5740740740740741,0.0
2,2018-11-16-20-pepperdine,45.5,10,9.4,3,96.1,87.0,20,0.42,56,0.39299999999999996,22,0.46399999999999997,26,0.6920000000000001,18,2,200,84.4,48.5,16,19,65,,11.7,9,0.28600000000000003,16,0.188,3,64.3,36,0.475,26.2,24,40,0.475,19,0.33299999999999996,1,"November 16, 2018",47.8,11,2.5,1,84.4,51.5,17,0.529,51,0.451,23,0.41200000000000003,21,0.9520000000000001,20,1,200,96.1,13.0,3,22,74,,14.3,11,0.373,19,0.42100000000000004,8,35.7,20,0.607,24.9,20,32,0.469,15,0.667,2,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",TOWSON,Towson,77.2,Home,PEPPERDINE,Pepperdine,Towson,colonial,2,False,False,False,Away,False,3,19,56,36,56,8,15,51,0,1,12,35,106,0.5,72,136,0.5294117647058824,19,28,112,0.5044642857142857,0.5
3,2018-11-17-14-towson,54.8,17,0.0,0,110.9,73.3,22,0.59,61,0.508,31,0.295,18,0.722,13,1,200,132.8,53.3,16,18,85,,4.7,3,0.475,29,0.345,10,63.3,38,0.611,10.4,8,32,0.6559999999999999,21,0.75,3,"November 17, 2018",66.7,18,0.0,0,132.8,46.7,14,0.534,59,0.45799999999999996,27,0.237,14,0.5710000000000001,8,3,200,110.9,26.7,8,19,71,,6.3,4,0.373,22,0.409,9,36.7,22,0.541,10.9,8,37,0.486,18,0.25,1,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",TOWSON,Towson,63.6,Away,FLORIDA-ATLANTIC,Florida Atlantic,Towson,colonial,3,False,True,True,Home,False,9,18,59,22,60,10,21,61,0,1,15,54,162,0.4722222222222222,108,192,0.5625,27,43,163,0.5122699386503068,0.3333333333333333
4,2018-11-18-11-towson,69.0,20,5.4,2,76.1,76.7,23,0.5479999999999999,63,0.46,29,0.127,8,0.875,7,3,200,113.4,19.4,6,10,76,,9.0,6,0.47600000000000003,30,0.36700000000000005,11,47.5,29,0.569,9.5,7,33,0.545,18,0.4,2,"November 18, 2018",30.0,6,3.0,1,113.4,80.6,25,0.425,53,0.377,20,0.132,7,0.857,6,4,200,76.1,23.3,7,17,51,,7.5,5,0.302,16,0.313,5,52.5,32,0.45299999999999996,23.3,17,37,0.405,15,0.2,1,"Kendal Isaacs Gymnasium, Nassau, The Bahamas",TOWSON,Towson,67.1,Away,NORTH-DAKOTA-STATE,North Dakota State,Towson,colonial,4,False,True,True,Home,False,5,15,53,32,61,11,18,63,0,1,24,72,221,0.48868778280542985,130,252,0.5158730158730159,37,64,224,0.5334821428571429,0.25
5,2018-11-25-18-towson,69.6,16,5.6,2,119.7,61.3,19,0.5,55,0.418,23,0.364,20,0.7,14,5,200,97.2,16.1,5,23,69,,5.6,4,0.473,26,0.34600000000000003,9,38.7,24,0.535,16.9,13,29,0.483,14,0.28600000000000003,2,"November 25, 2018",35.7,10,20.7,6,97.2,83.9,26,0.561,57,0.491,28,0.509,29,0.7240000000000001,21,4,200,119.7,38.7,12,17,85,,7.0,5,0.368,21,0.381,8,61.3,38,0.6,13.6,11,36,0.556,20,0.33299999999999996,2,"SECU Arena, Towson, Maryland",LOYOLA-MD,Loyola (MD),71.1,Home,TOWSON,Towson,Towson,colonial,5,True,False,True,Home,True,8,20,57,38,62,9,14,55,1,0,29,87,274,0.4762773722627737,162,313,0.5175718849840255,48,82,287,0.5365853658536586,0.2
6,2018-11-30-19-towson,71.4,15,7.0,3,103.2,65.6,21,0.51,52,0.40399999999999997,21,0.385,20,0.85,17,3,200,112.9,37.5,12,19,70,,4.8,3,0.5379999999999999,28,0.39299999999999996,11,51.6,33,0.569,14.1,10,24,0.41700000000000004,10,0.625,5,"November 30, 2018",35.0,7,16.7,4,112.9,62.5,20,0.402,56,0.35700000000000004,20,0.39299999999999996,22,0.8640000000000001,19,5,200,103.2,34.4,11,20,64,,8.1,5,0.23199999999999998,13,0.385,5,48.4,31,0.48200000000000004,12.1,9,43,0.349,15,0.28600000000000003,2,"SECU Arena, Towson, Maryland",TOWSON,Towson,62.0,Away,VERMONT,Vermont,Towson,colonial,6,False,True,True,Home,False,5,15,56,31,64,11,10,52,0,1,37,107,331,0.4909365558912387,200,375,0.5333333333333333,57,96,342,0.5307017543859649,0.3333333333333333
7,2018-12-05-19-george-washington,50.0,13,4.3,1,104.6,88.0,22,0.491,57,0.456,26,0.21100000000000002,12,0.667,8,6,200,98.5,41.4,12,20,64,,7.7,5,0.281,16,0.25,4,63.0,34,0.51,19.4,15,41,0.537,22,0.25,2,"December 5, 2018",33.3,7,2.4,1,98.5,58.6,17,0.595,42,0.5,21,0.619,26,0.6920000000000001,18,7,200,104.6,12.0,3,13,68,,10.8,7,0.452,19,0.42100000000000004,8,37.0,20,0.626,19.6,13,23,0.565,13,0.222,2,"Charles E. Smith Center, Washington, District of Columbia",TOWSON,Towson,65.0,Home,GEORGE-WASHINGTON,George Washington,Towson,colonial,7,False,False,False,Away,False,4,22,57,34,54,8,13,42,0,1,42,122,387,0.4780361757105943,231,439,0.5261958997722096,68,106,394,0.5279187817258884,0.2857142857142857
8,2018-12-08-13-towson,35.7,10,2.4,1,94.5,58.1,18,0.456,68,0.41200000000000003,28,0.294,20,0.6,12,5,200,101.4,32.4,12,12,74,,9.6,7,0.265,18,0.33299999999999996,6,44.1,30,0.47700000000000004,11.5,10,50,0.44,22,0.444,4,"December 8, 2018",48.1,13,10.0,5,101.4,67.6,25,0.518,57,0.474,27,0.21100000000000002,12,0.833,10,7,200,94.5,41.9,13,17,69,,8.2,6,0.281,16,0.313,5,55.9,38,0.55,24.3,20,41,0.537,22,0.222,2,"Royal Farms Arena, Baltimore, Maryland",TOWSON,Towson,72.6,Away,MORGAN-STATE,Morgan State,Towson,colonial,8,False,True,True,Home,False,5,22,57,38,68,6,22,68,0,1,46,144,444,0.4797297297297297,265,493,0.537525354969574,76,119,436,0.5344036697247706,0.25
9,2018-12-11-19-maryland-baltimore-county,50.0,12,9.4,3,95.0,76.2,32,0.491,58,0.414,24,0.483,28,0.821,23,7,250,100.0,33.3,10,23,80,,5.0,4,0.397,23,0.391,9,58.3,42,0.561,19.5,17,35,0.429,15,0.3,3,"December 11, 2018",63.0,17,2.9,1,100.0,66.7,20,0.451,72,0.375,27,0.306,22,0.5,11,5,250,95.0,23.8,10,26,76,,10.0,8,0.556,40,0.275,11,41.7,30,0.461,9.9,9,32,0.5,16,0.545,6,"UMBC Event Center, Baltimore, Maryland",MARYLAND-BALTIMORE-COUNTY,UMBC,63.9,Away,TOWSON,Towson,Towson,colonial,9,False,False,False,Away,True,9,15,58,42,72,11,16,72,1,0,51,166,501,0.48403193612774453,303,561,0.5401069518716578,82,141,504,0.5238095238095238,0.2222222222222222
