,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SETON-HALL_homegame,SETON-HALL_homegame2,SETON-HALL_home,SETON-HALL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-18-seton-hall,55.6,10,2.9,1,134.8,62.1,18,0.375,56,0.321,18,0.179,10,0.7,7,1,198,74.2,27.8,10,21,49,,6.1,4,0.46399999999999997,26,0.231,6,43.1,28,0.40299999999999997,20.9,16,30,0.4,12,0.0,0,"November 6, 2018",66.7,20,26.7,8,74.2,72.2,26,0.603,58,0.517,30,0.431,25,0.76,19,0,198,134.8,37.9,11,17,89,,16.7,11,0.414,24,0.41700000000000004,10,56.9,37,0.637,9.2,7,34,0.588,20,1.0,1,"Walsh Gymnasium, South Orange, New Jersey",WAGNER,Wagner,67.0,Home,SETON-HALL,Seton Hall,Seton Hall,big-east,0,True,False,True,Home,True,10,20,58,37,65,6,12,56,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-14-19-nebraska,14.3,3,7.5,3,112.7,64.1,25,0.373,59,0.35600000000000004,21,0.33899999999999997,20,0.65,13,1,200,80.3,27.0,10,20,57,,1.4,1,0.271,16,0.125,2,46.1,35,0.41600000000000004,16.1,13,43,0.442,19,0.5,1,"November 14, 2018",57.7,15,14.0,6,80.3,73.0,27,0.47600000000000003,63,0.413,26,0.429,27,0.741,20,0,200,112.7,35.9,14,16,80,,9.9,7,0.365,23,0.348,8,53.9,41,0.528,9.7,8,40,0.45,18,1.0,3,"Pinnacle Bank Arena, Lincoln, Nebraska",SETON-HALL,Seton Hall,70.7,Home,NEBRASKA,Nebraska,Seton Hall,big-east,1,False,False,False,Away,False,2,19,59,35,76,8,18,63,0,1,10,20,58,0.603448275862069,37,65,0.5692307692307692,6,12,56,0.375,1.0
2,2018-11-17-20-seton-hall,40.0,8,17.5,7,87.7,83.9,26,0.536,42,0.47600000000000003,20,0.7140000000000001,30,0.7,21,0,200,90.4,29.2,7,27,66,,11.0,8,0.19,8,0.625,5,60.0,33,0.5870000000000001,29.4,23,34,0.441,15,1.0,4,"November 17, 2018",21.1,4,11.8,4,90.4,70.8,17,0.368,57,0.33299999999999996,19,0.544,31,0.71,22,2,200,87.7,16.1,5,20,64,,11.0,8,0.298,17,0.235,4,40.0,22,0.446,10.2,8,40,0.375,15,0.33299999999999996,1,"Prudential Center, Newark, New Jersey",SETON-HALL,Seton Hall,73.5,Away,SAINT-LOUIS,Saint Louis,Seton Hall,big-east,2,False,True,True,Home,False,4,15,57,22,55,5,15,42,0,1,12,39,117,0.48717948717948717,72,141,0.5106382978723404,14,30,119,0.42857142857142855,0.5
3,2018-11-22-21-grand-canyon,53.6,15,11.5,3,108.7,83.3,25,0.6890000000000001,45,0.622,28,0.733,33,0.606,20,2,200,118.8,13.0,3,23,82,,10.1,7,0.267,12,0.5,6,52.8,28,0.6759999999999999,16.8,12,33,0.667,22,0.5,2,"November 22, 2018",72.0,18,9.1,3,118.8,87.0,20,0.545,56,0.446,25,0.28600000000000003,16,0.75,12,2,200,108.7,16.7,5,22,73,,2.9,2,0.536,30,0.36700000000000005,11,47.2,25,0.59,13.7,10,26,0.5379999999999999,14,0.6,3,"Titan Gym, Fullerton, California",GRAND-CANYON,Grand Canyon,69.1,Away,SETON-HALL,Seton Hall,Seton Hall,big-east,3,False,False,False,Away,True,6,22,45,28,53,11,14,56,1,0,16,54,174,0.4482758620689655,94,196,0.47959183673469385,19,45,161,0.45652173913043476,0.3333333333333333
4,2018-11-23-23-hawaii,52.2,12,8.0,2,83.1,91.7,22,0.47200000000000003,54,0.426,23,0.33299999999999996,18,0.722,13,2,200,98.5,26.7,8,18,64,,9.2,6,0.315,17,0.294,5,55.6,30,0.512,12.7,9,37,0.486,18,0.6,3,"November 23, 2018",55.0,11,5.4,2,98.5,73.3,22,0.5,48,0.41700000000000004,20,0.20800000000000002,10,0.6,6,2,200,83.1,8.3,2,19,54,,3.1,2,0.479,23,0.348,8,44.4,24,0.512,22.3,15,25,0.48,12,0.667,4,"Titan Gym, Fullerton, California",HAWAII,Hawaii,64.7,Away,SETON-HALL,Seton Hall,Seton Hall,big-east,4,False,False,False,Away,True,5,18,54,30,54,8,12,48,1,0,22,76,219,0.4977168949771689,122,249,0.4899598393574297,30,59,217,0.4792626728110599,0.5
5,2018-11-25-22-seton-hall,36.7,11,9.5,4,106.4,80.0,24,0.609,55,0.545,30,0.327,18,0.778,14,1,200,103.8,12.0,3,18,81,,5.1,4,0.364,20,0.35,7,49.1,27,0.637,20.3,16,35,0.657,23,0.833,5,"November 25, 2018",44.1,15,2.9,1,103.8,88.0,22,0.569,65,0.523,34,0.215,14,0.643,9,2,200,106.4,20.0,6,21,83,,6.4,5,0.354,23,0.261,6,50.9,28,0.579,15.4,13,42,0.667,28,0.667,4,"Titan Gym, Fullerton, California",MIAMI-FL,Miami (FL),77.6,Home,SETON-HALL,Seton Hall,Seton Hall,big-east,5,True,False,True,Home,True,6,28,65,28,55,7,23,55,1,0,27,94,273,0.4926739926739927,152,303,0.5016501650165016,38,71,265,0.4830188679245283,0.6
6,2018-12-01-12-seton-hall,52.0,13,15.9,7,91.5,88.6,31,0.518,57,0.439,25,0.21100000000000002,12,0.917,11,2,200,98.6,21.4,6,14,70,,5.6,4,0.474,27,0.33299999999999996,9,58.7,37,0.5579999999999999,18.4,14,30,0.5329999999999999,16,0.7140000000000001,5,"December 1, 2018",44.0,11,13.3,4,98.6,78.6,22,0.42700000000000005,62,0.40299999999999997,25,0.242,15,0.8,12,3,200,91.5,11.4,4,15,65,,8.5,6,0.29,18,0.16699999999999998,3,41.3,26,0.47,9.3,7,44,0.5,22,0.5710000000000001,4,"Prudential Center, Newark, New Jersey",SETON-HALL,Seton Hall,71.4,Away,LOUISVILLE,Louisville,Seton Hall,big-east,6,False,True,True,Home,False,3,22,62,26,63,9,16,57,0,1,33,122,338,0.507396449704142,180,358,0.5027932960893855,45,94,320,0.5046875,0.6666666666666666
7,2018-12-04-18-seton-hall,66.7,14,2.8,1,113.2,68.8,22,0.473,56,0.375,21,0.107,6,0.667,4,7,200,83.8,12.9,4,20,57,,1.5,1,0.518,29,0.379,11,41.3,26,0.484,19.3,14,27,0.37,10,0.222,2,"December 4, 2018",55.6,15,14.8,4,83.8,87.1,27,0.544,57,0.474,27,0.386,22,0.682,15,3,200,113.2,31.3,10,13,77,,8.8,6,0.368,21,0.381,8,58.7,37,0.5710000000000001,13.0,10,36,0.528,19,0.625,5,"Prudential Center, Newark, New Jersey",NEW-HAMPSHIRE,New Hampshire,68.2,Home,SETON-HALL,Seton Hall,Seton Hall,big-east,7,True,False,True,Home,True,8,19,57,37,63,11,10,56,1,0,36,144,400,0.495,206,421,0.48931116389548696,54,110,377,0.506631299734748,0.5714285714285714
8,2018-12-08-12-seton-hall,51.9,14,21.2,7,103.7,77.4,24,0.47600000000000003,62,0.435,27,0.484,30,0.8,24,2,225,102.5,29.0,9,21,83,9.0,3.7,3,0.32299999999999995,20,0.25,5,53.2,33,0.544,16.6,15,42,0.524,22,0.778,7,"December 8, 2018",55.6,15,11.9,5,102.5,71.0,22,0.551,59,0.45799999999999996,27,0.441,26,0.731,19,3,225,103.7,22.6,7,25,84,,9.9,8,0.441,26,0.423,11,46.8,29,0.589,18.5,16,33,0.485,16,0.667,6,"Madison Square Garden (IV), New York, New York",KENTUCKY,Kentucky,72.3,Home,SETON-HALL,Seton Hall,Seton Hall,big-east,8,True,False,True,Home,True,11,16,59,29,62,5,22,62,1,0,44,163,457,0.5010940919037199,243,484,0.5020661157024794,65,120,433,0.5023094688221709,0.625
9,2018-12-15-14-seton-hall,52.0,13,22.7,5,98.6,78.1,25,0.354,79,0.316,25,0.19,15,0.667,10,5,200,90.4,40.4,19,26,66,,13.7,10,0.36700000000000005,29,0.207,6,55.7,44,0.38299999999999995,10.5,10,50,0.38,19,0.5,5,"December 15, 2018",70.0,14,16.0,8,90.4,59.6,28,0.52,49,0.408,20,0.653,32,0.6559999999999999,21,3,200,98.6,21.9,7,18,72,,6.8,5,0.551,27,0.40700000000000003,11,44.3,35,0.561,14.8,11,22,0.409,9,0.7,7,"Prudential Center, Newark, New Jersey",RUTGERS,Rutgers,72.7,Home,SETON-HALL,Seton Hall,Seton Hall,big-east,9,True,False,True,Home,True,11,9,49,35,79,6,19,79,1,0,55,179,516,0.5067829457364341,272,546,0.4981684981684982,70,142,495,0.498989898989899,0.6666666666666666
