,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WYOMING_homegame,WYOMING_homegame2,WYOMING_home,WYOMING_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-22-wyoming,33.3,8,10.3,3,93.0,78.9,30,0.585,47,0.511,24,0.574,27,0.778,21,0,200,107.0,25.0,6,24,76,,4.2,3,0.40399999999999997,19,0.368,7,58.1,36,0.635,23.4,18,28,0.607,17,1.0,1,"November 6, 2018",42.9,9,3.6,1,107.0,75.0,18,0.405,58,0.36200000000000004,21,0.466,27,0.7040000000000001,19,1,200,93.0,21.1,8,20,66,,9.9,7,0.5,29,0.172,5,41.9,26,0.466,10.3,8,29,0.552,16,0.0,0,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,71.3,Away,CALIFORNIA-SANTA-BARBARA,UCSB,Wyoming,mwc,0,False,True,True,Home,False,5,16,58,26,62,7,17,47,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-15-oregon-state,58.3,14,2.2,1,116.9,53.1,17,0.48200000000000004,57,0.42100000000000004,24,0.35100000000000003,20,0.45,9,2,200,90.1,19.4,7,22,64,,7.0,5,0.40399999999999997,23,0.304,7,35.3,24,0.48100000000000004,15.4,12,34,0.5,17,0.0,0,"November 10, 2018",54.8,17,17.6,6,90.1,80.6,29,0.532,63,0.49200000000000005,31,0.33299999999999996,21,0.762,16,0,200,116.9,46.9,15,22,83,,8.5,6,0.28600000000000003,18,0.278,5,64.7,44,0.569,14.2,12,45,0.578,26,1.0,2,"Gill Coliseum, Corvallis, Oregon",WYOMING,Wyoming,70.7,Home,OREGON-STATE,Oregon State,Wyoming,mwc,1,False,False,False,Away,False,7,17,57,24,68,5,26,63,0,1,5,16,58,0.4051724137931034,26,62,0.41935483870967744,7,17,47,0.5851063829787234,0.0
2,2018-11-14-21-wyoming,53.6,15,19.4,7,113.2,69.7,23,0.561,57,0.491,28,0.40399999999999997,23,0.609,14,1,200,102.6,21.9,7,29,78,,6.6,5,0.281,16,0.5,8,46.2,30,0.574,18.3,15,41,0.488,20,0.5,1,"November 14, 2018",44.0,11,4.9,2,102.6,78.1,25,0.49200000000000005,60,0.41700000000000004,25,0.5329999999999999,32,0.8440000000000001,27,2,200,113.2,30.3,10,19,86,,13.2,10,0.4,24,0.375,9,53.8,35,0.5720000000000001,12.9,11,36,0.444,16,0.33299999999999996,1,"Arena-Auditorium, Laramie, Wyoming",GRAMBLING,Grambling,76.1,Home,WYOMING,Wyoming,Wyoming,mwc,2,True,False,True,Home,True,9,16,60,35,65,8,20,57,1,0,12,33,115,0.4434782608695652,50,130,0.38461538461538464,12,43,110,0.5545454545454546,0.0
3,2018-11-16-21-wyoming,40.0,10,7.1,3,89.3,76.5,26,0.455,66,0.379,25,0.22699999999999998,15,0.8,12,1,200,96.0,23.1,9,15,72,,4.0,3,0.455,30,0.33299999999999996,10,47.9,35,0.49200000000000005,12.1,10,36,0.41700000000000004,15,0.667,2,"November 16, 2018",32.0,8,8.3,3,96.0,76.9,30,0.46,62,0.40299999999999997,25,0.226,14,0.7140000000000001,10,3,200,89.3,23.5,8,15,67,,8.0,6,0.32299999999999995,20,0.35,7,52.1,38,0.488,18.0,15,42,0.429,18,0.25,1,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,74.9,Away,NIAGARA,Niagara,Wyoming,mwc,3,False,True,True,Home,False,7,18,62,38,73,10,15,66,0,1,21,49,175,0.46,85,195,0.4358974358974359,20,63,167,0.5568862275449101,0.3333333333333333
4,2018-11-19-21-boston-college,55.6,10,9.8,4,120.5,65.7,23,0.511,44,0.409,18,0.932,41,0.7559999999999999,31,4,200,104.1,18.5,5,24,76,,1.4,1,0.47700000000000004,21,0.429,9,45.2,28,0.599,16.2,12,23,0.391,9,0.2,1,"November 19, 2018",59.4,19,4.3,1,104.1,81.5,22,0.552,67,0.478,32,0.373,25,0.56,14,1,200,120.5,34.3,12,28,88,,9.6,7,0.38799999999999996,26,0.385,10,54.8,34,0.5579999999999999,9.3,8,41,0.537,22,0.75,3,"Suncoast Credit Union Arena, Fort Myers, Florida",WYOMING,Wyoming,72.7,Home,BOSTON-COLLEGE,Boston College,Wyoming,mwc,4,False,False,False,Away,False,9,9,44,28,62,10,22,67,0,1,28,67,237,0.459915611814346,123,268,0.458955223880597,30,78,233,0.5278969957081545,0.25
5,2018-11-21-17-wyoming,77.8,21,10.8,4,103.0,90.3,28,0.534,58,0.466,27,0.086,5,0.8,4,3,200,100.0,7.4,2,14,66,,4.5,3,0.379,22,0.364,8,51.7,30,0.547,10.4,7,36,0.528,19,0.4,2,"November 21, 2018",36.0,9,8.3,3,100.0,92.6,25,0.518,55,0.455,25,0.309,17,0.647,11,4,200,103.0,9.7,3,8,68,,6.1,4,0.327,18,0.389,7,48.3,28,0.539,8.8,6,37,0.486,18,0.33299999999999996,2,"Suncoast Credit Union Arena, Fort Myers, Florida",RICHMOND,Richmond,65.7,Home,WYOMING,Wyoming,Wyoming,mwc,5,True,False,True,Home,True,7,18,55,28,58,8,19,58,1,0,37,76,281,0.4679715302491103,151,330,0.4575757575757576,40,100,300,0.5333333333333333,0.2
6,2018-11-28-19-evansville,26.9,7,2.8,1,102.4,90.5,38,0.475,59,0.441,26,0.45799999999999996,27,0.815,22,5,200,92.9,9.1,3,28,78,,3.6,3,0.322,19,0.21100000000000002,4,54.7,41,0.5429999999999999,18.4,16,40,0.55,22,0.28600000000000003,2,"November 28, 2018",50.0,14,2.5,1,92.9,90.9,30,0.508,63,0.444,28,0.49200000000000005,31,0.71,22,3,200,102.4,9.5,4,23,86,,6.0,5,0.429,27,0.29600000000000004,8,45.3,34,0.5529999999999999,10.5,9,36,0.556,20,0.5,3,"Ford Center, Evansville, Indiana",WYOMING,Wyoming,83.8,Home,EVANSVILLE,Evansville,Wyoming,mwc,6,False,False,False,Away,False,4,22,59,41,75,8,20,63,0,1,44,94,336,0.47619047619047616,179,388,0.46134020618556704,48,119,358,0.5335195530726257,0.3333333333333333
7,2018-12-01-18-wyoming,55.6,15,14.3,6,102.6,91.4,32,0.544,57,0.474,27,0.474,27,0.852,23,1,200,109.0,18.2,6,20,85,,7.7,6,0.40399999999999997,23,0.348,8,55.9,38,0.609,15.9,13,34,0.5589999999999999,19,0.833,5,"December 1, 2018",42.9,12,14.7,5,109.0,81.8,27,0.516,64,0.43799999999999994,28,0.25,16,0.875,14,6,200,102.6,8.6,3,20,80,,7.7,6,0.344,22,0.455,10,44.1,30,0.5589999999999999,13.4,11,42,0.429,18,0.25,2,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,78.2,Away,NORTHERN-COLORADO,Northern Colorado,Wyoming,mwc,7,False,True,True,Home,False,10,18,64,30,68,8,19,57,0,1,48,116,395,0.4759493670886076,220,463,0.47516198704103674,56,139,421,0.5296912114014252,0.2857142857142857
8,2018-12-05-21-wyoming,59.1,13,17.9,5,92.4,100.0,29,0.35600000000000004,66,0.33299999999999996,22,0.303,20,0.85,17,4,200,81.0,21.6,8,23,64,,7.6,6,0.303,20,0.15,3,56.1,37,0.424,17.6,16,46,0.413,19,0.5,4,"December 5, 2018",66.7,14,4.3,2,81.0,78.4,29,0.542,48,0.43799999999999994,21,0.583,28,0.75,21,6,200,92.4,0.0,0,20,73,,8.9,7,0.41700000000000004,20,0.5,10,43.9,29,0.595,18.8,14,28,0.39299999999999996,11,0.33299999999999996,3,"Arena-Auditorium, Laramie, Wyoming",SOUTH-CAROLINA,South Carolina,79.4,Home,WYOMING,Wyoming,Wyoming,mwc,8,True,False,True,Home,True,10,11,48,29,66,3,19,66,1,0,58,134,459,0.48148148148148145,250,531,0.4708097928436911,64,158,478,0.5313807531380753,0.25
9,2018-12-11-21-wyoming,42.4,14,0.0,0,108.8,90.3,28,0.568,66,0.5,33,0.22699999999999998,15,1.0,15,7,225,112.5,37.0,10,20,90,,8.8,7,0.348,23,0.391,9,65.5,38,0.615,20.7,19,43,0.5579999999999999,24,0.364,4,"December 11, 2018",34.4,11,4.7,2,112.5,63.0,17,0.615,61,0.525,32,0.295,18,0.667,12,7,225,108.8,9.7,3,16,87,,13.8,11,0.377,23,0.478,11,34.5,20,0.625,14.8,12,38,0.5529999999999999,21,0.3,3,"Arena-Auditorium, Laramie, Wyoming",WYOMING,Wyoming,71.4,Away,DENVER,Denver,Wyoming,mwc,9,False,True,True,Home,False,11,21,61,20,58,9,24,66,0,1,68,145,507,0.48717948717948717,279,597,0.46733668341708545,67,177,544,0.5101102941176471,0.3333333333333333
