,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WRIGHT-STATE_homegame,WRIGHT-STATE_homegame2,WRIGHT-STATE_home,WRIGHT-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2018-12-13-19-wright-state,38.1,8,6.1,3,128.2,54.5,24,0.47,50,0.42,21,0.14,7,0.7140000000000001,5,0,200,73.2,10.0,3,23,52,,4.2,3,0.28,14,0.35700000000000004,5,36.5,27,0.488,26.4,19,36,0.444,16,0.0,0,"December 13, 2018",45.5,15,2.8,1,73.2,90.0,27,0.48700000000000004,78,0.423,33,0.26899999999999996,21,0.7140000000000001,15,6,200,128.2,45.5,20,13,91,,11.3,8,0.37200000000000005,29,0.345,10,63.5,47,0.517,5.4,5,49,0.469,23,0.455,5,"Ervin J. Nutter Center, Dayton, Ohio","Northwestern Ohio
			","Northwestern Ohio
			",71.2,Home,WRIGHT-STATE,Wright State,Wright State,horizon,10,True,False,True,Home,True,10,23,78,47,74,5,16,50,1,0,92,152,557,0.5206463195691203,303,600,0.505,90,159,541,0.5434380776340111,0.4
11,2018-12-18-19-wright-state,39.3,11,7.4,2,114.7,71.0,22,0.555,55,0.509,28,0.2,11,0.545,6,8,200,98.5,20.7,6,20,67,,5.9,4,0.273,15,0.33299999999999996,5,46.7,28,0.556,20.0,15,40,0.575,23,0.273,3,"December 18, 2018",65.2,15,2.5,1,98.5,79.3,23,0.519,54,0.426,23,0.5,27,0.815,22,6,200,114.7,29.0,9,15,78,,11.8,8,0.5,27,0.37,10,53.3,32,0.584,12.0,9,27,0.48100000000000004,13,0.5,6,"Ervin J. Nutter Center, Dayton, Ohio",MOREHEAD-STATE,Morehead State,68.0,Home,WRIGHT-STATE,Wright State,Wright State,horizon,11,True,False,True,Home,True,10,13,54,32,60,5,23,55,1,0,102,175,635,0.5165354330708661,350,674,0.5192878338278932,95,175,591,0.5372250423011844,0.45454545454545453
12,2018-12-22-19-mississippi-state,56.5,13,6.7,2,108.1,64.0,16,0.5479999999999999,52,0.442,23,0.154,8,0.75,6,7,200,101.6,17.9,5,16,63,,1.6,1,0.5379999999999999,28,0.39299999999999996,11,39.6,21,0.565,17.8,12,24,0.5,12,0.462,6,"December 22, 2018",44.0,11,25.0,6,101.6,82.1,23,0.5589999999999999,51,0.49,25,0.294,15,0.667,10,1,200,108.1,36.0,9,13,67,17.0,14.5,9,0.41200000000000003,21,0.33299999999999996,7,60.4,32,0.5760000000000001,17.2,12,30,0.6,18,0.917,11,"Mississippi Coliseum, Jackson, Mississippi",WRIGHT-STATE,Wright State,62.0,Home,MISSISSIPPI-STATE,Mississippi State,Wright State,horizon,12,False,False,False,Away,False,11,12,52,21,53,7,18,51,0,1,112,188,689,0.5166908563134979,382,734,0.5204359673024523,100,198,646,0.5386996904024768,0.5
13,2018-12-28-19-wright-state,40.7,11,7.9,3,93.5,67.9,36,0.568,59,0.45799999999999996,27,0.22,13,0.615,8,7,225,97.4,12.1,4,19,75,,3.9,3,0.508,30,0.433,13,46.5,40,0.575,20.8,17,29,0.483,14,0.5,7,"December 28, 2018",56.0,14,3.4,1,97.4,87.9,29,0.391,78,0.321,25,0.179,14,0.7859999999999999,11,8,225,93.5,32.1,17,14,72,,7.8,6,0.513,40,0.275,11,53.5,46,0.425,9.7,9,38,0.368,14,0.429,6,"Ervin J. Nutter Center, Dayton, Ohio",WRIGHT-STATE,Wright State,68.8,Away,ILLINOIS-CHICAGO,UIC,Wright State,horizon,13,False,True,True,Home,False,11,14,78,46,86,13,14,59,0,1,123,200,741,0.5188933873144399,403,787,0.5120711562897078,107,216,697,0.5401721664275466,0.46153846153846156
14,2018-12-30-15-wright-state,40.9,9,0.0,0,107.5,77.4,24,0.44299999999999995,53,0.415,22,0.415,22,0.773,17,7,200,95.5,33.3,10,24,64,,6.0,4,0.34,18,0.16699999999999998,3,55.7,34,0.504,18.3,14,35,0.5429999999999999,19,0.5329999999999999,8,"December 30, 2018",70.8,17,8.6,3,95.5,66.7,20,0.5,54,0.444,24,0.426,23,0.7829999999999999,18,8,200,107.5,22.6,7,14,72,,4.5,3,0.29600000000000004,16,0.375,6,44.3,27,0.5539999999999999,11.1,8,38,0.474,18,0.467,7,"Ervin J. Nutter Center, Dayton, Ohio",IUPUI,IUPUI,66.7,Home,WRIGHT-STATE,Wright State,Wright State,horizon,14,True,False,True,Home,True,6,18,54,27,61,3,19,53,1,0,134,214,819,0.5067155067155067,449,873,0.5143184421534936,120,230,756,0.5423280423280423,0.42857142857142855
15,2019-01-03-19-detroit-mercy,65.0,13,12.0,3,112.9,77.4,24,0.415,53,0.377,20,0.396,21,0.667,14,9,200,82.9,27.3,9,24,58,,8.6,6,0.415,22,0.182,4,51.6,33,0.461,21.5,17,31,0.516,16,0.43799999999999994,7,"January 3, 2019",37.5,9,6.5,2,82.9,72.7,24,0.588,51,0.47100000000000003,24,0.569,29,0.655,19,9,200,112.9,22.6,7,19,79,,8.6,6,0.51,26,0.462,12,48.4,31,0.61,14.7,11,25,0.48,12,0.4,6,"Calihan Hall, Detroit, Michigan",WRIGHT-STATE,Wright State,69.9,Home,DETROIT-MERCY,Detroit,Wright State,horizon,15,False,False,False,Away,False,4,16,53,33,64,12,12,51,0,1,140,232,873,0.5063001145475372,476,934,0.5096359743040685,123,249,809,0.5358467243510506,0.4666666666666667
16,2019-01-05-15-oakland,43.8,14,9.1,2,101.4,87.5,21,0.5429999999999999,69,0.46399999999999997,32,0.261,18,0.778,14,9,200,123.6,40.5,15,15,89,,15.3,11,0.348,24,0.45799999999999996,11,59.0,36,0.574,10.5,9,45,0.467,21,0.47100000000000003,8,"January 5, 2019",53.8,14,8.9,4,123.6,59.5,22,0.596,52,0.5,26,0.25,13,0.846,11,10,200,101.4,12.5,3,16,73,,5.6,4,0.5770000000000001,30,0.33299999999999996,10,41.0,25,0.627,23.8,18,22,0.727,16,0.41200000000000003,7,"Athletics Center O'rena, Rochester, Michigan",OAKLAND,Oakland,72.4,Away,WRIGHT-STATE,Wright State,Wright State,horizon,16,False,False,False,Away,True,11,21,69,36,61,10,16,52,1,0,144,248,926,0.5010799136069114,509,998,0.5100200400801603,135,261,860,0.538953488372093,0.4375
17,2019-01-11-19-northern-kentucky,24.0,6,10.7,3,101.5,81.5,22,0.449,59,0.424,25,0.254,15,0.733,11,10,200,95.5,28.6,10,18,64,,6.0,4,0.254,15,0.2,3,51.6,32,0.484,15.5,12,44,0.5,22,0.444,8,"January 11, 2019",47.8,11,6.8,3,95.5,71.4,25,0.52,50,0.46,23,0.44,22,0.727,16,4,200,101.5,18.5,5,17,68,,9.0,6,0.44,22,0.273,6,48.4,30,0.562,15.6,11,28,0.607,17,0.778,14,"Bank of Kentucky Center, Highland Heights, Kentucky",WRIGHT-STATE,Wright State,67.3,Home,NORTHERN-KENTUCKY,Northern Kentucky,Wright State,horizon,17,False,False,False,Away,False,3,22,59,32,62,6,17,50,0,1,155,269,995,0.5040201005025126,545,1059,0.5146364494806421,145,277,912,0.5422149122807017,0.47058823529411764
18,2019-01-17-19-youngstown-state,55.6,15,8.8,3,107.2,70.4,19,0.517,60,0.45,27,0.3,18,1.0,18,10,200,115.9,39.3,11,15,80,,13.0,9,0.38299999999999995,23,0.348,8,54.5,30,0.584,13.9,11,37,0.514,19,0.474,9,"January 17, 2019",51.7,15,10.8,4,115.9,60.7,17,0.5760000000000001,59,0.49200000000000005,29,0.153,9,0.667,6,14,200,107.2,29.6,8,19,74,,7.2,5,0.424,25,0.4,10,45.5,25,0.585,18.2,14,34,0.5589999999999999,19,0.3,6,"Beeghly Center, Youngstown, Ohio",YOUNGSTOWN-STATE,Youngstown State,68.9,Away,WRIGHT-STATE,Wright State,Wright State,horizon,18,False,False,False,Away,True,8,19,60,30,55,10,19,59,1,0,158,291,1054,0.5009487666034156,577,1121,0.5147190008920607,151,294,962,0.5410602910602911,0.4444444444444444
19,2019-01-19-13-cleveland-state,50.0,13,3.1,1,100.0,66.7,16,0.588,51,0.51,26,0.627,32,0.9059999999999999,29,10,200,134.8,44.0,11,18,89,,12.1,8,0.451,23,0.348,8,55.1,27,0.672,15.6,12,28,0.643,18,0.5,10,"January 19, 2019",44.0,11,17.9,5,134.8,56.0,14,0.529,52,0.48100000000000004,25,0.231,12,0.917,11,16,200,100.0,33.3,8,21,66,,9.1,6,0.385,20,0.25,5,44.9,22,0.5720000000000001,20.8,15,32,0.625,20,0.23800000000000002,5,"Wolstein Center, Cleveland, Ohio",CLEVELAND-STATE,Cleveland State,66.0,Away,WRIGHT-STATE,Wright State,Wright State,horizon,19,False,False,False,Away,True,8,18,51,27,49,5,20,52,1,0,166,310,1114,0.5017953321364452,607,1176,0.516156462585034,161,313,1021,0.5430950048971597,0.47368421052631576
20,2019-01-24-19-wright-state,50.0,10,19.2,5,87.5,69.7,23,0.442,52,0.385,20,0.17300000000000001,9,0.889,8,12,200,84.4,16.1,5,18,54,,6.3,4,0.365,19,0.316,6,43.8,28,0.48,17.7,12,33,0.424,14,0.429,9,"January 24, 2019",66.7,12,6.1,2,84.4,83.9,26,0.387,53,0.34,18,0.396,21,0.7140000000000001,15,10,200,87.5,30.3,10,13,56,,7.8,5,0.509,27,0.185,5,56.3,36,0.445,16.2,12,26,0.5,13,0.524,11,"Ervin J. Nutter Center, Dayton, Ohio",MILWAUKEE,Milwaukee,64.1,Home,WRIGHT-STATE,Wright State,Wright State,horizon,20,True,False,True,Home,True,5,13,53,36,64,6,14,52,1,0,174,328,1165,0.5055793991416309,634,1225,0.5175510204081633,166,333,1073,0.5424044734389561,0.5
21,2019-01-26-19-wright-state,53.6,15,2.7,1,122.5,69.2,18,0.534,59,0.475,28,0.28800000000000003,17,0.706,12,12,200,105.6,19.4,6,22,75,,7.0,5,0.373,22,0.318,7,42.1,24,0.5589999999999999,13.1,10,37,0.568,21,0.455,10,"January 26, 2019",63.3,19,2.7,1,105.6,80.6,25,0.591,55,0.545,30,0.5820000000000001,32,0.688,22,10,200,122.5,30.8,8,14,87,,7.0,5,0.327,18,0.278,5,57.9,33,0.62,11.5,9,37,0.6759999999999999,25,0.545,12,"Ervin J. Nutter Center, Dayton, Ohio",GREEN-BAY,Green Bay,71.1,Home,WRIGHT-STATE,Wright State,Wright State,horizon,21,True,False,True,Home,True,5,25,55,33,57,7,21,59,1,0,179,341,1218,0.5004105090311987,670,1289,0.5197827773467805,172,347,1125,0.5377777777777778,0.5238095238095238
22,2019-02-01-21-illinois-chicago,75.0,12,3.4,1,94.4,88.5,23,0.307,57,0.281,16,0.368,21,0.857,18,11,200,74.6,31.4,11,20,53,,14.1,10,0.33299999999999996,19,0.158,3,55.7,34,0.396,18.5,15,38,0.342,13,0.522,12,"February 1, 2019",78.3,18,15.8,6,74.6,68.6,24,0.54,50,0.46,23,0.34,17,0.765,13,12,200,94.4,11.5,3,18,67,,12.7,9,0.42,21,0.381,8,44.3,27,0.5770000000000001,20.7,15,29,0.517,15,0.478,11,"UIC Pavilion, Chicago, Illinois",WRIGHT-STATE,Wright State,70.5,Home,ILLINOIS-CHICAGO,UIC,Wright State,horizon,22,False,False,False,Away,False,3,13,57,34,61,8,15,50,0,1,184,366,1273,0.5043205027494109,703,1346,0.5222882615156018,179,368,1184,0.5375844594594594,0.5454545454545454
23,2019-02-03-13-iupui,52.0,13,10.0,4,98.7,68.4,26,0.547,53,0.47200000000000003,25,0.547,29,0.7240000000000001,21,11,200,105.3,22.2,6,19,79,,6.7,5,0.396,21,0.381,8,49.2,32,0.5920000000000001,16.5,13,32,0.531,17,0.542,13,"February 3, 2019",48.1,13,12.5,4,105.3,77.8,21,0.462,66,0.409,27,0.28800000000000003,19,0.684,13,10,200,98.7,31.6,12,24,74,,9.3,7,0.39399999999999996,26,0.26899999999999996,7,50.8,33,0.493,14.9,13,40,0.5,20,0.583,14,"Indiana Farmers Coliseum, Indianapolis, Indiana",IUPUI,IUPUI,74.9,Away,WRIGHT-STATE,Wright State,Wright State,horizon,23,False,False,False,Away,True,8,17,53,32,65,7,20,66,1,0,187,379,1330,0.49586466165413534,737,1407,0.5238095238095238,187,383,1234,0.5376823338735819,0.5217391304347826
24,2019-02-07-19-wright-state,54.2,13,2.3,1,104.1,67.7,21,0.519,52,0.462,24,0.192,10,0.8,8,14,200,84.9,13.8,4,14,62,,9.6,7,0.26899999999999996,14,0.429,6,41.7,25,0.546,26.2,20,38,0.474,18,0.44,11,"February 7, 2019",43.8,14,5.3,2,84.9,86.2,25,0.539,64,0.5,32,0.203,13,0.5379999999999999,7,11,200,104.1,32.3,10,14,76,,19.2,14,0.32799999999999996,21,0.23800000000000002,5,58.3,35,0.542,15.7,13,43,0.628,27,0.56,14,"Ervin J. Nutter Center, Dayton, Ohio",OAKLAND,Oakland,73.0,Home,WRIGHT-STATE,Wright State,Wright State,horizon,24,True,False,True,Home,True,5,27,64,35,60,6,18,52,1,0,195,396,1383,0.49783080260303686,769,1472,0.5224184782608695,194,403,1300,0.5338461538461539,0.5416666666666666
25,2019-02-09-19-wright-state,8.7,2,4.8,2,116.9,67.6,23,0.408,60,0.38299999999999995,23,0.267,16,0.688,11,16,200,84.5,33.3,12,17,60,,9.9,7,0.28300000000000003,17,0.17600000000000002,3,50.0,35,0.444,17.3,14,43,0.465,20,0.36,9,"February 9, 2019",63.3,19,2.3,1,84.5,66.7,24,0.5489999999999999,61,0.49200000000000005,30,0.361,22,0.727,16,11,200,116.9,32.4,11,14,83,,4.2,3,0.311,19,0.368,7,50.0,35,0.581,14.5,12,42,0.5479999999999999,23,0.5770000000000001,15,"Ervin J. Nutter Center, Dayton, Ohio",DETROIT-MERCY,Detroit,71.0,Home,WRIGHT-STATE,Wright State,Wright State,horizon,25,True,False,True,Home,True,7,23,61,35,70,3,20,60,1,0,200,423,1447,0.4996544574982723,804,1532,0.5248041775456919,200,421,1352,0.533284023668639,0.56
26,2019-02-15-21-wright-state,40.0,12,11.8,4,117.4,70.8,17,0.6,60,0.5,30,0.11699999999999999,7,0.7140000000000001,5,7,200,111.6,32.3,10,18,77,,8.7,6,0.45,27,0.444,12,49.1,27,0.608,18.2,14,33,0.545,18,0.741,20,"February 15, 2019",48.3,14,9.1,3,111.6,67.7,21,0.632,53,0.547,29,0.377,20,0.7,14,11,200,117.4,29.2,7,13,81,,7.2,5,0.358,19,0.474,9,50.9,28,0.648,19.5,15,34,0.588,20,0.593,16,"Ervin J. Nutter Center, Dayton, Ohio",NORTHERN-KENTUCKY,Northern Kentucky,68.9,Home,WRIGHT-STATE,Wright State,Wright State,horizon,26,True,False,True,Home,True,9,20,53,28,55,12,18,60,1,0,207,446,1508,0.501657824933687,839,1602,0.5237203495630461,203,441,1412,0.5279745042492918,0.5769230769230769
