,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MASSACHUSETTS-LOWELL_homegame,MASSACHUSETTS-LOWELL_homegame2,MASSACHUSETTS-LOWELL_home,MASSACHUSETTS-LOWELL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-massachusetts,71.4,20,2.4,1,103.8,70.0,21,0.44299999999999995,70,0.4,28,0.22899999999999998,16,0.813,13,1,200,93.8,23.1,9,26,75,,10.0,8,0.32899999999999996,23,0.261,6,43.5,30,0.483,13.5,12,47,0.46799999999999997,22,0.0,0,"November 6, 2018",54.8,17,8.5,4,93.8,76.9,30,0.557,61,0.508,31,0.44299999999999995,27,0.556,15,0,200,103.8,30.0,9,17,83,,2.5,2,0.32799999999999996,20,0.3,6,56.5,39,0.562,17.1,15,41,0.61,25,1.0,1,"Mullins Center, Amherst, Massachusetts",MASSACHUSETTS-LOWELL,UMass-Lowell,80.2,Home,MASSACHUSETTS,UMass,Massachusetts-Lowell,america-east,0,False,False,False,Away,False,6,22,70,30,69,6,25,61,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-13-massachusetts-lowell,46.4,13,8.1,3,110.0,71.9,23,0.47100000000000003,70,0.4,28,0.34299999999999997,24,0.75,18,2,225,105.0,35.1,13,26,84,,7.5,6,0.44299999999999995,31,0.32299999999999995,10,52.2,36,0.516,11.0,10,39,0.462,18,0.0,0,"November 10, 2018",60.0,18,10.3,4,105.0,64.9,24,0.5479999999999999,63,0.47600000000000003,30,0.47600000000000003,30,0.633,19,1,225,110.0,28.1,9,22,88,,3.8,3,0.413,26,0.34600000000000003,9,47.8,33,0.57,14.6,13,37,0.568,21,0.5,1,"Costello Athletic Center, Lowell, Massachusetts",WAGNER,Wagner,71.0,Home,MASSACHUSETTS-LOWELL,UMass-Lowell,Massachusetts-Lowell,america-east,1,True,False,True,Home,True,9,21,63,33,69,10,18,70,1,0,6,22,70,0.44285714285714284,30,69,0.43478260869565216,6,25,61,0.5573770491803278,0.0
2,2018-11-13-19-central-connecticut-state,42.9,12,3.2,1,121.1,66.7,16,0.534,59,0.475,28,0.305,18,0.611,11,2,200,104.2,37.5,12,19,74,,12.7,9,0.39,23,0.304,7,50.0,28,0.5479999999999999,19.3,16,36,0.583,21,0.33299999999999996,1,"November 13, 2018",31.0,9,8.3,3,104.2,62.5,20,0.636,55,0.527,29,0.327,18,0.889,16,1,200,121.1,33.3,8,20,86,,14.1,10,0.436,24,0.5,12,50.0,28,0.677,19.3,15,31,0.5479999999999999,17,0.667,2,"Detrick Gymnasium, New Britain, Connecticut",MASSACHUSETTS-LOWELL,UMass-Lowell,71.1,Home,CENTRAL-CONNECTICUT-STATE,Central Connecticut,Massachusetts-Lowell,america-east,2,False,False,False,Away,False,7,21,59,28,56,12,17,55,0,1,15,43,133,0.4924812030075188,63,138,0.45652173913043476,16,43,131,0.5114503816793893,0.5
3,2018-11-16-19-brown,55.6,15,10.5,4,96.5,77.1,27,0.535,57,0.474,27,0.33299999999999996,19,0.684,13,3,200,87.1,19.4,6,28,74,,4.7,4,0.368,21,0.33299999999999996,7,50.0,33,0.56,26.0,23,36,0.556,20,0.25,1,"November 16, 2018",65.4,17,13.9,5,87.1,80.6,25,0.5,60,0.433,26,0.55,33,0.667,22,2,200,96.5,22.9,8,21,82,,11.8,10,0.36700000000000005,22,0.364,8,50.0,33,0.542,20.3,19,38,0.474,18,0.33299999999999996,1,"Pizzitola Sports Center, Providence, Rhode Island",MASSACHUSETTS-LOWELL,UMass-Lowell,84.9,Home,BROWN,Brown,Massachusetts-Lowell,america-east,3,False,False,False,Away,False,7,20,57,33,66,8,18,60,0,1,22,64,192,0.5052083333333334,91,194,0.4690721649484536,28,60,186,0.5483870967741935,0.3333333333333333
4,2018-11-17-15-massachusetts-lowell,54.3,19,0.0,0,119.5,74.1,20,0.603,63,0.556,35,0.175,11,0.818,9,3,200,110.4,18.5,5,23,85,,10.4,8,0.413,26,0.231,6,46.3,25,0.623,18.1,15,37,0.784,29,0.25,1,"November 17, 2018",62.9,22,2.7,1,110.4,81.5,22,0.675,57,0.614,35,0.439,25,0.6,15,3,200,119.5,25.9,7,17,92,,6.5,5,0.35100000000000003,20,0.35,7,53.7,29,0.6679999999999999,17.1,14,37,0.757,28,0.4,2,"Pizzitola Sports Center, Providence, Rhode Island",ARMY,Army,77.1,Home,MASSACHUSETTS-LOWELL,UMass-Lowell,Massachusetts-Lowell,america-east,4,True,False,True,Home,True,7,28,57,29,54,6,29,63,1,0,29,84,249,0.5120481927710844,124,260,0.47692307692307695,36,78,246,0.5365853658536586,0.25
5,2018-11-18-13-massachusetts-lowell,57.6,19,10.3,4,123.7,66.7,18,0.544,68,0.485,33,0.368,25,0.64,16,3,200,118.4,37.5,15,18,90,,3.9,3,0.368,25,0.32,8,49.3,33,0.563,12.2,11,43,0.581,25,0.4,2,"November 18, 2018",56.3,18,7.0,3,118.4,62.5,25,0.613,62,0.516,32,0.33899999999999997,21,0.857,18,3,200,123.7,33.3,9,23,94,,5.3,4,0.371,23,0.522,12,50.7,34,0.653,15.4,13,39,0.513,20,0.5,3,"Pizzitola Sports Center, Providence, Rhode Island",SACRED-HEART,Sacred Heart,75.9,Home,MASSACHUSETTS-LOWELL,UMass-Lowell,Massachusetts-Lowell,america-east,5,True,False,True,Home,True,12,20,62,34,67,8,25,68,1,0,36,112,306,0.5424836601307189,153,314,0.4872611464968153,42,107,309,0.5501618122977346,0.4
6,2018-11-23-14-massachusetts-lowell,20.0,4,2.3,1,103.5,66.7,24,0.292,72,0.278,20,0.389,28,0.607,17,0,200,69.4,24.0,12,25,59,,12.9,11,0.20800000000000002,15,0.133,2,41.9,36,0.34600000000000003,14.2,14,57,0.316,18,0.0,0,"November 23, 2018",64.3,18,10.5,6,69.4,76.0,38,0.47600000000000003,62,0.452,28,0.597,37,0.784,29,3,200,103.5,33.3,12,23,88,,9.4,8,0.306,19,0.158,3,58.1,50,0.5529999999999999,16.1,15,43,0.581,25,0.5710000000000001,4,"Costello Athletic Center, Lowell, Massachusetts","Massachusetts-Boston
			","Massachusetts-Boston
			",84.9,Home,MASSACHUSETTS-LOWELL,UMass-Lowell,Massachusetts-Lowell,america-east,6,True,False,True,Home,True,3,25,62,50,86,2,18,72,1,0,48,132,368,0.5543478260869565,187,381,0.49081364829396323,50,132,377,0.5490716180371353,0.5
7,2018-11-25-13-duquesne,60.9,14,8.3,3,105.1,66.7,20,0.491,54,0.426,23,0.5,27,0.667,18,4,200,89.9,27.3,9,19,71,,7.6,6,0.37,20,0.35,7,46.0,29,0.531,26.7,24,34,0.47100000000000003,16,0.5,4,"November 25, 2018",66.7,20,23.5,8,89.9,72.7,24,0.5760000000000001,59,0.508,30,0.40700000000000003,24,0.625,15,1,200,105.1,33.3,10,25,83,,19.0,15,0.39,23,0.348,8,54.0,34,0.589,18.7,16,36,0.611,22,0.8,4,"A.J. Palumbo Center, Pittsburgh, Pennsylvania",MASSACHUSETTS-LOWELL,UMass-Lowell,79.1,Home,DUQUESNE,Duquesne,Massachusetts-Lowell,america-east,7,False,False,False,Away,False,7,16,54,29,63,8,22,59,0,1,51,157,430,0.5430232558139535,237,467,0.5074946466809421,52,150,449,0.5077951002227171,0.5714285714285714
8,2018-11-27-19-connecticut,61.5,16,6.0,3,122.8,61.1,22,0.585,53,0.491,26,0.415,22,0.591,13,5,200,94.9,13.8,4,20,75,,5.1,4,0.45299999999999996,24,0.41700000000000004,10,40.0,26,0.591,23.3,19,29,0.552,16,0.444,4,"November 27, 2018",59.5,22,17.2,5,94.9,86.2,25,0.562,73,0.507,37,0.28800000000000003,21,0.7140000000000001,15,1,200,122.8,38.9,14,20,97,,13.9,11,0.315,23,0.348,8,60.0,39,0.585,11.8,11,50,0.58,29,0.857,6,"Harry A. Gampel Pavilion, Storrs, Connecticut",MASSACHUSETTS-LOWELL,UMass-Lowell,79.2,Home,CONNECTICUT,UConn,Massachusetts-Lowell,america-east,8,False,False,False,Away,False,10,16,53,26,65,8,29,73,0,1,58,173,484,0.5371900826446281,266,530,0.5018867924528302,60,172,508,0.515748031496063,0.5
9,2018-12-01-14-massachusetts-lowell,18.5,5,0.0,0,125.3,73.9,17,0.46799999999999997,63,0.429,27,0.27,17,0.706,12,2,200,94.7,30.6,11,19,71,,10.7,8,0.28600000000000003,18,0.278,5,47.5,28,0.499,16.6,14,45,0.489,22,0.778,7,"December 1, 2018",67.6,23,4.4,2,94.7,69.4,25,0.669,59,0.5760000000000001,34,0.33899999999999997,20,0.75,15,5,200,125.3,26.1,6,18,94,,8.0,6,0.373,22,0.5,11,52.5,31,0.6859999999999999,16.1,13,37,0.622,23,0.5,5,"Tsongas Center, Lowell, Massachusetts",NJIT,NJIT,74.8,Home,MASSACHUSETTS-LOWELL,UMass-Lowell,Massachusetts-Lowell,america-east,9,True,False,True,Home,True,11,23,59,31,59,5,22,63,1,0,68,189,537,0.5418994413407822,292,595,0.4907563025210084,68,201,581,0.5215146299483648,0.4444444444444444
