,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TENNESSEE-STATE_homegame,TENNESSEE-STATE_homegame2,TENNESSEE-STATE_home,TENNESSEE-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-10-16-lipscomb,44.8,13,14.0,6,102.4,80.6,25,0.486,70,0.414,29,0.18600000000000003,13,0.846,11,1,200,94.0,13.2,5,28,79,,10.7,9,0.44299999999999995,31,0.32299999999999995,10,43.5,30,0.519,15.6,14,39,0.48700000000000004,19,0.0,0,"November 10, 2018",32.1,9,12.8,5,94.0,86.8,33,0.518,57,0.491,28,0.544,31,0.871,27,0,200,102.4,19.4,6,13,86,,8.3,7,0.24600000000000002,14,0.214,3,56.5,39,0.6,20.3,18,43,0.581,25,1.0,2,"Allen Arena, Nashville, Tennessee",TENNESSEE-STATE,Tennessee State,84.5,Home,LIPSCOMB,Lipscomb,Tennessee State,ovc,0,False,False,False,Away,False,10,19,70,30,69,3,25,57,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-13-20-tennessee-state,36.4,12,15.4,4,89.3,74.4,29,0.603,58,0.569,33,0.32799999999999996,19,0.684,13,0,200,110.7,28.6,8,16,83,,9.3,7,0.259,15,0.267,4,55.2,37,0.619,19.4,16,43,0.674,29,1.0,2,"November 13, 2018",70.8,17,7.0,3,110.7,71.4,20,0.49200000000000005,61,0.39299999999999996,24,0.23,14,0.5,7,2,200,89.3,25.6,10,21,67,,8.0,6,0.574,35,0.34299999999999997,12,44.8,30,0.495,20.2,17,26,0.462,12,0.0,0,"Gentry Center Complex, Nashville, Tennessee",TENNESSEE-STATE,Tennessee State,74.8,Away,ARKANSAS-LITTLE-ROCK,Little Rock,Tennessee State,ovc,1,False,True,True,Home,False,12,12,61,30,67,4,29,58,0,1,10,19,70,0.4857142857142857,30,69,0.43478260869565216,3,25,57,0.5175438596491229,0.0
2,2018-11-15-19-tennessee-state,42.1,8,15.6,7,113.6,68.6,24,0.452,52,0.365,19,0.365,19,0.526,10,0,200,70.4,21.6,8,22,57,,6.2,5,0.442,23,0.391,9,44.4,32,0.467,29.3,25,29,0.345,10,0.0,0,"November 15, 2018",48.5,16,10.3,3,70.4,78.4,29,0.536,69,0.478,33,0.377,26,0.6920000000000001,18,2,200,113.6,31.4,11,24,92,,18.5,15,0.348,24,0.33299999999999996,8,55.6,40,0.565,14.8,14,45,0.556,25,0.33299999999999996,1,"Gentry Center Complex, Nashville, Tennessee","Carver College
			","Carver College
			",81.2,Home,TENNESSEE-STATE,Tennessee State,Tennessee State,ovc,2,True,False,True,Home,True,8,25,69,40,72,9,10,52,1,0,22,31,131,0.48854961832061067,60,136,0.4411764705882353,7,54,115,0.5608695652173913,0.0
3,2018-11-17-20-tennessee-state,42.1,8,3.1,1,136.1,41.4,12,0.336,64,0.297,19,0.469,30,0.6,18,0,200,73.5,16.7,8,20,61,,6.0,5,0.406,26,0.192,5,26.0,20,0.39,13.5,12,38,0.368,14,0.0,0,"November 17, 2018",64.1,25,13.2,5,73.5,83.3,40,0.6829999999999999,71,0.5489999999999999,39,0.324,23,0.696,16,2,200,136.1,58.6,17,27,113,,8.4,7,0.5489999999999999,39,0.48700000000000004,19,74.0,57,0.69,19.0,19,32,0.625,20,0.5,2,"Gentry Center Complex, Nashville, Tennessee","Fisk
			","Fisk
			",83.1,Home,TENNESSEE-STATE,Tennessee State,Tennessee State,ovc,3,True,False,True,Home,True,19,20,71,57,77,5,14,64,1,0,30,56,200,0.505,100,208,0.4807692307692308,16,64,167,0.5269461077844312,0.3333333333333333
4,2018-11-20-22-cal-state-northridge,65.4,17,0.0,0,100.0,82.1,23,0.485,66,0.39399999999999996,26,0.28800000000000003,19,0.684,13,3,200,96.3,21.6,8,27,77,,12.5,10,0.5,33,0.364,12,47.7,31,0.513,16.8,15,33,0.424,14,0.4,2,"November 20, 2018",60.7,17,12.1,4,96.3,78.4,29,0.604,53,0.528,28,0.528,28,0.5710000000000001,16,3,200,100.0,17.9,5,20,80,,8.8,7,0.396,21,0.381,8,52.3,34,0.603,20.7,17,32,0.625,20,0.25,1,"The Matadome, Northridge, California",TENNESSEE-STATE,Tennessee State,80.2,Home,CAL-STATE-NORTHRIDGE,Cal State Northridge,Tennessee State,ovc,4,False,False,False,Away,False,12,14,66,31,65,8,20,53,0,1,49,76,271,0.551660516605166,157,285,0.5508771929824562,21,78,231,0.474025974025974,0.5
5,2018-11-23-19-kentucky,50.0,11,2.7,1,108.5,56.3,18,0.46299999999999997,54,0.40700000000000003,22,0.35200000000000004,19,0.632,12,4,200,87.3,25.8,8,29,62,,7.0,5,0.29600000000000004,16,0.375,6,41.3,26,0.49200000000000005,19.4,15,38,0.42100000000000004,16,0.33299999999999996,2,"November 23, 2018",34.8,8,13.2,5,87.3,74.2,23,0.48100000000000004,52,0.442,23,0.7879999999999999,41,0.659,27,1,200,108.5,43.8,14,14,77,10.0,5.6,4,0.28800000000000003,15,0.267,4,58.7,37,0.539,16.7,14,37,0.514,19,0.833,5,"Rupp Arena, Lexington, Kentucky",TENNESSEE-STATE,Tennessee State,70.8,Home,KENTUCKY,Kentucky,Tennessee State,ovc,5,False,False,False,Away,False,6,16,54,26,63,4,19,52,0,1,61,90,337,0.5385756676557863,188,350,0.5371428571428571,29,98,284,0.4982394366197183,0.4
6,2018-12-01-19-western-kentucky,48.0,12,8.6,3,117.3,69.0,20,0.509,54,0.46299999999999997,25,0.46299999999999997,25,0.76,19,5,200,98.7,25.9,7,34,74,,5.3,4,0.33299999999999996,18,0.278,5,48.2,27,0.562,21.7,18,36,0.556,20,0.28600000000000003,2,"December 1, 2018",25.0,6,19.4,7,98.7,74.1,20,0.542,48,0.5,24,0.938,45,0.8,36,3,200,117.3,31.0,9,21,88,,9.3,7,0.271,13,0.308,4,51.8,29,0.634,16.1,13,35,0.5710000000000001,20,0.5710000000000001,4,"E.A. Diddle Arena, Bowling Green, Kentucky",TENNESSEE-STATE,Tennessee State,75.1,Home,WESTERN-KENTUCKY,Western Kentucky,Tennessee State,ovc,6,False,False,False,Away,False,5,20,54,27,56,4,20,48,0,1,67,106,391,0.5281329923273658,214,413,0.5181598062953995,33,117,336,0.4955357142857143,0.3333333333333333
7,2018-12-09-15-coppin-state,29.2,7,12.5,3,72.4,80.0,24,0.46399999999999997,56,0.429,24,0.41100000000000003,23,0.522,12,5,200,84.2,28.1,9,23,64,,17.1,13,0.25,14,0.28600000000000003,4,53.2,33,0.478,21.4,18,42,0.47600000000000003,20,0.375,3,"December 9, 2018",55.6,10,11.9,5,84.2,71.9,23,0.436,47,0.38299999999999995,18,0.511,24,0.583,14,11,200,72.4,20.0,6,20,55,,2.6,2,0.489,23,0.217,5,46.8,29,0.47100000000000003,28.6,23,24,0.542,13,0.0,0,"Physical Education Complex, Baltimore, Maryland",COPPIN-STATE,Coppin State,75.7,Away,TENNESSEE-STATE,Tennessee State,Tennessee State,ovc,7,False,False,False,Away,True,4,20,56,33,62,5,13,47,1,0,72,126,445,0.5258426966292135,241,469,0.5138592750533049,37,137,384,0.5013020833333334,0.2857142857142857
8,2018-12-15-17-tennessee-state,31.3,10,0.0,0,108.6,75.0,18,0.563,63,0.508,32,0.175,11,0.636,7,6,200,111.4,27.6,8,17,78,,11.4,8,0.27,17,0.41200000000000003,7,49.1,26,0.5720000000000001,12.8,10,46,0.5429999999999999,25,0.4,4,"December 15, 2018",48.0,12,2.2,1,111.4,72.4,21,0.604,48,0.521,25,0.43799999999999994,21,0.857,18,6,200,108.6,25.0,6,15,76,,5.7,4,0.41700000000000004,20,0.4,8,50.9,27,0.655,23.9,18,28,0.607,17,0.33299999999999996,3,"Gentry Center Complex, Nashville, Tennessee",TENNESSEE-STATE,Tennessee State,70.1,Away,NORTH-CAROLINA-AT,North Carolina A&T,Tennessee State,ovc,8,False,True,True,Home,False,8,17,48,27,53,7,25,63,0,1,76,146,501,0.5189620758483033,274,531,0.5160075329566854,42,150,431,0.494199535962877,0.375
9,2018-12-18-19-akron,47.4,9,20.0,5,110.8,76.7,23,0.413,52,0.365,19,0.462,24,0.708,17,7,200,81.1,23.5,8,22,60,,13.5,10,0.34600000000000003,18,0.278,5,48.4,31,0.473,22.3,18,34,0.41200000000000003,14,0.3,3,"December 18, 2018",61.5,16,2.9,1,81.1,76.5,26,0.602,54,0.48100000000000004,26,0.48100000000000004,26,0.654,17,4,200,110.8,23.3,7,18,82,,8.1,6,0.537,29,0.44799999999999995,13,51.6,33,0.618,19.6,16,25,0.52,13,0.636,7,"James A. Rhodes Arena, Akron, Ohio",TENNESSEE-STATE,Tennessee State,74.4,Home,AKRON,Akron,Tennessee State,ovc,9,False,False,False,Away,False,5,14,52,31,64,13,13,54,0,1,84,163,549,0.5264116575591985,301,584,0.5154109589041096,49,175,494,0.5030364372469636,0.3333333333333333
