,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,JACKSONVILLE_homegame,JACKSONVILLE_homegame2,JACKSONVILLE_home,JACKSONVILLE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-jacksonville,30.8,8,11.4,4,68.5,66.7,22,0.547,53,0.491,26,0.17,9,0.778,7,0,194,89.0,30.4,7,20,65,,19.2,14,0.245,13,0.462,6,51.8,29,0.5670000000000001,27.9,22,40,0.5,20,1.0,1,"November 6, 2018",46.7,7,15.0,6,89.0,69.6,16,0.298,52,0.28800000000000003,15,0.423,22,0.8640000000000001,19,1,194,68.5,33.3,11,16,50,,16.4,12,0.327,17,0.059000000000000004,1,48.2,27,0.4,27.2,23,35,0.4,14,0.0,0,"Swisher Gymnasium, Jacksonville, Florida",JACKSONVILLE,Jacksonville,75.6,Away,FLORIDA-AM,Florida A&M,Jacksonville,atlantic-sun,0,False,True,True,Home,False,1,14,52,27,56,6,20,53,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-14-northern-arizona,43.8,14,17.8,8,119.8,64.9,24,0.5820000000000001,61,0.525,32,0.262,16,0.688,11,2,200,101.2,25.0,8,20,82,,4.9,4,0.377,23,0.304,7,46.4,32,0.598,20.0,17,38,0.6579999999999999,25,0.0,0,"November 10, 2018",38.9,14,2.6,1,101.2,75.0,24,0.5539999999999999,74,0.486,36,0.33799999999999997,25,0.6,15,0,200,119.8,35.1,13,19,97,,12.3,10,0.392,29,0.345,10,53.6,37,0.565,11.5,11,45,0.578,26,1.0,1,"Rolle Activity Center, Flagstaff, Arizona",JACKSONVILLE,Jacksonville,80.7,Home,NORTHERN-ARIZONA,Northern Arizona,Jacksonville,atlantic-sun,1,False,False,False,Away,False,7,25,61,32,69,10,26,74,0,1,1,14,52,0.2980769230769231,27,56,0.48214285714285715,6,20,53,0.5471698113207547,0.0
2,2018-11-12-21-grand-canyon,61.9,13,13.3,6,107.0,51.4,19,0.435,54,0.389,21,0.37,20,0.6,12,3,200,83.1,16.7,6,20,59,,11.3,8,0.40700000000000003,22,0.22699999999999998,5,34.2,25,0.465,16.0,12,32,0.5,16,0.0,0,"November 12, 2018",51.9,14,3.1,1,83.1,83.3,30,0.45399999999999996,65,0.415,27,0.354,23,0.7390000000000001,17,1,200,107.0,48.6,18,20,76,,5.6,4,0.308,20,0.25,5,65.8,48,0.5,16.6,15,45,0.489,22,0.667,2,"Grand Canyon University Arena, Phoenix, Arizona",JACKSONVILLE,Jacksonville,71.2,Home,GRAND-CANYON,Grand Canyon,Jacksonville,atlantic-sun,2,False,False,False,Away,False,5,16,54,25,73,5,22,65,0,1,8,39,113,0.45132743362831856,59,125,0.472,16,46,127,0.5511811023622047,0.0
3,2018-11-16-17-jacksonville,53.8,14,6.8,3,94.7,74.4,32,0.469,65,0.4,26,0.308,20,0.8,16,2,200,102.7,38.9,14,14,77,,2.7,2,0.385,25,0.36,9,58.2,46,0.517,16.9,15,40,0.425,17,0.5,2,"November 16, 2018",67.7,21,20.0,8,102.7,61.1,22,0.47200000000000003,72,0.431,31,0.069,5,0.6,3,4,200,94.7,25.6,11,20,71,,9.3,7,0.389,28,0.214,6,41.8,33,0.47700000000000004,12.9,11,44,0.568,25,0.0,0,"Mitchell Center, Mobile, Alabama",JACKSONVILLE,Jacksonville,74.9,Away,SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Jacksonville,atlantic-sun,3,False,True,True,Home,False,6,25,72,33,79,9,17,65,0,1,13,55,167,0.44610778443113774,84,198,0.42424242424242425,21,68,192,0.5182291666666666,0.0
4,2018-11-17-20-south-alabama,47.8,11,22.2,12,64.0,72.5,37,0.5,48,0.479,23,0.6459999999999999,31,0.742,23,4,200,94.7,30.8,8,15,71,,4.0,3,0.125,6,0.33299999999999996,2,58.4,45,0.5660000000000001,22.6,18,42,0.5,21,0.2,1,"November 17, 2018",31.6,6,11.9,5,94.7,69.2,18,0.273,77,0.247,19,0.11699999999999999,9,0.667,6,2,200,64.0,27.5,14,22,48,,6.7,5,0.299,23,0.174,4,41.6,32,0.295,10.0,9,54,0.278,15,0.5,2,"Mitchell Center, Mobile, Alabama",SOUTH-ALABAMA,South Alabama,74.5,Away,JACKSONVILLE,Jacksonville,Jacksonville,atlantic-sun,4,False,False,False,Away,True,2,21,48,45,77,4,15,77,1,0,19,80,239,0.45397489539748953,117,277,0.4223826714801444,30,85,257,0.5058365758754864,0.0
5,2018-11-18-15-jacksonville,38.5,10,8.5,4,98.7,84.8,28,0.49200000000000005,61,0.426,26,0.18,11,0.545,6,4,200,88.0,22.9,8,20,66,,6.7,5,0.32799999999999996,20,0.4,8,52.9,36,0.498,17.5,14,41,0.439,18,0.33299999999999996,2,"November 18, 2018",46.4,13,7.3,3,88.0,77.1,27,0.5,61,0.45899999999999996,28,0.32799999999999996,20,0.65,13,4,200,98.7,15.2,5,19,74,,8.0,6,0.23,14,0.35700000000000004,5,47.1,32,0.525,15.7,13,47,0.489,23,0.33299999999999996,2,"Mitchell Center, Mobile, Alabama",CHATTANOOGA,Chattanooga,75.4,Home,JACKSONVILLE,Jacksonville,Jacksonville,atlantic-sun,5,True,False,True,Home,True,5,23,61,32,68,8,18,61,1,0,21,101,287,0.4616724738675958,162,354,0.4576271186440678,34,100,334,0.45209580838323354,0.2
6,2018-11-21-19-jacksonville,26.7,8,9.8,5,143.0,77.4,24,0.486,71,0.423,30,0.183,13,0.615,8,0,200,89.5,31.7,13,17,77,,7.0,6,0.423,30,0.3,9,51.4,37,0.499,19.8,19,41,0.512,21,0.0,0,"November 21, 2018",68.9,31,9.8,4,89.5,68.3,28,0.695,77,0.584,45,0.26,20,0.8,16,4,200,143.0,22.6,7,11,123,,11.6,10,0.33799999999999997,26,0.654,17,48.6,35,0.711,9.5,9,51,0.5489999999999999,28,0.429,3,"Swisher Gymnasium, Jacksonville, Florida","Florida Memorial
			","Florida Memorial
			",85.8,Home,JACKSONVILLE,Jacksonville,Jacksonville,atlantic-sun,6,True,False,True,Home,True,17,28,77,35,72,9,21,71,1,0,26,124,348,0.46839080459770116,194,422,0.4597156398104265,42,118,395,0.4582278481012658,0.3333333333333333
7,2018-11-24-14-western-carolina,40.9,9,11.1,4,100.0,73.1,19,0.39799999999999996,59,0.373,22,0.441,26,0.6920000000000001,18,5,200,84.4,19.4,6,18,65,,9.1,7,0.28800000000000003,17,0.17600000000000002,3,43.9,25,0.456,16.6,14,42,0.452,19,0.375,3,"November 24, 2018",51.7,15,7.1,3,84.4,80.6,25,0.609,55,0.527,29,0.345,19,0.526,10,5,200,100.0,26.9,7,20,77,,9.1,7,0.345,19,0.474,9,56.1,32,0.601,21.2,17,36,0.556,20,0.28600000000000003,2,"Ramsey Center, Cullowhee, North Carolina",JACKSONVILLE,Jacksonville,76.7,Home,WESTERN-CAROLINA,Western Carolina,Jacksonville,atlantic-sun,7,False,False,False,Away,False,3,19,59,25,57,9,20,55,0,1,43,152,425,0.5094117647058823,229,494,0.46356275303643724,51,139,466,0.4624463519313305,0.42857142857142855
8,2018-12-01-18-jacksonville,37.5,9,10.7,3,93.4,75.0,24,0.447,57,0.42100000000000004,24,0.40399999999999997,23,0.7829999999999999,18,8,200,90.8,29.4,10,21,69,,13.2,10,0.158,9,0.33299999999999996,3,51.5,34,0.508,21.1,18,48,0.43799999999999994,21,0.111,1,"December 1, 2018",58.3,14,27.1,13,90.8,70.6,24,0.5,56,0.429,24,0.35700000000000004,20,0.75,15,5,200,93.4,25.0,8,24,71,,9.2,7,0.5,28,0.28600000000000003,8,48.5,32,0.542,21.7,18,28,0.5710000000000001,16,0.444,4,"Swisher Gymnasium, Jacksonville, Florida",SOUTH-CAROLINA-STATE,South Carolina State,75.7,Home,JACKSONVILLE,Jacksonville,Jacksonville,atlantic-sun,8,True,False,True,Home,True,8,16,56,32,66,3,21,57,1,0,46,171,484,0.49586776859504134,254,551,0.46098003629764067,60,159,521,0.4779270633397313,0.375
9,2018-12-04-19-presbyterian,38.7,12,4.1,2,110.0,88.9,24,0.575,60,0.517,31,0.55,33,0.758,25,5,200,117.5,27.6,8,13,94,,11.3,9,0.33299999999999996,20,0.35,7,57.1,32,0.621,14.9,13,40,0.6,24,0.5,5,"December 4, 2018",40.0,14,2.5,1,117.5,72.4,21,0.586,64,0.547,35,0.23399999999999999,15,0.867,13,5,200,110.0,11.1,3,22,88,,7.5,6,0.23399999999999999,15,0.33299999999999996,5,42.9,24,0.619,13.5,11,49,0.612,30,0.444,4,"Ross E.Templeton Center, Clinton, South Carolina",PRESBYTERIAN,Presbyterian,79.9,Away,JACKSONVILLE,Jacksonville,Jacksonville,atlantic-sun,9,False,False,False,Away,True,7,24,60,32,56,5,30,64,1,0,54,187,540,0.4962962962962963,286,617,0.46353322528363045,63,180,578,0.4749134948096886,0.4444444444444444
