,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LAMAR_homegame,LAMAR_homegame2,LAMAR_home,LAMAR_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-20-lamar,55.0,11,10.3,3,106.8,46.4,13,0.402,61,0.32799999999999996,20,0.213,13,0.769,10,0,200,79.7,33.3,13,22,59,,12.2,9,0.44299999999999995,27,0.33299999999999996,9,38.8,26,0.439,22.2,19,34,0.324,11,0.0,0,"November 6, 2018",64.3,18,17.6,6,79.7,66.7,26,0.611,54,0.519,28,0.48100000000000004,26,0.5,13,0,200,106.8,53.6,15,22,79,,10.8,8,0.46299999999999997,25,0.4,10,61.2,41,0.595,26.8,24,29,0.621,18,1.0,1,"Montagne Center, Beaumont, Texas","Huston-Tillotson
			","Huston-Tillotson
			",74.3,Home,LAMAR,Lamar,Lamar,southland,0,True,False,True,Home,True,10,18,54,41,67,9,11,61,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-09-19-georgia-tech,56.5,13,0.0,0,106.0,75.0,21,0.425,60,0.38299999999999995,23,0.55,33,0.545,18,1,200,83.1,29.4,10,20,69,,13.3,11,0.267,16,0.313,5,50.0,31,0.456,20.3,19,44,0.409,18,0.5,1,"November 9, 2018",81.3,26,18.2,8,83.1,70.6,24,0.603,63,0.508,32,0.33299999999999996,21,0.5710000000000001,12,0,200,106.0,25.0,7,24,88,,12.0,10,0.47600000000000003,30,0.4,12,50.0,31,0.603,17.2,15,33,0.606,20,1.0,1,"McCamish Pavilion, Atlanta, Georgia",LAMAR,Lamar,82.8,Home,GEORGIA-TECH,Georgia Tech,Lamar,southland,1,False,False,False,Away,False,5,18,60,31,62,12,20,63,0,1,10,18,54,0.6111111111111112,41,67,0.6119402985074627,9,11,61,0.4016393442622951,1.0
2,2018-11-11-16-east-carolina,30.0,9,7.9,3,101.2,75.0,30,0.457,69,0.435,30,0.29,20,0.75,15,2,225,94.0,24.2,8,24,78,,9.6,8,0.23199999999999998,16,0.188,3,52.1,38,0.49700000000000005,16.2,15,53,0.509,27,0.33299999999999996,1,"November 11, 2018",60.7,17,13.2,7,94.0,75.8,25,0.5,62,0.452,28,0.581,36,0.611,22,1,225,101.2,25.0,10,18,84,,9.6,8,0.387,24,0.25,6,47.9,35,0.531,13.4,12,38,0.579,22,0.667,2,"Williams Arena at Minges Coliseum, Greenville, North Carolina",LAMAR,Lamar,74.0,Home,EAST-CAROLINA,East Carolina,Lamar,southland,2,False,False,False,Away,False,3,27,69,38,73,6,22,62,0,1,15,36,114,0.5131578947368421,72,129,0.5581395348837209,21,31,124,0.5040322580645161,0.5
3,2018-11-17-15-lamar,42.3,11,5.9,2,101.4,67.9,19,0.41,67,0.38799999999999996,26,0.209,14,0.857,12,3,200,91.8,35.1,13,24,67,,6.8,5,0.26899999999999996,18,0.16699999999999998,3,49.2,32,0.455,16.1,14,49,0.469,23,0.25,1,"November 17, 2018",47.8,11,8.2,4,91.8,64.9,24,0.5,51,0.451,23,0.608,31,0.742,23,2,200,101.4,32.1,9,13,74,,6.8,5,0.33299999999999996,17,0.294,5,50.8,33,0.563,17.8,14,34,0.529,18,0.5,2,"Montagne Center, Beaumont, Texas",PRAIRIE-VIEW,Prairie View,72.7,Home,LAMAR,Lamar,Lamar,southland,3,True,False,True,Home,True,5,18,51,33,65,3,23,67,1,0,18,63,183,0.4918032786885246,110,202,0.5445544554455446,27,53,186,0.5026881720430108,0.3333333333333333
4,2018-11-19-20-lamar,46.7,7,8.0,4,128.0,50.0,18,0.327,52,0.28800000000000003,15,0.25,13,0.462,6,0,200,48.8,13.9,5,25,40,,8.5,7,0.28800000000000003,15,0.267,4,31.9,23,0.344,30.2,25,37,0.297,11,0.0,0,"November 19, 2018",50.0,19,21.6,8,48.8,86.1,31,0.5670000000000001,75,0.507,38,0.4,30,0.667,20,2,200,128.0,50.0,18,17,105,,18.3,15,0.33299999999999996,25,0.36,9,68.1,49,0.588,13.7,14,50,0.58,29,0.6,3,"Montagne Center, Beaumont, Texas","Arlington Baptist
			","Arlington Baptist
			",81.7,Home,LAMAR,Lamar,Lamar,southland,4,True,False,True,Home,True,9,29,75,49,72,4,11,52,1,0,23,81,234,0.4935897435897436,143,267,0.5355805243445693,30,76,253,0.4782608695652174,0.5
5,2018-11-23-20-texas-pan-american,77.8,21,2.6,1,102.7,74.2,23,0.469,65,0.415,27,0.369,24,0.583,14,3,200,100.0,47.1,16,25,75,,10.7,8,0.32299999999999995,21,0.33299999999999996,7,60.0,39,0.491,17.5,16,44,0.455,20,0.5,3,"November 23, 2018",63.0,17,6.8,3,100.0,52.9,18,0.518,57,0.474,27,0.42100000000000004,24,0.75,18,3,200,102.7,25.8,8,19,77,,13.3,10,0.33299999999999996,19,0.263,5,40.0,26,0.563,17.2,14,38,0.579,22,0.5710000000000001,4,"UTRGV Fieldhouse, Edinburg, Texas",LAMAR,Lamar,75.4,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Lamar,southland,5,False,False,False,Away,False,7,20,65,39,65,5,22,57,0,1,32,110,309,0.511326860841424,192,339,0.5663716814159292,34,87,305,0.4524590163934426,0.6
6,2018-11-27-20-southern-methodist,70.0,14,8.1,3,111.3,74.1,20,0.462,52,0.385,20,0.385,20,0.85,17,4,200,91.5,25.9,7,15,65,,12.7,9,0.5,26,0.308,8,50.0,27,0.528,20.8,16,26,0.462,12,0.429,3,"November 27, 2018",74.2,23,11.5,3,91.5,74.1,20,0.603,58,0.534,31,0.276,16,0.563,9,3,200,111.3,25.9,7,15,79,,12.7,9,0.36200000000000004,21,0.381,8,50.0,27,0.602,16.7,13,37,0.622,23,0.5710000000000001,4,"Moody Coliseum, Dallas, Texas",LAMAR,Lamar,71.1,Home,SOUTHERN-METHODIST,SMU,Lamar,southland,6,False,False,False,Away,False,8,12,52,27,54,8,23,58,0,1,39,130,374,0.5040106951871658,231,404,0.5717821782178217,39,109,362,0.462707182320442,0.5
7,2018-12-01-17-rice,50.0,12,6.9,2,91.9,79.5,31,0.48200000000000004,56,0.429,24,0.5710000000000001,32,0.6559999999999999,21,4,200,101.4,32.4,12,20,75,,2.7,2,0.375,21,0.28600000000000003,6,56.6,43,0.527,15.6,13,35,0.514,18,0.5,4,"December 1, 2018",59.1,13,8.6,3,101.4,67.6,25,0.406,64,0.344,22,0.344,22,0.727,16,6,200,91.9,20.5,8,25,68,,4.1,3,0.547,35,0.22899999999999998,8,43.4,33,0.457,12.0,10,29,0.483,14,0.33299999999999996,3,"Tudor Fieldhouse, Houston, Texas",RICE,Rice,74.3,Away,LAMAR,Lamar,Lamar,southland,7,False,False,False,Away,True,6,18,56,43,76,8,14,64,1,0,47,142,426,0.4988262910798122,258,458,0.5633187772925764,47,132,420,0.48214285714285715,0.42857142857142855
8,2018-12-04-20-houston,55.0,11,10.7,3,112.9,61.5,16,0.33299999999999996,66,0.303,20,0.379,25,0.48,12,5,200,80.0,40.0,20,16,56,,11.4,8,0.318,21,0.19,4,47.4,36,0.36,11.5,10,45,0.35600000000000004,16,0.444,4,"December 4, 2018",57.1,16,15.6,7,80.0,60.0,30,0.542,60,0.467,28,0.28300000000000003,17,0.8240000000000001,14,0,200,112.9,38.5,10,21,79,,4.3,3,0.5329999999999999,32,0.281,9,52.6,40,0.58,17.2,14,28,0.679,19,1.0,7,"Hofheinz Pavilion, Houston, Texas",LAMAR,Lamar,70.0,Home,HOUSTON,Houston,Lamar,southland,8,False,False,False,Away,False,4,16,66,36,76,9,19,60,0,1,53,160,482,0.49688796680497926,301,534,0.5636704119850188,55,146,484,0.47210743801652894,0.5
9,2018-12-13-22-cal-state-bakersfield,50.0,9,7.3,3,110.3,77.3,17,0.415,47,0.38299999999999995,18,0.83,39,0.667,26,6,200,83.3,32.0,8,15,65,,6.4,5,0.255,12,0.25,3,53.2,25,0.496,26.4,23,35,0.429,15,0.4,4,"December 13, 2018",50.0,17,25.7,9,83.3,68.0,17,0.623,61,0.557,34,0.19699999999999998,12,0.833,10,4,200,110.3,22.7,5,29,86,,10.3,8,0.32799999999999996,20,0.4,8,46.8,22,0.645,16.4,13,41,0.634,26,0.6,6,"Icardo Center, Bakersfield, California",LAMAR,Lamar,77.6,Home,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Lamar,southland,9,False,False,False,Away,False,3,15,47,25,47,8,26,61,0,1,57,176,548,0.4771897810218978,337,610,0.5524590163934426,64,165,544,0.4797794117647059,0.4444444444444444
10,2018-12-19-20-lamar,57.7,15,19.5,8,101.3,78.4,29,0.475,61,0.426,26,0.295,18,0.778,14,8,200,91.1,23.5,8,17,72,,8.9,7,0.361,22,0.273,6,52.1,37,0.518,19.8,17,39,0.513,20,0.33299999999999996,4,"December 19, 2018",67.9,19,0.0,0,91.1,76.5,26,0.539,64,0.43799999999999994,28,0.281,18,0.611,11,6,200,101.3,21.6,8,19,80,,7.6,6,0.359,23,0.565,13,47.9,34,0.551,16.3,14,41,0.366,15,0.455,5,"Montagne Center, Beaumont, Texas",TEXAS-SOUTHERN,Texas Southern,78.6,Home,LAMAR,Lamar,Lamar,southland,10,True,False,True,Home,True,13,15,64,34,71,6,20,61,1,0,60,191,595,0.4722689075630252,362,657,0.5509893455098934,72,191,605,0.49421487603305786,0.4
11,2018-12-21-20-lamar,53.8,7,0.0,0,137.5,60.6,20,0.28,50,0.26,13,0.26,13,0.308,4,0,200,36.4,14.6,6,21,32,,6.8,6,0.34,17,0.11800000000000001,2,35.1,26,0.285,39.9,37,33,0.33299999999999996,11,0.0,0,"December 21, 2018",56.8,25,12.1,4,36.4,85.4,35,0.636,77,0.5710000000000001,44,0.377,29,0.7929999999999999,23,6,200,137.5,39.4,13,14,121,,27.3,24,0.364,28,0.35700000000000004,10,64.9,48,0.6659999999999999,11.8,12,49,0.6940000000000001,34,0.5,6,"Montagne Center, Beaumont, Texas","Howard Payne
			","Howard Payne
			",88.5,Home,LAMAR,Lamar,Lamar,southland,11,True,False,True,Home,True,10,34,77,48,74,2,11,50,1,0,73,206,659,0.4787556904400607,396,728,0.5439560439560439,78,211,666,0.4924924924924925,0.45454545454545453
12,2018-12-29-15-lamar,71.4,15,0.0,0,145.2,63.0,17,0.51,52,0.40399999999999997,21,0.135,7,0.7140000000000001,5,0,200,69.0,14.3,4,16,58,,6.0,5,0.48100000000000004,25,0.44,11,38.2,21,0.524,36.7,32,27,0.37,10,0.0,0,"December 29, 2018",53.1,26,14.8,4,69.0,85.7,24,0.736,74,0.662,49,0.27,20,0.65,13,6,200,145.2,37.0,10,9,122,,28.6,24,0.365,27,0.40700000000000003,11,61.8,34,0.731,11.7,11,47,0.809,38,0.5379999999999999,7,"Montagne Center, Beaumont, Texas","Champion Christian
			","Champion Christian
			",83.9,Home,LAMAR,Lamar,Lamar,southland,12,True,False,True,Home,True,11,38,74,34,55,11,10,52,1,0,83,240,736,0.4952445652173913,444,802,0.5536159600997507,80,222,716,0.4776536312849162,0.5
13,2019-01-02-20-houston-baptist,40.6,13,6.8,3,100.0,78.8,26,0.5479999999999999,63,0.508,32,0.349,22,0.591,13,7,225,93.2,20.6,7,30,82,,11.4,10,0.28600000000000003,18,0.278,5,49.3,33,0.5579999999999999,21.6,20,45,0.6,27,0.5,7,"January 2, 2019",50.0,15,4.4,2,93.2,79.4,27,0.516,64,0.469,30,0.5,32,0.688,22,7,225,100.0,21.2,7,19,88,,10.2,9,0.313,20,0.3,6,50.7,34,0.556,18.7,18,44,0.545,24,0.41700000000000004,5,"Frank and Lucille Sharp Gymnasium, Houston, Texas",LAMAR,Lamar,78.5,Home,HOUSTON-BAPTIST,Houston Baptist,Lamar,southland,13,False,False,False,Away,False,5,27,63,33,67,6,24,64,0,1,94,278,810,0.5172839506172839,478,857,0.5577596266044341,91,232,768,0.4798177083333333,0.5384615384615384
14,2019-01-05-17-lamar,57.1,12,3.6,1,85.9,70.0,21,0.4,60,0.35,21,0.16699999999999998,10,0.7,7,9,200,77.5,21.2,7,28,55,,9.9,7,0.33299999999999996,20,0.3,6,44.4,28,0.425,20.9,17,40,0.375,15,0.4,6,"January 5, 2019",61.1,11,15.0,6,77.5,78.8,26,0.47600000000000003,42,0.429,18,0.857,36,0.583,21,7,200,85.9,30.0,9,18,61,,11.3,8,0.33299999999999996,14,0.28600000000000003,4,55.6,35,0.516,22.7,17,28,0.5,14,0.5329999999999999,8,"Montagne Center, Beaumont, Texas",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,70.9,Home,LAMAR,Lamar,Lamar,southland,14,True,False,True,Home,True,4,14,42,35,63,6,15,60,1,0,99,305,873,0.5194730813287515,511,924,0.553030303030303,97,256,832,0.48257211538461536,0.5
15,2019-01-09-20-lamar,46.4,13,11.1,5,86.6,61.5,24,0.525,60,0.467,28,0.33299999999999996,20,0.75,15,7,225,95.1,23.3,7,28,78,,12.2,10,0.317,19,0.368,7,44.9,31,0.561,21.6,19,41,0.512,21,0.5,7,"January 9, 2019",54.5,12,9.8,4,95.1,76.7,23,0.39799999999999996,59,0.373,22,0.6609999999999999,39,0.615,24,8,225,86.6,38.5,15,19,71,,13.4,11,0.237,14,0.214,3,55.1,38,0.45799999999999996,20.8,20,45,0.42200000000000004,19,0.5,8,"Montagne Center, Beaumont, Texas",LAMAR,Lamar,72.9,Away,NEW-ORLEANS,New Orleans,Lamar,southland,15,False,True,True,Home,False,3,19,59,38,69,7,21,60,0,1,103,319,915,0.5174863387978142,546,987,0.5531914893617021,103,271,892,0.47701793721973096,0.5333333333333333
16,2019-01-12-16-central-arkansas,54.5,12,0.0,0,110.3,73.9,17,0.42200000000000004,58,0.379,22,0.466,27,0.7040000000000001,19,9,200,100.0,43.8,14,18,68,,7.4,5,0.259,15,0.33299999999999996,5,56.4,31,0.48,15.7,13,43,0.395,17,0.47100000000000003,8,"January 12, 2019",88.5,23,7.0,3,100.0,56.3,18,0.653,49,0.531,26,0.327,16,0.688,11,10,200,110.3,26.1,6,21,75,,5.9,4,0.469,23,0.522,12,43.6,24,0.6629999999999999,22.2,16,26,0.5379999999999999,14,0.41200000000000003,7,"Jeff Farris Center, Conway, Arkansas",LAMAR,Lamar,68.2,Home,CENTRAL-ARKANSAS,Central Arkansas,Lamar,southland,16,False,False,False,Away,False,5,17,58,31,55,12,14,49,0,1,106,338,974,0.5102669404517454,584,1056,0.553030303030303,110,292,952,0.4800420168067227,0.5
17,2019-01-16-20-southeastern-louisiana,36.0,9,8.8,3,113.4,60.9,14,0.466,58,0.431,25,0.379,22,0.682,15,10,200,103.0,29.7,11,23,69,,7.5,5,0.276,16,0.25,4,41.7,25,0.504,12.9,10,42,0.5,21,0.444,8,"January 16, 2019",65.4,17,4.8,2,103.0,70.3,26,0.58,50,0.52,26,0.44,22,0.818,18,12,200,113.4,39.1,9,20,76,,7.5,5,0.32,16,0.375,6,58.3,35,0.629,21.1,16,34,0.588,20,0.294,5,"University Center, Hammond, Louisiana",LAMAR,Lamar,67.5,Home,SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,Lamar,southland,17,False,False,False,Away,False,4,21,58,25,60,6,20,50,0,1,111,355,1032,0.5053294573643411,615,1111,0.5535553555355536,122,306,1001,0.4885114885114885,0.47058823529411764
18,2019-01-23-20-lamar,66.7,20,2.8,1,116.0,75.0,21,0.586,58,0.517,30,0.259,15,0.867,13,13,225,108.0,22.2,6,20,81,,9.3,7,0.31,18,0.444,8,49.1,27,0.622,18.8,15,40,0.55,22,0.316,6,"January 23, 2019",55.2,16,7.5,3,108.0,77.8,21,0.602,54,0.537,29,0.593,32,0.688,22,10,225,116.0,25.0,7,16,87,,16.0,12,0.33299999999999996,18,0.389,7,50.9,28,0.629,17.1,14,36,0.611,22,0.474,9,"Montagne Center, Beaumont, Texas",INCARNATE-WORD,Incarnate Word,66.8,Home,LAMAR,Lamar,Lamar,southland,18,True,False,True,Home,True,7,22,54,28,55,8,22,58,1,0,115,376,1090,0.5032110091743119,640,1171,0.5465414175918019,128,326,1051,0.4928639391056137,0.4444444444444444
19,2019-01-26-18-sam-houston-state,52.6,10,10.3,3,106.2,81.3,26,0.35600000000000004,59,0.322,19,0.35600000000000004,21,0.81,17,11,200,90.8,35.1,13,17,59,,3.1,2,0.35600000000000004,21,0.19,4,56.5,39,0.428,12.8,10,38,0.395,15,0.45,9,"January 26, 2019",83.3,20,15.8,6,90.8,64.9,24,0.545,56,0.429,24,0.23199999999999998,13,0.615,8,8,200,106.2,18.8,6,19,69,,6.2,4,0.48200000000000004,27,0.48100000000000004,13,43.5,30,0.555,11.5,8,29,0.379,11,0.6,12,"Johnson Coliseum, Huntsville, Texas",LAMAR,Lamar,65.1,Home,SAM-HOUSTON-STATE,Sam Houston State,Lamar,southland,19,False,False,False,Away,False,4,15,59,39,69,13,11,56,0,1,122,398,1144,0.5078671328671329,668,1226,0.5448613376835236,136,348,1109,0.4977457168620379,0.47368421052631576
20,2019-01-30-20-nicholls-state,48.4,15,19.4,6,100.0,78.1,25,0.57,57,0.544,31,0.474,27,0.9259999999999999,25,11,200,130.4,43.5,10,13,90,,8.7,6,0.263,15,0.2,3,63.6,35,0.644,11.6,9,42,0.667,28,0.47600000000000003,10,"January 30, 2019",57.7,15,7.1,3,130.4,56.5,13,0.516,63,0.413,26,0.063,4,1.0,4,11,200,100.0,21.9,7,22,69,,4.3,3,0.508,32,0.406,13,36.4,20,0.532,15.6,12,31,0.419,13,0.47600000000000003,10,"David Stopher Gymnasium, Thibodaux, Louisiana",NICHOLLS-STATE,Nicholls State,69.4,Away,LAMAR,Lamar,Lamar,southland,20,False,False,False,Away,True,3,28,57,35,55,13,13,63,1,0,126,413,1203,0.5004156275976724,707,1295,0.5459459459459459,149,359,1165,0.5,0.45
