,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CHATTANOOGA_homegame,CHATTANOOGA_homegame2,CHATTANOOGA_home,CHATTANOOGA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-charlotte,38.5,10,5.9,2,103.0,80.0,20,0.573,55,0.473,26,0.364,20,0.85,17,0,200,119.4,23.3,7,22,80,,7.5,5,0.382,21,0.524,11,49.1,27,0.62,11.1,8,34,0.441,15,1.0,1,"November 6, 2018",33.3,8,17.6,6,119.4,76.7,23,0.52,50,0.48,24,0.46,23,0.7390000000000001,17,1,200,103.0,20.0,5,24,69,,1.5,1,0.32,16,0.25,4,50.9,28,0.5660000000000001,17.8,13,34,0.588,20,0.0,0,"Dale F. Halton Arena, Charlotte, North Carolina",CHARLOTTE,Charlotte,67.2,Away,CHATTANOOGA,Chattanooga,Chattanooga,southern,0,False,False,False,Away,True,11,15,55,27,55,4,20,50,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-19-chattanooga,46.4,13,5.7,2,92.9,86.7,26,0.49200000000000005,65,0.431,28,0.369,24,0.708,17,1,200,96.4,16.2,6,27,81,,10.7,9,0.446,29,0.276,8,47.8,32,0.53,14.7,13,36,0.556,20,0.5,1,"November 10, 2018",48.0,12,8.3,3,96.4,83.8,31,0.528,53,0.47200000000000003,25,0.585,31,0.71,22,1,200,92.9,13.3,4,25,78,,3.6,3,0.34,18,0.33299999999999996,6,52.2,35,0.5760000000000001,23.1,20,35,0.5429999999999999,19,0.5,1,"The McKenzie Arena, Chattanooga, Tennessee",CHATTANOOGA,Chattanooga,83.6,Away,EASTERN-KENTUCKY,Eastern Kentucky,Chattanooga,southern,1,False,True,True,Home,False,6,19,53,35,67,8,20,65,0,1,11,15,55,0.5727272727272728,27,55,0.4909090909090909,4,20,50,0.52,1.0
2,2018-11-13-19-chattanooga,33.3,7,3.9,2,119.5,65.7,23,0.431,58,0.36200000000000004,21,0.36200000000000004,21,0.524,11,0,200,79.2,7.5,3,26,61,,3.9,3,0.414,24,0.33299999999999996,8,34.7,26,0.449,16.2,13,34,0.382,13,0.0,0,"November 13, 2018",45.2,14,8.8,3,79.2,92.5,37,0.5,68,0.456,31,0.456,31,0.774,24,1,200,119.5,34.3,12,17,92,,5.2,4,0.25,17,0.353,6,65.3,49,0.556,6.8,6,51,0.49,25,0.667,2,"The McKenzie Arena, Chattanooga, Tennessee","Cumberland
			","Cumberland
			",77.4,Home,CHATTANOOGA,Chattanooga,Chattanooga,southern,2,True,False,True,Home,True,6,25,68,49,75,8,13,58,1,0,17,34,108,0.5509259259259259,62,122,0.5081967213114754,12,40,115,0.5043478260869565,0.5
3,2018-11-16-20-south-alabama,29.4,5,12.1,4,96.1,70.3,26,0.307,57,0.298,17,0.439,25,0.76,19,2,200,71.1,16.7,6,25,54,,10.5,8,0.281,16,0.063,1,43.8,32,0.392,16.0,13,41,0.39,16,0.5,2,"November 16, 2018",40.9,9,9.8,4,71.1,83.3,30,0.46399999999999997,56,0.39299999999999996,22,0.625,35,0.6,21,1,200,96.1,29.7,11,22,73,,7.9,6,0.41100000000000003,23,0.348,8,56.2,41,0.503,16.4,14,33,0.424,14,0.667,2,"Mitchell Center, Mobile, Alabama",CHATTANOOGA,Chattanooga,75.8,Home,SOUTH-ALABAMA,South Alabama,Chattanooga,southern,3,False,False,False,Away,False,1,16,57,32,73,8,14,56,0,1,23,59,176,0.53125,111,197,0.5634517766497462,20,53,173,0.4797687861271676,0.6666666666666666
4,2018-11-17-17-southeast-missouri-state,46.7,7,0.0,0,90.0,78.1,25,0.305,59,0.254,15,0.16899999999999998,10,0.6,6,3,200,60.0,16.3,7,14,42,,5.7,4,0.61,36,0.16699999999999998,6,42.7,32,0.32899999999999996,15.9,12,23,0.391,9,0.4,2,"November 17, 2018",40.0,10,13.0,3,60.0,83.7,36,0.491,56,0.446,25,0.179,10,0.8,8,2,200,90.0,21.9,7,16,63,,7.1,5,0.304,17,0.294,5,57.3,43,0.519,22.0,17,39,0.513,20,0.6,3,"Mitchell Center, Mobile, Alabama",CHATTANOOGA,Chattanooga,69.8,Home,SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Chattanooga,southern,4,False,False,False,Away,False,6,9,59,32,75,5,20,56,0,1,24,75,233,0.47639484978540775,143,270,0.5296296296296297,28,67,229,0.4759825327510917,0.5
5,2018-11-18-15-jacksonville,38.5,10,8.5,4,98.7,84.8,28,0.49200000000000005,61,0.426,26,0.18,11,0.545,6,4,200,88.0,22.9,8,20,66,,6.7,5,0.32799999999999996,20,0.4,8,52.9,36,0.498,17.5,14,41,0.439,18,0.33299999999999996,2,"November 18, 2018",46.4,13,7.3,3,88.0,77.1,27,0.5,61,0.45899999999999996,28,0.32799999999999996,20,0.65,13,4,200,98.7,15.2,5,19,74,,8.0,6,0.23,14,0.35700000000000004,5,47.1,32,0.525,15.7,13,47,0.489,23,0.33299999999999996,2,"Mitchell Center, Mobile, Alabama",CHATTANOOGA,Chattanooga,75.4,Home,JACKSONVILLE,Jacksonville,Chattanooga,southern,5,False,False,False,Away,False,8,18,61,36,68,5,23,61,0,1,30,84,292,0.4417808219178082,175,345,0.5072463768115942,33,87,285,0.4789473684210526,0.4
6,2018-11-23-16-michigan,59.1,13,5.4,2,122.1,67.7,21,0.434,61,0.361,22,0.066,4,0.5,2,5,200,80.9,13.5,5,17,55,,2.9,2,0.361,22,0.409,9,38.2,26,0.43700000000000006,17.2,13,39,0.33299999999999996,13,0.28600000000000003,2,"November 23, 2018",44.8,13,5.1,2,80.9,86.5,32,0.5589999999999999,59,0.49200000000000005,29,0.40700000000000003,24,0.708,17,0,200,122.1,32.3,10,5,83,9.0,14.7,10,0.373,22,0.364,8,61.8,42,0.589,6.7,5,37,0.568,21,1.0,6,"Crisler Arena, Ann Arbor, Michigan",CHATTANOOGA,Chattanooga,68.2,Home,MICHIGAN,Michigan,Chattanooga,southern,6,False,False,False,Away,False,9,13,61,26,68,8,21,59,0,1,38,102,353,0.45042492917847027,211,413,0.5108958837772397,38,110,346,0.48265895953757226,0.3333333333333333
7,2018-11-27-19-chattanooga,41.7,10,8.3,4,123.4,66.7,24,0.483,58,0.414,24,0.155,9,0.667,6,0,200,80.5,18.8,6,13,62,,9.1,7,0.397,23,0.348,8,44.1,30,0.498,24.4,20,35,0.457,16,0.0,0,"November 27, 2018",48.7,19,2.9,1,80.5,81.3,26,0.58,75,0.52,39,0.16,12,0.667,8,5,200,123.4,33.3,12,10,95,,16.9,13,0.36,27,0.33299999999999996,9,55.9,38,0.589,11.1,10,48,0.625,30,0.375,3,"The McKenzie Arena, Chattanooga, Tennessee","Hiwassee
			","Hiwassee
			",77.5,Home,CHATTANOOGA,Chattanooga,Chattanooga,southern,7,True,False,True,Home,True,9,30,75,38,68,8,16,58,1,0,47,115,414,0.44806763285024154,237,481,0.49272349272349275,46,131,405,0.49382716049382713,0.2857142857142857
8,2018-12-01-14-chattanooga,37.5,9,21.7,5,106.0,69.0,20,0.449,59,0.40700000000000003,24,0.237,14,0.5,7,7,200,89.6,26.5,9,15,60,,16.4,11,0.28800000000000003,17,0.294,5,46.0,29,0.457,16.6,13,42,0.452,19,0.125,1,"December 1, 2018",79.2,19,9.5,4,89.6,73.5,25,0.5870000000000001,52,0.462,24,0.308,16,0.625,10,5,200,106.0,31.0,9,15,71,,9.0,6,0.5579999999999999,29,0.44799999999999995,13,54.0,34,0.596,19.2,14,23,0.478,11,0.444,4,"The McKenzie Arena, Chattanooga, Tennessee",TENNESSEE-TECH,Tennessee Tech,67.1,Home,CHATTANOOGA,Chattanooga,Chattanooga,southern,8,True,False,True,Home,True,13,11,52,34,63,5,19,59,1,0,56,145,489,0.46830265848670755,275,549,0.5009107468123861,54,147,463,0.4924406047516199,0.375
9,2018-12-09-13-chattanooga,41.7,10,0.0,0,113.7,85.7,30,0.44299999999999995,61,0.39299999999999996,24,0.213,13,0.846,11,6,200,89.0,19.4,7,14,65,,4.1,3,0.377,23,0.261,6,52.1,37,0.484,15.2,12,38,0.474,18,0.455,5,"December 9, 2018",69.0,20,15.8,6,89.0,80.6,29,0.555,64,0.45299999999999996,29,0.23399999999999999,15,0.8,12,5,200,113.7,14.3,5,12,83,,4.1,3,0.531,34,0.382,13,47.9,34,0.583,10.2,8,30,0.5329999999999999,16,0.5,5,"The McKenzie Arena, Chattanooga, Tennessee",VIRGINIA-MILITARY-INSTITUTE,VMI,73.2,Home,CHATTANOOGA,Chattanooga,Chattanooga,southern,9,True,False,True,Home,True,13,16,64,34,71,6,18,61,1,0,69,156,541,0.47966728280961185,309,612,0.5049019607843137,59,166,522,0.4875478927203065,0.4444444444444444
