,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SAN-DIEGO-STATE_homegame,SAN-DIEGO-STATE_homegame2,SAN-DIEGO-STATE_home,SAN-DIEGO-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-22-san-diego-state,45.0,9,6.9,2,107.0,72.7,24,0.429,56,0.35700000000000004,20,0.25,14,0.857,12,1,200,84.5,25.8,8,22,60,,12.7,9,0.5,28,0.28600000000000003,8,50.0,32,0.479,22.5,18,28,0.429,12,0.0,0,"November 6, 2018",75.0,18,7.1,2,84.5,74.2,23,0.536,56,0.429,24,0.39299999999999996,22,0.727,16,0,200,107.0,27.3,9,14,76,,12.7,9,0.48200000000000004,27,0.444,12,50.0,32,0.5720000000000001,15.4,12,29,0.414,12,1.0,1,"Viejas Arena, San Diego, California",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,71.1,Home,SAN-DIEGO-STATE,San Diego State,San Diego State,mwc,0,True,False,True,Home,True,12,12,56,32,64,8,12,56,1,0,0,0,0,,0,0,,0,0,0,,
1,2018-11-14-22-san-diego-state,58.3,14,0.0,0,125.6,60.0,18,0.368,72,0.33299999999999996,24,0.25,18,0.611,11,3,200,78.0,31.1,14,27,64,,8.5,7,0.361,26,0.192,5,42.7,32,0.397,14.9,14,46,0.413,19,0.25,1,"November 14, 2018",52.9,18,8.7,4,78.0,68.9,31,0.585,65,0.523,34,0.5539999999999999,36,0.75,27,0,200,125.6,40.0,12,20,103,,8.5,7,0.27699999999999997,18,0.444,8,57.3,43,0.627,13.9,13,47,0.5529999999999999,26,1.0,2,"Viejas Arena, San Diego, California",TEXAS-SOUTHERN,Texas Southern,81.8,Home,SAN-DIEGO-STATE,San Diego State,San Diego State,mwc,1,True,False,True,Home,True,8,26,65,43,75,5,19,72,1,0,12,12,56,0.5357142857142857,32,64,0.5,8,12,56,0.42857142857142855,1.0
2,2018-11-19-16-san-diego-state,41.4,12,12.5,4,86.5,82.4,28,0.596,57,0.509,29,0.596,34,0.647,22,0,200,121.6,37.1,13,25,90,1.0,9.5,7,0.439,25,0.4,10,59.4,41,0.615,17.2,15,32,0.594,19,1.0,4,"November 19, 2018",42.1,8,9.4,3,121.6,62.9,22,0.415,53,0.358,19,0.509,27,0.741,20,1,200,86.5,17.6,6,23,64,,9.5,7,0.396,21,0.28600000000000003,6,40.6,28,0.486,16.7,13,32,0.406,13,0.667,2,"Lahaina Civic Center, Lahaina, Hawaii",SAN-DIEGO-STATE,San Diego State,74.0,Away,DUKE,Duke,San Diego State,mwc,2,False,True,True,Home,False,6,13,53,28,69,10,19,57,0,1,20,38,121,0.5619834710743802,75,139,0.539568345323741,13,31,128,0.39453125,1.0
3,2018-11-20-14-san-diego-state,42.9,12,4.2,1,121.5,62.5,15,0.5329999999999999,60,0.467,28,0.25,15,0.667,10,3,200,113.8,28.6,8,20,74,,10.8,7,0.41700000000000004,25,0.32,8,44.2,23,0.551,10.7,8,35,0.5710000000000001,20,0.4,2,"November 20, 2018",65.4,17,17.1,6,113.8,71.4,20,0.618,51,0.51,26,0.392,20,0.8,16,1,200,121.5,37.5,9,18,79,,3.1,2,0.529,27,0.40700000000000003,11,55.8,29,0.653,16.7,12,24,0.625,15,0.75,3,"Lahaina Civic Center, Lahaina, Hawaii",XAVIER,Xavier,65.3,Home,SAN-DIEGO-STATE,San Diego State,San Diego State,mwc,3,True,False,True,Home,True,11,15,51,29,52,8,20,60,1,0,26,51,174,0.5172413793103449,103,208,0.4951923076923077,23,50,185,0.45675675675675675,0.6666666666666666
4,2018-11-21-14-iowa-state,50.0,9,7.4,2,140.3,63.3,19,0.42200000000000004,51,0.353,18,0.33299999999999996,17,0.8240000000000001,14,2,200,91.9,20.0,7,17,57,,3.2,2,0.41200000000000003,21,0.33299999999999996,7,40.0,26,0.48200000000000004,15.8,11,30,0.36700000000000005,11,0.6,3,"November 21, 2018",60.7,17,6.7,2,91.9,80.0,28,0.593,59,0.475,28,0.33899999999999997,20,0.85,17,1,200,140.3,36.7,11,15,87,,11.3,7,0.542,32,0.43799999999999994,14,60.0,39,0.635,5.6,4,27,0.519,14,0.833,5,"Lahaina Civic Center, Lahaina, Hawaii",SAN-DIEGO-STATE,San Diego State,62.3,Home,IOWA-STATE,Iowa State,San Diego State,mwc,4,False,False,False,Away,False,7,11,51,26,65,14,14,59,0,1,37,66,225,0.54,132,260,0.5076923076923077,31,70,245,0.47551020408163264,0.75
5,2018-11-27-22-san-diego-state,60.0,9,15.2,5,110.1,67.9,19,0.293,58,0.259,15,0.24100000000000002,14,0.7140000000000001,10,6,200,55.7,21.4,9,23,44,,11.4,9,0.345,20,0.2,4,40.0,28,0.34,26.4,23,38,0.289,11,0.14300000000000002,1,"November 27, 2018",69.0,20,13.2,5,55.7,78.6,33,0.596,57,0.509,29,0.439,25,0.76,19,2,200,110.1,32.1,9,15,87,,16.5,13,0.42100000000000004,24,0.41700000000000004,10,60.0,42,0.632,21.8,19,33,0.5760000000000001,19,0.667,4,"Viejas Arena, San Diego, California",JACKSON-STATE,Jackson State,78.8,Home,SAN-DIEGO-STATE,San Diego State,San Diego State,mwc,5,True,False,True,Home,True,10,19,57,42,70,4,11,58,1,0,44,77,276,0.5181159420289855,158,325,0.48615384615384616,45,84,304,0.49835526315789475,0.6
6,2018-12-01-15-illinois-state,48.1,13,5.9,2,91.5,69.8,30,0.5,60,0.45,27,0.433,26,0.5770000000000001,15,2,200,105.6,45.7,16,24,75,,8.5,6,0.33299999999999996,20,0.3,6,59.0,46,0.518,16.4,14,40,0.525,21,0.7140000000000001,5,"December 1, 2018",44.4,8,2.5,1,105.6,54.3,19,0.353,58,0.31,18,0.534,31,0.774,24,3,200,91.5,30.2,13,22,65,,7.0,5,0.414,24,0.20800000000000002,5,41.0,32,0.447,13.3,11,34,0.382,13,0.667,6,"Redbird Arena, Normal, Illinois",ILLINOIS-STATE,Illinois State,70.5,Away,SAN-DIEGO-STATE,San Diego State,San Diego State,mwc,6,False,False,False,Away,True,6,21,60,46,78,5,13,58,1,0,54,96,333,0.5315315315315315,200,395,0.5063291139240507,49,95,362,0.4654696132596685,0.6666666666666666
7,2018-12-05-22-san-diego-state,58.3,14,17.2,5,92.4,77.8,21,0.519,53,0.45299999999999996,24,0.5660000000000001,30,0.6,18,2,200,110.6,31.0,9,23,73,,6.1,4,0.45299999999999996,24,0.292,7,53.6,30,0.5429999999999999,12.0,9,29,0.586,17,0.778,7,"December 5, 2018",55.6,10,6.9,2,110.6,69.0,20,0.455,44,0.409,18,0.682,30,0.7,21,3,200,92.4,22.2,6,25,61,,3.0,2,0.341,15,0.267,4,46.4,26,0.524,17.3,12,29,0.483,14,0.625,5,"Viejas Arena, San Diego, California",SAN-DIEGO-STATE,San Diego State,65.8,Away,SAN-DIEGO,San Diego,San Diego State,mwc,7,False,True,True,Home,False,4,14,44,26,56,7,17,53,0,1,60,117,393,0.5267175572519084,246,473,0.5200845665961945,54,108,420,0.45,0.7142857142857143
8,2018-12-08-22-california,62.1,18,0.0,0,141.3,61.5,16,0.66,53,0.547,29,0.28300000000000003,15,0.867,13,4,200,131.7,34.8,8,17,83,,3.2,2,0.396,21,0.5710000000000001,12,49.0,24,0.69,15.6,11,32,0.531,17,0.556,5,"December 8, 2018",62.1,18,3.1,1,131.7,65.2,15,0.645,55,0.527,29,0.364,20,0.9,18,5,200,141.3,38.5,10,16,89,,1.6,1,0.509,28,0.46399999999999997,13,51.0,25,0.69,11.1,8,27,0.593,16,0.375,3,"Haas Pavilion, Berkeley, California",SAN-DIEGO-STATE,San Diego State,62.8,Home,CALIFORNIA,California,San Diego State,mwc,8,False,False,False,Away,False,12,17,53,24,49,13,16,55,0,1,64,131,437,0.5194508009153318,272,529,0.5141776937618148,61,125,473,0.45771670190274844,0.625
9,2018-12-12-22-san-diego-state,58.8,10,10.9,5,130.3,61.1,22,0.336,55,0.309,17,0.255,14,0.643,9,0,200,60.5,10.3,4,22,46,,7.9,6,0.436,24,0.125,3,34.7,26,0.373,19.7,15,31,0.452,14,0.0,0,"December 12, 2018",77.8,28,6.5,2,60.5,89.7,35,0.589,73,0.493,36,0.301,22,0.591,13,4,200,130.3,38.9,14,17,99,,3.9,3,0.37,27,0.519,14,65.3,49,0.593,10.8,10,46,0.478,22,0.6,6,"Viejas Arena, San Diego, California","Cal St Dominguez Hills
			","Cal St Dominguez Hills
			",76.1,Home,SAN-DIEGO-STATE,San Diego State,San Diego State,mwc,9,True,False,True,Home,True,14,22,73,49,75,3,14,55,1,0,76,148,490,0.5346938775510204,296,578,0.5121107266435986,74,141,528,0.4772727272727273,0.5555555555555556
