,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,IDAHO_homegame,IDAHO_homegame2,IDAHO_home,IDAHO_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-22-california-irvine,62.5,15,4.7,2,132.3,53.3,16,0.545,55,0.436,24,0.23600000000000002,13,0.615,8,1,196,104.6,16.7,5,16,68,,6.2,4,0.491,27,0.444,12,35.0,21,0.556,11.6,8,28,0.429,12,0.0,0,"November 6, 2018",61.8,21,14.3,4,104.6,83.3,25,0.603,63,0.54,34,0.20600000000000002,13,0.769,10,0,196,132.3,46.7,14,11,86,,7.7,5,0.317,20,0.4,8,65.0,39,0.622,12.7,10,43,0.605,26,1.0,1,"Bren Events Center, Irvine, California",IDAHO,Idaho,66.0,Home,CALIFORNIA-IRVINE,UC-Irvine,Idaho,big-sky,0,False,False,False,Away,False,12,12,55,21,60,8,26,63,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-13-22-idaho,44.4,12,12.5,5,106.7,63.0,17,0.534,59,0.45799999999999996,27,0.40700000000000003,24,0.833,20,2,200,110.7,18.2,6,17,83,,12.0,9,0.35600000000000004,21,0.429,9,38.3,23,0.589,11.5,9,38,0.474,18,0.5,2,"November 13, 2018",53.1,17,10.5,4,110.7,81.8,27,0.5710000000000001,63,0.508,32,0.20600000000000002,13,0.615,8,2,200,106.7,37.0,10,18,80,,2.7,2,0.365,23,0.348,8,61.7,37,0.578,20.8,18,40,0.6,24,0.0,0,"Memorial Gym, Moscow, Idaho",IDAHO,Idaho,75.3,Away,NICHOLLS-STATE,Nicholls State,Idaho,big-sky,1,False,True,True,Home,False,8,24,63,37,60,9,18,59,0,1,12,12,55,0.5454545454545454,21,60,0.35,8,26,63,0.6031746031746031,0.0
2,2018-11-18-17-idaho,56.5,13,0.0,0,113.0,66.7,20,0.375,72,0.319,23,0.09699999999999999,7,0.7140000000000001,5,0,200,76.6,16.3,7,15,59,,9.1,7,0.444,32,0.25,8,37.0,27,0.392,12.8,11,40,0.375,15,0.0,0,"November 18, 2018",60.0,21,7.5,3,76.6,83.7,36,0.609,64,0.547,35,0.203,13,0.6920000000000001,9,2,200,113.0,33.3,10,14,87,,6.5,5,0.45299999999999996,29,0.276,8,63.0,46,0.62,17.7,15,35,0.7709999999999999,27,0.33299999999999996,1,"Memorial Gym, Moscow, Idaho","Bethesda University (CA)
			","Bethesda University (CA)
			",77.3,Home,IDAHO,Idaho,Idaho,big-sky,2,True,False,True,Home,True,8,27,64,46,73,8,15,72,1,0,20,36,118,0.559322033898305,58,120,0.48333333333333334,17,44,122,0.569672131147541,0.0
3,2018-11-23-21-idaho,51.7,15,10.8,4,92.4,82.1,23,0.542,60,0.483,29,0.41700000000000004,25,0.48,12,0,200,97.5,30.6,11,22,77,,16.5,13,0.33299999999999996,20,0.35,7,53.1,34,0.536,18.4,16,40,0.55,22,0.0,0,"November 23, 2018",36.0,9,5.0,2,97.5,69.4,25,0.519,54,0.46299999999999997,25,0.444,24,0.708,17,3,200,92.4,17.9,5,18,73,,8.9,7,0.315,17,0.353,6,46.9,30,0.5579999999999999,23.7,20,37,0.514,19,0.25,1,"CenturyLink Arena, Boise, Idaho",IDAHO,Idaho,78.6,Away,"Northwest Nazarene
			","Northwest Nazarene
			",Idaho,big-sky,3,False,True,True,Home,False,6,19,54,30,64,7,22,60,0,1,28,63,182,0.5769230769230769,104,193,0.538860103626943,25,59,194,0.49742268041237114,0.3333333333333333
4,2018-11-24-21-california-santa-barbara,44.4,8,6.3,3,104.8,51.4,18,0.38,54,0.33299999999999996,18,0.315,17,0.8240000000000001,14,4,200,87.3,23.5,8,22,55,,9.5,6,0.444,24,0.20800000000000002,5,37.7,26,0.44299999999999995,11.5,8,30,0.433,13,0.2,1,"November 24, 2018",45.5,10,13.3,4,87.3,76.5,26,0.375,60,0.36700000000000005,22,0.4,24,0.875,21,1,200,104.8,48.6,17,14,66,,4.8,3,0.2,12,0.083,1,62.3,43,0.462,12.4,10,48,0.43799999999999994,21,0.833,5,"CenturyLink Arena, Boise, Idaho",IDAHO,Idaho,63.2,Home,CALIFORNIA-SANTA-BARBARA,UCSB,Idaho,big-sky,4,False,False,False,Away,False,5,13,54,26,69,1,21,60,0,1,34,82,236,0.5635593220338984,134,257,0.5214007782101168,32,81,254,0.5078740157480315,0.25
5,2018-11-27-22-idaho,55.6,10,0.0,0,124.1,75.9,22,0.311,66,0.273,18,0.076,5,0.6,3,0,200,55.7,9.5,4,18,44,,7.6,6,0.455,30,0.16699999999999998,5,36.6,26,0.322,19.0,16,36,0.361,13,0.0,0,"November 27, 2018",56.8,21,2.8,1,55.7,90.5,38,0.623,65,0.569,37,0.369,24,0.708,17,4,200,124.1,24.1,7,11,98,,11.4,9,0.308,20,0.35,7,63.4,45,0.6409999999999999,9.6,8,45,0.667,30,0.33299999999999996,2,"Memorial Gym, Moscow, Idaho","West Coast Baptist
			","West Coast Baptist
			",78.9,Home,IDAHO,Idaho,Idaho,big-sky,5,True,False,True,Home,True,7,30,65,45,71,5,13,66,1,0,39,95,290,0.5293103448275862,160,326,0.49079754601226994,33,102,314,0.482484076433121,0.2
6,2018-12-01-16-north-dakota,45.8,11,10.7,3,83.1,69.4,25,0.561,49,0.49,24,0.327,16,0.75,12,4,200,103.1,12.0,3,17,67,,13.8,9,0.245,12,0.583,7,45.9,28,0.5920000000000001,16.4,11,37,0.45899999999999996,17,0.429,3,"December 1, 2018",70.0,14,2.7,1,103.1,88.0,22,0.418,55,0.364,20,0.273,15,0.5329999999999999,8,4,200,83.1,30.6,11,15,54,,7.7,5,0.491,27,0.222,6,54.1,33,0.435,18.5,14,28,0.5,14,0.5,4,"Betty Engelstad Sioux Center , Grand Forks, North Dakota",NORTH-DAKOTA,North Dakota,64.9,Away,IDAHO,Idaho,Idaho,big-sky,6,False,False,False,Away,True,7,17,49,28,61,6,14,55,1,0,46,125,355,0.5464788732394367,205,397,0.5163727959697733,38,115,380,0.45263157894736844,0.3333333333333333
7,2018-12-05-21-washington-state,25.0,7,3.3,1,126.8,77.8,28,0.49200000000000005,63,0.444,28,0.23800000000000002,15,0.5329999999999999,8,5,200,98.6,31.4,11,16,70,,2.8,2,0.33299999999999996,21,0.28600000000000003,6,54.9,39,0.499,13.6,11,42,0.524,22,0.375,3,"December 5, 2018",54.8,17,11.9,5,98.6,68.6,24,0.5770000000000001,65,0.47700000000000004,31,0.33799999999999997,22,0.682,15,2,200,126.8,22.2,8,17,90,,5.6,4,0.5379999999999999,35,0.371,13,45.1,32,0.596,5.1,4,30,0.6,18,0.7140000000000001,5,"Beasley Coliseum, Pullman, Washington",IDAHO,Idaho,70.8,Home,WASHINGTON-STATE,Washington State,Idaho,big-sky,7,False,False,False,Away,False,6,22,63,39,71,13,18,65,0,1,53,142,404,0.5482673267326733,233,458,0.5087336244541485,44,129,435,0.4482758620689655,0.42857142857142855
8,2018-12-08-22-idaho,50.0,13,9.5,2,100.0,76.0,19,0.433,67,0.38799999999999996,26,0.34299999999999997,23,0.652,15,4,200,109.0,42.4,14,17,73,,9.0,6,0.373,25,0.24,6,56.9,33,0.46799999999999997,6.1,5,42,0.47600000000000003,20,0.556,5,"December 8, 2018",63.6,14,2.4,1,109.0,57.6,19,0.573,48,0.45799999999999996,22,0.396,19,0.632,12,6,200,100.0,24.0,6,21,67,,7.5,5,0.563,27,0.40700000000000003,11,43.1,25,0.5870000000000001,19.9,14,21,0.524,11,0.33299999999999996,3,"Memorial Gym, Moscow, Idaho",IDAHO,Idaho,67.0,Away,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Idaho,big-sky,8,False,True,True,Home,False,11,11,48,25,58,6,20,67,0,1,59,164,467,0.5406852248394004,272,529,0.5141776937618148,57,147,500,0.465,0.375
9,2018-12-15-18-idaho,51.6,16,0.0,0,98.8,88.5,23,0.5539999999999999,65,0.47700000000000004,31,0.385,25,0.68,17,7,200,109.9,17.1,6,23,89,,4.9,4,0.4,26,0.385,10,47.5,29,0.579,8.4,7,39,0.5379999999999999,21,0.364,4,"December 15, 2018",42.3,11,0.0,0,109.9,82.9,29,0.5539999999999999,56,0.46399999999999997,26,0.46399999999999997,26,0.6920000000000001,18,7,200,98.8,11.5,3,21,80,,2.5,2,0.518,29,0.345,10,52.5,32,0.585,21.1,18,27,0.593,16,0.3,3,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,80.6,Away,NEBRASKA-OMAHA,Omaha,Idaho,big-sky,9,False,True,True,Home,False,10,16,56,32,61,10,21,65,0,1,70,175,515,0.5436893203883495,297,587,0.5059625212947189,63,167,567,0.46119929453262787,0.3333333333333333
