,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-CAROLINA-AT_homegame,NORTH-CAROLINA-AT_homegame2,NORTH-CAROLINA-AT_home,NORTH-CAROLINA-AT_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2018-11-06-19-north-carolina-at,34.4,11,23.7,9,101.5,62.9,22,0.523,64,0.5,32,0.156,10,0.7,7,0,200,113.8,53.3,16,20,74,,12.3,8,0.266,17,0.17600000000000002,3,58.5,38,0.5379999999999999,17.0,14,47,0.617,29,1.0,1,"November 6, 2018",45.8,11,2.1,1,113.8,46.7,14,0.509,56,0.429,24,0.375,21,0.429,9,1,200,101.5,37.1,13,14,66,,10.8,7,0.321,18,0.5,9,41.5,27,0.5,14.4,11,38,0.395,15,0.0,0,"Ellis Corbett Sports Center, Greensboro, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,65.4,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,North Carolina A&T,meac,0,False,True,True,Home,False,9,15,56,27,65,3,29,64,0,1,0,0,0,,0,0,,0,0,0,,
1,2018-11-10-14-wake-forest,55.6,15,7.7,3,128.6,40.7,11,0.551,59,0.45799999999999996,27,0.322,19,0.684,13,2,199,111.4,18.2,6,24,78,,7.1,5,0.441,26,0.423,11,28.3,17,0.573,11.8,9,33,0.485,16,0.0,0,"November 10, 2018",42.9,12,12.1,4,111.4,81.8,27,0.5710000000000001,56,0.5,28,0.589,33,0.7879999999999999,26,0,199,128.6,59.3,16,15,90,,5.7,4,0.304,17,0.47100000000000003,8,71.7,43,0.628,16.6,14,39,0.513,20,1.0,1,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,70.7,Home,WAKE-FOREST,Wake Forest,North Carolina A&T,meac,1,False,False,False,Away,False,11,16,59,17,60,8,20,56,0,1,9,15,56,0.5089285714285714,27,65,0.4153846153846154,3,29,64,0.5234375,0.0
2,2018-11-12-19-maryland,54.2,13,11.1,4,115.5,62.9,22,0.426,61,0.39299999999999996,24,0.14800000000000002,9,0.778,7,3,200,83.1,19.4,7,20,59,,9.9,7,0.361,22,0.182,4,40.8,29,0.452,15.6,12,39,0.513,20,0.0,0,"November 12, 2018",77.4,24,7.7,3,83.1,80.6,29,0.545,66,0.47,31,0.242,16,0.625,10,0,200,115.5,37.1,13,13,82,,11.3,8,0.455,30,0.33299999999999996,10,59.2,42,0.557,14.1,12,36,0.583,21,1.0,3,"Xfinity Center, College Park, Maryland",NORTH-CAROLINA-AT,North Carolina A&T,71.4,Home,MARYLAND,Maryland,North Carolina A&T,meac,2,False,False,False,Away,False,4,20,61,29,71,10,21,66,0,1,20,31,115,0.5304347826086957,44,125,0.352,11,49,120,0.5458333333333333,0.0
3,2018-11-14-19-hofstra,53.8,14,3.2,1,129.6,80.0,16,0.59,50,0.52,26,0.3,15,0.867,13,4,200,101.4,29.2,7,23,72,,8.5,6,0.4,20,0.35,7,52.3,23,0.63,24.1,18,30,0.633,19,0.0,0,"November 14, 2018",69.0,20,10.0,3,101.4,70.8,17,0.62,54,0.537,29,0.519,28,0.893,25,1,200,129.6,20.0,4,15,92,,16.9,12,0.426,23,0.391,9,47.7,21,0.684,14.2,11,31,0.645,20,0.667,2,"Mack Sports Complex, Hempstead, New York",NORTH-CAROLINA-AT,North Carolina A&T,71.2,Home,HOFSTRA,Hofstra,North Carolina A&T,meac,3,False,False,False,Away,False,7,19,50,23,44,9,20,54,0,1,24,51,176,0.4943181818181818,73,196,0.37244897959183676,21,70,186,0.5456989247311828,0.0
4,2018-11-19-19-marshall,58.3,14,2.8,1,120.3,67.6,25,0.48200000000000004,55,0.436,24,0.382,21,0.857,18,5,200,89.9,26.7,8,14,71,,8.9,7,0.309,17,0.294,5,49.3,33,0.546,25.5,22,38,0.5,19,0.0,0,"November 19, 2018",64.7,22,7.9,3,89.9,73.3,22,0.579,70,0.486,34,0.3,21,0.667,14,0,200,120.3,32.4,12,20,95,,17.7,14,0.486,34,0.382,13,50.7,34,0.594,12.2,11,36,0.583,21,1.0,4,"Henderson Center, Huntington, West Virginia",NORTH-CAROLINA-AT,North Carolina A&T,79.0,Home,MARSHALL,Marshall,North Carolina A&T,meac,4,False,False,False,Away,False,5,19,55,33,67,13,21,70,0,1,31,70,226,0.5154867256637168,96,240,0.4,30,90,240,0.5625,0.0
5,2018-11-21-17-mount-st-marys,60.0,15,5.6,2,92.3,65.6,21,0.546,54,0.46299999999999997,25,0.37,20,0.75,15,5,200,113.8,33.3,9,9,74,,10.8,7,0.29600000000000004,16,0.563,9,50.8,30,0.583,16.0,12,38,0.42100000000000004,16,0.16699999999999998,1,"November 21, 2018",39.1,9,7.9,3,113.8,66.7,18,0.44799999999999995,58,0.397,23,0.19,11,0.727,8,5,200,92.3,34.4,11,19,60,,6.2,4,0.379,22,0.273,6,49.2,29,0.474,16.0,12,36,0.47200000000000003,17,0.0,0,"Knott Arena, Emmitsburg, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,65.4,Away,NORTH-CAROLINA-AT,North Carolina A&T,North Carolina A&T,meac,5,False,False,False,Away,True,9,16,54,30,59,6,17,58,1,0,36,89,281,0.5088967971530249,129,307,0.4201954397394137,43,111,310,0.5661290322580645,0.0
6,2018-11-29-19-north-carolina-at,55.6,10,7.1,2,100.0,78.6,22,0.345,58,0.31,18,0.431,25,0.8,20,4,200,83.3,37.8,14,18,60,,5.6,4,0.397,23,0.174,4,55.4,36,0.429,18.8,16,35,0.4,14,0.5,4,"November 29, 2018",62.5,15,17.1,6,83.3,62.2,23,0.529,52,0.462,24,0.5,26,0.654,17,5,200,100.0,21.4,6,21,72,,11.1,8,0.462,24,0.292,7,44.6,29,0.5589999999999999,18.1,14,28,0.607,17,0.28600000000000003,2,"Ellis Corbett Sports Center, Greensboro, North Carolina",CENTRAL-CONNECTICUT-STATE,Central Connecticut,72.1,Home,NORTH-CAROLINA-AT,North Carolina A&T,North Carolina A&T,meac,6,True,False,True,Home,True,7,17,52,29,65,4,14,58,1,0,45,105,335,0.5149253731343284,159,366,0.4344262295081967,49,128,368,0.5475543478260869,0.16666666666666666
7,2018-12-01-16-north-carolina-at,82.6,19,0.0,0,109.4,85.7,24,0.5579999999999999,52,0.442,23,0.385,20,0.85,17,4,200,117.2,24.1,7,16,75,,6.3,4,0.48100000000000004,25,0.48,12,54.4,31,0.61,14.1,10,27,0.40700000000000003,11,0.5,4,"December 1, 2018",60.9,14,18.5,5,117.2,75.9,22,0.598,51,0.451,23,0.314,16,0.563,9,6,200,109.4,14.3,4,20,70,,7.8,5,0.627,32,0.469,15,45.6,26,0.597,13.4,9,19,0.42100000000000004,8,0.25,2,"Ellis Corbett Sports Center, Greensboro, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,64.1,Away,PRESBYTERIAN,Presbyterian,North Carolina A&T,meac,7,False,True,True,Home,False,15,8,51,26,57,12,11,52,0,1,52,122,387,0.5167958656330749,188,431,0.4361948955916473,53,142,426,0.5199530516431925,0.2857142857142857
8,2018-12-08-16-north-carolina-at,68.0,17,5.4,2,127.8,76.0,19,0.525,59,0.424,25,0.153,9,0.556,5,0,200,93.1,16.7,5,20,67,,8.3,6,0.475,28,0.429,12,43.6,24,0.529,20.3,16,31,0.419,13,0.0,0,"December 8, 2018",55.6,20,3.2,1,93.1,83.3,25,0.723,56,0.643,36,0.35700000000000004,20,0.55,11,6,200,127.8,24.0,6,11,92,,9.7,7,0.33899999999999997,19,0.474,9,56.4,31,0.7020000000000001,14.5,11,37,0.73,27,0.33299999999999996,3,"Ellis Corbett Sports Center, Greensboro, North Carolina","Greensboro
			","Greensboro
			",72.4,Home,NORTH-CAROLINA-AT,North Carolina A&T,North Carolina A&T,meac,8,True,False,True,Home,True,9,27,56,31,55,12,13,59,1,0,67,130,438,0.526255707762557,214,488,0.4385245901639344,65,153,478,0.5240585774058577,0.25
9,2018-12-15-17-tennessee-state,31.3,10,0.0,0,108.6,75.0,18,0.563,63,0.508,32,0.175,11,0.636,7,6,200,111.4,27.6,8,17,78,,11.4,8,0.27,17,0.41200000000000003,7,49.1,26,0.5720000000000001,12.8,10,46,0.5429999999999999,25,0.4,4,"December 15, 2018",48.0,12,2.2,1,111.4,72.4,21,0.604,48,0.521,25,0.43799999999999994,21,0.857,18,6,200,108.6,25.0,6,15,76,,5.7,4,0.41700000000000004,20,0.4,8,50.9,27,0.655,23.9,18,28,0.607,17,0.33299999999999996,3,"Gentry Center Complex, Nashville, Tennessee",TENNESSEE-STATE,Tennessee State,70.1,Away,NORTH-CAROLINA-AT,North Carolina A&T,North Carolina A&T,meac,9,False,False,False,Away,True,7,25,63,26,53,8,17,48,1,0,76,157,494,0.548582995951417,245,543,0.45119705340699817,77,166,537,0.5242085661080075,0.3333333333333333
10,2018-12-19-19-virginia-tech,62.5,15,4.9,2,120.6,59.3,16,0.547,53,0.45299999999999996,24,0.075,4,0.5,2,7,200,88.2,10.3,3,13,60,,7.4,5,0.45299999999999996,24,0.41700000000000004,10,33.9,19,0.546,20.4,14,29,0.483,14,0.364,4,"December 19, 2018",46.7,14,10.3,3,88.2,89.7,26,0.5489999999999999,61,0.49200000000000005,30,0.27899999999999997,17,0.882,15,1,200,120.6,40.7,11,9,82,13.0,5.9,4,0.32799999999999996,20,0.35,7,66.1,37,0.594,14.9,12,41,0.561,23,0.909,10,"Cassell Coliseum, Blacksburg, Virginia",NORTH-CAROLINA-AT,North Carolina A&T,68.0,Home,VIRGINIA-TECH,Virginia Tech,North Carolina A&T,meac,10,False,False,False,Away,False,10,14,53,19,56,7,23,61,0,1,83,182,557,0.5502692998204668,271,596,0.4546979865771812,85,183,585,0.5307692307692308,0.4
11,2018-12-21-20-minnesota,48.0,12,11.1,6,111.7,54.8,23,0.48200000000000004,57,0.439,25,0.298,17,0.706,12,8,200,87.0,18.8,6,16,67,,5.2,4,0.263,15,0.33299999999999996,5,39.2,29,0.515,18.9,15,42,0.47600000000000003,20,0.33299999999999996,4,"December 21, 2018",70.6,24,16.7,7,87.0,81.3,26,0.486,74,0.45899999999999996,34,0.311,23,0.609,14,2,200,111.7,45.2,19,17,86,,14.3,11,0.27,20,0.2,4,60.8,45,0.506,13.4,13,54,0.556,30,0.833,10,"Williams Arena, Minneapolis, Minnesota",NORTH-CAROLINA-AT,North Carolina A&T,76.5,Home,MINNESOTA,Minnesota,North Carolina A&T,meac,11,False,False,False,Away,False,5,20,57,29,74,4,30,74,0,1,93,196,610,0.55,290,652,0.4447852760736196,92,206,646,0.5325077399380805,0.36363636363636365
12,2018-12-28-19-east-carolina,47.6,10,10.3,4,113.2,54.8,17,0.42700000000000005,55,0.382,21,0.218,12,0.833,10,9,200,83.8,24.2,8,18,57,,10.3,7,0.4,22,0.22699999999999998,5,39.1,25,0.47,18.8,14,33,0.485,16,0.308,4,"December 28, 2018",59.3,16,18.2,6,83.8,75.8,25,0.545,56,0.48200000000000004,27,0.41100000000000003,23,0.696,16,5,200,113.2,45.2,14,16,77,,10.3,7,0.304,17,0.41200000000000003,7,60.9,39,0.575,20.5,17,39,0.513,20,0.583,7,"Williams Arena at Minges Coliseum, Greenville, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,68.3,Home,EAST-CAROLINA,East Carolina,North Carolina A&T,meac,12,False,False,False,Away,False,5,16,55,25,64,7,20,56,0,1,98,216,667,0.5442278860569715,319,726,0.4393939393939394,96,236,720,0.5277777777777778,0.3333333333333333
13,2019-01-05-16-south-carolina-state,33.3,9,0.0,0,97.5,73.3,22,0.5579999999999999,52,0.519,27,0.596,31,0.71,22,9,225,101.3,34.6,9,29,80,,1.3,1,0.212,11,0.364,4,55.4,31,0.599,25.9,23,41,0.561,23,0.35700000000000004,5,"January 5, 2019",50.0,12,4.9,2,101.3,65.4,17,0.509,56,0.429,24,0.48200000000000004,27,0.741,20,15,225,97.5,26.7,8,24,77,,3.8,3,0.41100000000000003,23,0.391,9,44.6,25,0.5589999999999999,19.1,16,33,0.455,15,0.11800000000000001,2,"SHM Memorial Center, Orangeburg, South Carolina",SOUTH-CAROLINA-STATE,South Carolina State,70.0,Away,NORTH-CAROLINA-AT,North Carolina A&T,North Carolina A&T,meac,13,False,False,False,Away,True,4,23,52,31,56,9,15,56,1,0,103,232,722,0.5353185595567868,344,790,0.43544303797468353,103,256,776,0.5289948453608248,0.3076923076923077
