boxscore,Unnamed: 0,Unnamed: 0.1,away_name,away_abbr,away_score,home_name,home_abbr,home_score,winning_name,winning_abbr,losing_name,losing_abbr,home_q1,home_q2,home_q3,home_q4,away_q1,away_q2,away_q3,away_q4,home_endq1,home_endq2,home_endq3,home_endq4,away_endq1,away_endq2,away_endq3,away_endq4
200702040chi,17,"('21-2006', 0)",Indianapolis Colts,clt,29,Chicago Bears,chi,17,Indianapolis Colts,clt,Chicago Bears,chi,14.0,0.0,3.0,0.0,6.0,10.0,6.0,7.0,4,4,7,7,6,6,2,9
200802030nwe,18,"('21-2007', 0)",New York Giants,nyg,17,New England Patriots,nwe,14,New York Giants,nyg,New England Patriots,nwe,0.0,7.0,0.0,7.0,3.0,0.0,0.0,14.0,0,7,7,4,3,3,3,7
200902010crd,19,"('21-2008', 0)",Pittsburgh Steelers,pit,27,Arizona Cardinals,crd,23,Pittsburgh Steelers,pit,Arizona Cardinals,crd,0.0,7.0,0.0,16.0,3.0,14.0,3.0,7.0,0,7,7,3,3,7,0,7
201002070clt,20,"('21-2009', 0)",New Orleans Saints,nor,31,Indianapolis Colts,clt,17,New Orleans Saints,nor,Indianapolis Colts,clt,10.0,0.0,7.0,0.0,0.0,6.0,10.0,15.0,0,0,7,7,0,6,6,1
201102060pit,21,"('21-2010', 0)",Pittsburgh Steelers,pit,25,Green Bay Packers,gnb,31,Green Bay Packers,gnb,Pittsburgh Steelers,pit,14.0,7.0,0.0,10.0,0.0,10.0,7.0,8.0,4,1,1,1,0,0,7,5
201202050nwe,22,"('21-2011', 0)",New York Giants,nyg,21,New England Patriots,nwe,17,New York Giants,nyg,New England Patriots,nwe,0.0,10.0,7.0,0.0,9.0,0.0,6.0,6.0,0,0,7,7,9,9,5,1
201302030sfo,23,"('21-2012', 0)",San Francisco 49ers,sfo,31,Baltimore Ravens,rav,34,Baltimore Ravens,rav,San Francisco 49ers,sfo,7.0,14.0,7.0,6.0,3.0,3.0,17.0,8.0,7,1,8,4,3,6,3,1
201402020den,24,"('21-2013', 0)",Seattle Seahawks,sea,43,Denver Broncos,den,8,Seattle Seahawks,sea,Denver Broncos,den,0.0,0.0,8.0,0.0,8.0,14.0,14.0,7.0,0,0,8,8,8,2,6,3
201502010sea,25,"('21-2014', 0)",New England Patriots,nwe,28,Seattle Seahawks,sea,24,New England Patriots,nwe,Seattle Seahawks,sea,0.0,14.0,0.0,14.0,0.0,14.0,10.0,0.0,0,4,4,8,0,4,4,4
201602070den,26,"('21-2015', 0)",Carolina Panthers,car,10,Denver Broncos,den,24,Denver Broncos,den,Carolina Panthers,car,0.0,7.0,0.0,3.0,10.0,3.0,3.0,8.0,0,7,7,0,0,3,6,4
201802040nwe,28,"('21-2017', 0)",Philadelphia Eagles,phi,41,New England Patriots,nwe,33,Philadelphia Eagles,phi,New England Patriots,nwe,3.0,9.0,14.0,7.0,9.0,13.0,7.0,12.0,3,2,6,3,9,2,9,1
201902030ram,29,"('21-2018', 0)",New England Patriots,nwe,13,Los Angeles Rams,ram,3,New England Patriots,nwe,Los Angeles Rams,ram,0.0,3.0,0.0,10.0,0.0,0.0,3.0,0.0,0,3,3,3,0,0,3,3
202002020kan,30,"('21-2019', 0)",San Francisco 49ers,sfo,20,Kansas City Chiefs,kan,31,Kansas City Chiefs,kan,San Francisco 49ers,sfo,7.0,3.0,0.0,21.0,3.0,7.0,10.0,0.0,7,0,0,1,3,0,0,0
