,away_defensive_rating,away_effective_field_goal_percentage,away_free_throw_attempt_rate,away_offensive_rating,away_three_point_field_goal_percentage,away_total_rebound_percentage,away_true_shooting_percentage,away_turnover_percentage,away_win_percentage,date,home_defensive_rating,home_effective_field_goal_percentage,home_free_throw_attempt_rate,home_free_throw_percentage,home_offensive_rating,home_three_point_field_goal_percentage,home_total_rebound_percentage,home_true_shooting_percentage,home_turnover_percentage,home_wins,location,losing_abbr,losing_name,pace,winning_abbr,winning_name,team_name,conf,boxscore,Unnamed: 0.1,winner,home_team,away_team
0,102.7,0.444,0.113,92.0,0.34600000000000003,46.5,0.461,15.8,0.5,"November 15, 2018",92.0,0.578,0.241,0.7140000000000001,102.7,0.438,53.5,0.596,18.9,3,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",FRESNO-STATE,Fresno State,74.7,TEXAS-CHRISTIAN,TCU,Fresno State,mwc,2018-11-15-21-texas-christian,2018-11-15-21-texas-christian,Home,TEXAS-CHRISTIAN,FRESNO-STATE
2,102.7,0.444,0.113,92.0,0.34600000000000003,46.5,0.461,15.8,0.5,"November 15, 2018",92.0,0.578,0.241,0.7140000000000001,102.7,0.438,53.5,0.596,18.9,3,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",FRESNO-STATE,Fresno State,74.7,TEXAS-CHRISTIAN,TCU,TCU,big-12,2018-11-15-21-texas-christian,2018-11-15-21-texas-christian,Home,TEXAS-CHRISTIAN,FRESNO-STATE
4,111.4,0.412,0.451,84.3,0.273,48.1,0.476,19.7,0.75,"November 22, 2018",84.3,0.615,0.521,0.76,111.4,0.478,51.9,0.6509999999999999,20.3,2,"Titan Gym, Fullerton, California",NORTHWESTERN,Northwestern,70.4,FRESNO-STATE,Fresno State,Fresno State,mwc,2018-11-22-16-fresno-state,2018-11-22-16-fresno-state,Home,FRESNO-STATE,NORTHWESTERN
6,111.4,0.412,0.451,84.3,0.273,48.1,0.476,19.7,0.75,"November 22, 2018",84.3,0.615,0.521,0.76,111.4,0.478,51.9,0.6509999999999999,20.3,2,"Titan Gym, Fullerton, California",NORTHWESTERN,Northwestern,70.4,FRESNO-STATE,Fresno State,Northwestern,big-ten,2018-11-22-16-fresno-state,2018-11-22-16-fresno-state,Home,FRESNO-STATE,NORTHWESTERN
8,100.0,0.5,0.491,102.6,0.318,43.8,0.555,13.7,1.0,"November 23, 2018",102.6,0.5429999999999999,0.31,0.722,100.0,0.391,56.3,0.5710000000000001,23.3,2,"Titan Gym, Fullerton, California",FRESNO-STATE,Fresno State,75.9,MIAMI-FL,Miami (FL),Fresno State,mwc,2018-11-23-14-fresno-state,2018-11-23-14-fresno-state,Away,MIAMI-FL,FRESNO-STATE
10,100.0,0.5,0.491,102.6,0.318,43.8,0.555,13.7,1.0,"November 23, 2018",102.6,0.5429999999999999,0.31,0.722,100.0,0.391,56.3,0.5710000000000001,23.3,2,"Titan Gym, Fullerton, California",FRESNO-STATE,Fresno State,75.9,MIAMI-FL,Miami (FL),Miami (FL),acc,2018-11-23-14-fresno-state,2018-11-23-14-fresno-state,Away,MIAMI-FL,FRESNO-STATE
12,97.0,0.63,0.38,119.7,0.55,50.0,0.669,14.6,0.6,"November 25, 2018",119.7,0.481,0.278,0.8,97.0,0.231,50.0,0.524,15.4,4,"Titan Gym, Fullerton, California",HAWAII,Hawaii,66.1,FRESNO-STATE,Fresno State,Fresno State,mwc,2018-11-25-16-hawaii,2018-11-25-16-hawaii,Away,FRESNO-STATE,HAWAII
14,97.0,0.63,0.38,119.7,0.55,50.0,0.669,14.6,0.6,"November 25, 2018",119.7,0.481,0.278,0.8,97.0,0.231,50.0,0.524,15.4,4,"Titan Gym, Fullerton, California",HAWAII,Hawaii,66.1,FRESNO-STATE,Fresno State,Hawaii,big-west,2018-11-25-16-hawaii,2018-11-25-16-hawaii,Away,FRESNO-STATE,HAWAII
16,103.8,0.516,0.266,100.0,0.435,47.9,0.541,21.0,0.556,"November 28, 2018",100.0,0.55,0.383,0.652,103.8,0.308,52.1,0.5710000000000001,18.6,4,"Save Mart Center, Fresno, California",PACIFIC,Pacific,69.3,FRESNO-STATE,Fresno State,Fresno State,mwc,2018-11-28-22-fresno-state,2018-11-28-22-fresno-state,Home,FRESNO-STATE,PACIFIC
18,103.8,0.516,0.266,100.0,0.435,47.9,0.541,21.0,0.556,"November 28, 2018",100.0,0.55,0.383,0.652,103.8,0.308,52.1,0.5710000000000001,18.6,4,"Save Mart Center, Fresno, California",PACIFIC,Pacific,69.3,FRESNO-STATE,Fresno State,Pacific,wcc,2018-11-28-22-fresno-state,2018-11-28-22-fresno-state,Home,FRESNO-STATE,PACIFIC
20,115.2,0.453,0.172,101.5,0.35700000000000004,56.3,0.484,15.9,0.28600000000000003,"December 1, 2018",101.5,0.541,0.5920000000000001,0.7929999999999999,115.2,0.375,43.8,0.605,10.2,5,"Save Mart Center, Fresno, California",CAL-POLY,Cal Poly,65.5,FRESNO-STATE,Fresno State,Fresno State,mwc,2018-12-01-15-fresno-state,2018-12-01-15-fresno-state,Home,FRESNO-STATE,CAL-POLY
