,arena,boxscore_index,date,datetime,game,location,opponent_abbr,opponent_conference,opponent_name,opponent_rank,overtimes,points_against,points_for,result,season_losses,season_wins,streak,time,type
2010-01-06-texas-christian,Daniel-Meyer Coliseum,2010-01-06-texas-christian,"Wed, Jan 6, 2010",2010-01-06,14,Away,texas-christian,MWC,TCU,,0,59,50,Loss,6,8,L 1,,Reg
2010-01-09-colorado-state,Moby Arena,2010-01-09-colorado-state,"Sat, Jan 9, 2010",2010-01-09,15,Away,colorado-state,MWC,Colorado State,,0,70,48,Loss,7,8,L 2,,Reg
2010-01-13-air-force,Clune Arena,2010-01-13-air-force,"Wed, Jan 13, 2010",2010-01-13,16,Home,brigham-young,MWC,Brigham Young,18,0,67,49,Loss,8,8,L 3,,Reg
2010-01-20-air-force,Clune Arena,2010-01-20-air-force,"Wed, Jan 20, 2010",2010-01-20,17,Home,new-mexico,MWC,New Mexico,,0,73,50,Loss,9,8,L 4,,Reg
2010-01-23-utah,Jon M. Huntsman Center,2010-01-23-utah,"Sat, Jan 23, 2010",2010-01-23,18,Away,utah,MWC,Utah,,0,71,54,Loss,10,8,L 5,,Reg
2010-01-26-nevada-las-vegas,Thomas & Mack Center,2010-01-26-nevada-las-vegas,"Tue, Jan 26, 2010",2010-01-26,19,Away,nevada-las-vegas,MWC,Nevada-Las Vegas,,0,60,50,Loss,11,8,L 6,,Reg
2010-01-30-air-force,Clune Arena,2010-01-30-air-force,"Sat, Jan 30, 2010",2010-01-30,20,Home,wyoming,MWC,Wyoming,,0,63,70,Win,11,9,W 1,,Reg
2010-02-02-san-diego-state,Viejas Arena,2010-02-02-san-diego-state,"Tue, Feb 2, 2010",2010-02-02,21,Away,san-diego-state,MWC,San Diego State,,0,70,48,Loss,12,9,L 1,,Reg
2010-02-06-air-force,Clune Arena,2010-02-06-air-force,"Sat, Feb 6, 2010",2010-02-06,22,Home,texas-christian,MWC,TCU,,0,65,51,Loss,13,9,L 2,,Reg
2010-02-09-air-force,Clune Arena,2010-02-09-air-force,"Tue, Feb 9, 2010",2010-02-09,23,Home,colorado-state,MWC,Colorado State,,0,51,47,Loss,14,9,L 3,,Reg
2010-02-13-brigham-young,Marriott Center,2010-02-13-brigham-young,"Sat, Feb 13, 2010",2010-02-13,24,Away,brigham-young,MWC,Brigham Young,17,0,91,48,Loss,15,9,L 4,,Reg
