,arena,boxscore_index,date,datetime,game,location,opponent_abbr,opponent_conference,opponent_name,opponent_rank,overtimes,points_against,points_for,result,season_losses,season_wins,streak,time,type
2010-11-14-air-force,Clune Arena,2010-11-14-air-force,"Sun, Nov 14, 2010",2010-11-14,1,Home,Colorado-Colorado Springs,Non-DI School,Colorado-Colorado Springs,,0,53,66,Win,0,1,W 1,,Reg
2010-11-17-air-force,Clune Arena,2010-11-17-air-force,"Wed, Nov 17, 2010",2010-11-17,2,Home,Colorado College,Non-DI School,Colorado College,,1,60,57,Loss,1,1,L 1,,Reg
2010-11-20-air-force,Clune Arena,2010-11-20-air-force,"Sat, Nov 20, 2010",2010-11-20,3,Home,tennessee-state,OVC,Tennessee State,,0,72,87,Win,1,2,W 1,,Reg
2010-11-24-wofford,Benjamin Johnson Arena,2010-11-24-wofford,"Wed, Nov 24, 2010",2010-11-24,4,Away,wofford,Southern,Wofford,,1,66,72,Win,1,3,W 2,,Reg
2010-12-02-air-force,Clune Arena,2010-12-02-air-force,"Thu, Dec 2, 2010",2010-12-02,5,Home,cal-state-northridge,Big West,Cal State Northridge,,0,63,72,Win,1,4,W 3,,Reg
2010-12-05-air-force,Clune Arena,2010-12-05-air-force,"Sun, Dec 5, 2010",2010-12-05,6,Home,evansville,MVC,Evansville,,0,56,57,Win,1,5,W 4,,Reg
2010-12-08-wright-state,Ervin J. Nutter Center,2010-12-08-wright-state,"Wed, Dec 8, 2010",2010-12-08,7,Away,wright-state,Horizon,Wright State,,0,76,61,Loss,2,5,L 1,,Reg
2010-12-11-air-force,Clune Arena,2010-12-11-air-force,"Sat, Dec 11, 2010",2010-12-11,8,Home,north-carolina-central,Ind,North Carolina Central,,0,56,73,Win,2,6,W 1,,Reg
2010-12-18-air-force,Clune Arena,2010-12-18-air-force,"Sat, Dec 18, 2010",2010-12-18,9,Home,arkansas-pine-bluff,SWAC,Arkansas-Pine Bluff,,0,52,63,Win,2,7,W 2,,Reg
2010-12-22-northern-arizona,Rolle Activity Center,2010-12-22-northern-arizona,"Wed, Dec 22, 2010",2010-12-22,10,Away,northern-arizona,Big Sky,Northern Arizona,,0,74,63,Loss,3,7,L 1,,Reg
2010-12-28-air-force,Don Haskins Center,2010-12-28-air-force,"Tue, Dec 28, 2010",2010-12-28,11,Neutral,sam-houston-state,Southland,Sam Houston State,,0,65,76,Win,3,8,W 1,,Reg
2010-12-29-texas-el-paso,Don Haskins Center,2010-12-29-texas-el-paso,"Wed, Dec 29, 2010",2010-12-29,12,Away,texas-el-paso,CUSA,UTEP,,0,71,54,Loss,4,8,L 1,,Reg
2011-01-02-air-force,Clune Arena,2011-01-02-air-force,"Sun, Jan 2, 2011",2011-01-02,13,Home,florida-am,MEAC,Florida A&M,,0,48,81,Win,4,9,W 1,,Reg
2011-01-05-air-force,Clune Arena,2011-01-05-air-force,"Wed, Jan 5, 2011",2011-01-05,14,Home,utah,MWC,Utah,,0,69,77,Win,4,10,W 2,,Reg
2011-01-08-brigham-young,Marriott Center,2011-01-08-brigham-young,"Sat, Jan 8, 2011",2011-01-08,15,Away,brigham-young,MWC,Brigham Young,15,0,76,66,Loss,5,10,L 1,,Reg
2011-01-15-air-force,Clune Arena,2011-01-15-air-force,"Sat, Jan 15, 2011",2011-01-15,16,Home,nevada-las-vegas,MWC,Nevada-Las Vegas,,0,64,52,Loss,6,10,L 2,,Reg
2011-01-19-san-diego-state,Viejas Arena,2011-01-19-san-diego-state,"Wed, Jan 19, 2011",2011-01-19,17,Away,san-diego-state,MWC,San Diego State,6,0,68,55,Loss,7,10,L 3,,Reg
2011-01-22-air-force,Clune Arena,2011-01-22-air-force,"Sat, Jan 22, 2011",2011-01-22,18,Home,wyoming,MWC,Wyoming,,0,51,72,Win,7,11,W 1,,Reg
2011-01-26-colorado-state,Moby Arena,2011-01-26-colorado-state,"Wed, Jan 26, 2011",2011-01-26,19,Away,colorado-state,MWC,Colorado State,,0,69,66,Loss,8,11,L 1,,Reg
2011-01-29-texas-christian,Daniel-Meyer Coliseum,2011-01-29-texas-christian,"Sat, Jan 29, 2011",2011-01-29,20,Away,texas-christian,MWC,TCU,,1,65,66,Win,8,12,W 1,,Reg
2011-02-01-air-force,Clune Arena,2011-02-01-air-force,"Tue, Feb 1, 2011",2011-02-01,21,Home,new-mexico,MWC,New Mexico,,0,75,61,Loss,9,12,L 1,,Reg
2011-02-05-utah,Jon M. Huntsman Center,2011-02-05-utah,"Sat, Feb 5, 2011",2011-02-05,22,Away,utah,MWC,Utah,,0,49,54,Win,9,13,W 1,,Reg
2011-02-09-air-force,Clune Arena,2011-02-09-air-force,"Wed, Feb 9, 2011",2011-02-09,23,Home,brigham-young,MWC,Brigham Young,7,0,90,52,Loss,10,13,L 1,,Reg
2011-02-15-nevada-las-vegas,Thomas & Mack Center,2011-02-15-nevada-las-vegas,"Tue, Feb 15, 2011",2011-02-15,24,Away,nevada-las-vegas,MWC,Nevada-Las Vegas,,0,49,42,Loss,11,13,L 2,,Reg
2011-02-19-air-force,Clune Arena,2011-02-19-air-force,"Sat, Feb 19, 2011",2011-02-19,25,Home,san-diego-state,MWC,San Diego State,6,0,70,58,Loss,12,13,L 3,,Reg
2011-02-23-wyoming,Arena-Auditorium,2011-02-23-wyoming,"Wed, Feb 23, 2011",2011-02-23,26,Away,wyoming,MWC,Wyoming,,0,63,61,Loss,13,13,L 4,,Reg
2011-02-26-air-force,Clune Arena,2011-02-26-air-force,"Sat, Feb 26, 2011",2011-02-26,27,Home,colorado-state,MWC,Colorado State,,0,57,74,Win,13,14,W 1,,Reg
2011-03-02-air-force,Clune Arena,2011-03-02-air-force,"Wed, Mar 2, 2011",2011-03-02,28,Home,texas-christian,MWC,TCU,,0,65,70,Win,13,15,W 2,,Reg
2011-03-05-new-mexico,The Pit/Bob King Court,2011-03-05-new-mexico,"Sat, Mar 5, 2011",2011-03-05,29,Away,new-mexico,MWC,New Mexico,,0,66,61,Loss,14,15,L 1,,Reg
2011-03-10-nevada-las-vegas,Thomas & Mack Center,2011-03-10-nevada-las-vegas,"Thu, Mar 10, 2011",2011-03-10,30,Away,nevada-las-vegas,MWC,Nevada-Las Vegas,,0,69,53,Loss,15,15,L 2,,Conf-Tourney
2011-03-15-air-force,Clune Arena,2011-03-15-air-force,"Tue, Mar 15, 2011",2011-03-15,31,Home,north-dakota,GWC,North Dakota,,0,67,77,Win,15,16,W 1,,CIT
2011-03-18-santa-clara,Leavey Center,2011-03-18-santa-clara,"Fri, Mar 18, 2011",2011-03-18,32,Away,santa-clara,WCC,Santa Clara,,0,88,75,Loss,16,16,L 1,,CIT
2010-11-12-akron,James A. Rhodes Arena,2010-11-12-akron,"Fri, Nov 12, 2010",2010-11-12,1,Home,Millikin,Non-DI School,Millikin,,0,41,89,Win,0,1,W 1,,Reg
2010-11-16-dayton,University of Dayton Arena,2010-11-16-dayton,"Tue, Nov 16, 2010",2010-11-16,2,Away,dayton,A-10,Dayton,,0,76,68,Loss,1,1,L 1,,Reg
2010-11-20-akron,James A. Rhodes Arena,2010-11-20-akron,"Sat, Nov 20, 2010",2010-11-20,3,Home,youngstown-state,Horizon,Youngstown State,,1,84,91,Win,1,2,W 1,,Reg
2010-11-24-akron,James A. Rhodes Arena,2010-11-24-akron,"Wed, Nov 24, 2010",2010-11-24,4,Home,cleveland-state,Horizon,Cleveland State,,0,64,51,Loss,2,2,L 1,,Reg
