awayindex,date,home_turnover_percentage,home_wins,location,losing_abbr,losing_name,pace,winning_abbr,winning_name,team_name,conf,boxscore,winner,home_team,away_team,home_team_name,away_team_name,away_pregame_eFG,away_pregame_rebound_percentage,away_pregame_eFG_allowed,away_pregame_win_percentage,uid
2018-11-15-21-texas-christianFresno State,"November 15, 2018",18.9,3,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",FRESNO-STATE,Fresno State,74.7,TEXAS-CHRISTIAN,TCU,Fresno State,mwc,2018-11-15-21-texas-christian,Home,TEXAS-CHRISTIAN,FRESNO-STATE,TCU,Fresno State,0.5737704918032787,0.4533333333333333,0.4,1.0,0
2018-11-23-14-fresno-stateFresno State,"November 23, 2018",23.3,2,"Titan Gym, Fullerton, California",FRESNO-STATE,Fresno State,75.9,MIAMI-FL,Miami (FL),Fresno State,mwc,2018-11-23-14-fresno-state,Away,MIAMI-FL,FRESNO-STATE,Miami (FL),Fresno State,0.5333333333333333,0.4747474747474748,0.4626436781609196,0.6666666666666666,1
2018-12-29-19-fresno-stateFresno State,"December 29, 2018",18.7,9,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,70.7,UTAH-VALLEY,Utah Valley,Fresno State,mwc,2018-12-29-19-fresno-state,Away,UTAH-VALLEY,FRESNO-STATE,Utah Valley,Fresno State,0.5579268292682927,0.5186206896551724,0.4595645412130638,0.8181818181818182,2
2019-01-12-20-fresno-stateFresno State,"January 12, 2019",17.0,12,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,64.1,NEVADA,Nevada,Fresno State,mwc,2019-01-12-20-fresno-state,Away,NEVADA,FRESNO-STATE,Nevada,Fresno State,0.5530474040632054,0.5164948453608248,0.4651711924439197,0.8,3
2019-02-23-20-nevadaFresno State,"February 23, 2019",18.5,25,"Lawlor Events Center, Reno, Nevada",FRESNO-STATE,Fresno State,69.7,NEVADA,Nevada,Fresno State,mwc,2019-02-23-20-nevada,Home,NEVADA,FRESNO-STATE,Nevada,Fresno State,0.5413057961359093,0.5150976909413855,0.4735758407687028,0.7307692307692307,4
2019-01-26-16-colorado-stateFresno State,"January 26, 2019",16.6,8,"Moby Arena, Fort Collins, Colorado",FRESNO-STATE,Fresno State,73.9,COLORADO-STATE,Colorado State,Fresno State,mwc,2019-01-26-16-colorado-state,Home,COLORADO-STATE,FRESNO-STATE,Colorado State,Fresno State,0.5460210930009588,0.5212489158716392,0.4660433070866142,0.7777777777777778,5
2019-02-05-22-fresno-stateFresno State,"February 5, 2019",13.3,16,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,64.4,UTAH-STATE,Utah State,Fresno State,mwc,2019-02-05-22-fresno-state,Away,UTAH-STATE,FRESNO-STATE,Utah State,Fresno State,0.5376124284546198,0.5193571950328707,0.4674280879864636,0.7619047619047619,6
2019-03-15-23-utah-stateFresno State,"March 15, 2019",10.1,27,"Thomas & Mack Center, Las Vegas, Nevada",FRESNO-STATE,Fresno State,67.7,UTAH-STATE,Utah State,Fresno State,mwc,2019-03-15-23-utah-state,Home,UTAH-STATE,FRESNO-STATE,Utah State,Fresno State,0.5486456605859591,0.5146401985111663,0.478513356562137,0.7419354838709677,7
2019-02-20-22-fresno-stateFresno State,"February 20, 2019",19.4,19,"Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,73.4,AIR-FORCE,Air Force,Fresno State,mwc,2019-02-20-22-fresno-state,Away,AIR-FORCE,FRESNO-STATE,Air Force,Fresno State,0.5446675900277008,0.5154894671623296,0.4725196288365453,0.76,8
2018-12-16-17-texas-christianIndiana State,"December 16, 2018",11.4,8,"Ed & Rae Schollmaier Arena, Fort Worth, Texas",INDIANA-STATE,Indiana State,76.5,TEXAS-CHRISTIAN,TCU,Indiana State,mvc,2018-12-16-17-texas-christian,Home,TEXAS-CHRISTIAN,INDIANA-STATE,TCU,Indiana State,0.5222222222222223,0.5229540918163673,0.4721627408993576,0.75,9
