,boxscore,date,location,losing_abbr,losing_name,winner,winning_abbr,winning_name,team_name,home_team,away_team,home_team_name,away_team_name,homeindex,awayindex,home_pregame_eFG,home_pregame_rebound_percentage,home_pregame_eFG_allowed,home_pregame_win_percentage,away_pregame_eFG,away_pregame_rebound_percentage,away_pregame_eFG_allowed,away_pregame_win_percentage
0,2019-12-05-20-abilene-christian,"December 5, 2019","Moody Coliseum , Abilene, Texas",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,ABILENE-CHRISTIAN,Abilene Christian,Abilene Christian,ABILENE-CHRISTIAN,SOUTHEAST-MISSOURI-STATE,Abilene Christian,Southeast Missouri State,2019-12-05-20-abilene-christianAbilene Christian,2019-12-05-20-abilene-christianSoutheast Missouri State,,,,,,,,
1,2019-12-07-18-drake,"December 7, 2019","Knapp Center, Des Moines, Iowa",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,DRAKE,Drake,Drake,DRAKE,SOUTHEAST-MISSOURI-STATE,Drake,Southeast Missouri State,2019-12-07-18-drakeDrake,2019-12-07-18-drakeSoutheast Missouri State,,,,,,,,
2,2020-01-11-17-southeast-missouri-state,"January 11, 2020","Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Away,TENNESSEE-STATE,Tennessee State,Southeast Missouri State,TENNESSEE-STATE,SOUTHEAST-MISSOURI-STATE,Tennessee State,Southeast Missouri State,2020-01-11-17-southeast-missouri-stateTennessee State,2020-01-11-17-southeast-missouri-stateSoutheast Missouri State,,,,,,,,
3,2020-01-02-20-austin-peay,"January 2, 2020","Winfield Dunn Center, Clarksville, Tennessee",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,AUSTIN-PEAY,Austin Peay,Austin Peay,AUSTIN-PEAY,SOUTHEAST-MISSOURI-STATE,Austin Peay,Southeast Missouri State,2020-01-02-20-austin-peayAustin Peay,2020-01-02-20-austin-peaySoutheast Missouri State,,,,,,,,
4,2020-01-16-20-southeast-missouri-state,"January 16, 2020","Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Away,AUSTIN-PEAY,Austin Peay,Austin Peay,AUSTIN-PEAY,SOUTHEAST-MISSOURI-STATE,Austin Peay,Southeast Missouri State,2020-01-16-20-southeast-missouri-stateAustin Peay,2020-01-16-20-southeast-missouri-stateSoutheast Missouri State,,,,,,,,
5,2019-11-06-20-vanderbilt,"November 6, 2019","Memorial Gymnasium, Nashville, Tennessee",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,VANDERBILT,Vanderbilt,Southeast Missouri State,VANDERBILT,SOUTHEAST-MISSOURI-STATE,Vanderbilt,Southeast Missouri State,2019-11-06-20-vanderbiltVanderbilt,2019-11-06-20-vanderbiltSoutheast Missouri State,,,,,,,,
6,2019-11-29-17-santa-clara,"November 29, 2019","Leavey Center, Santa Clara, California",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,SANTA-CLARA,Santa Clara,Santa Clara,SANTA-CLARA,SOUTHEAST-MISSOURI-STATE,Santa Clara,Southeast Missouri State,2019-11-29-17-santa-claraSanta Clara,2019-11-29-17-santa-claraSoutheast Missouri State,,,,,,,,
7,2020-01-09-20-southeast-missouri-state,"January 9, 2020","Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Away,BELMONT,Belmont,Belmont,BELMONT,SOUTHEAST-MISSOURI-STATE,Belmont,Southeast Missouri State,2020-01-09-20-southeast-missouri-stateBelmont,2020-01-09-20-southeast-missouri-stateSoutheast Missouri State,,,,,,,,
8,2020-01-25-16-eastern-illinois,"January 25, 2020","Lantz Arena, Charleston, Illinois",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,EASTERN-ILLINOIS,Eastern Illinois,Eastern Illinois,EASTERN-ILLINOIS,SOUTHEAST-MISSOURI-STATE,Eastern Illinois,Southeast Missouri State,2020-01-25-16-eastern-illinoisEastern Illinois,2020-01-25-16-eastern-illinoisSoutheast Missouri State,,,,,,,,
9,2020-02-27-20-southeast-missouri-state,"February 27, 2020","Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Away,EASTERN-ILLINOIS,Eastern Illinois,Eastern Illinois,EASTERN-ILLINOIS,SOUTHEAST-MISSOURI-STATE,Eastern Illinois,Southeast Missouri State,2020-02-27-20-southeast-missouri-stateEastern Illinois,2020-02-27-20-southeast-missouri-stateSoutheast Missouri State,,,,,,,,
