awayindex,boxscore,date,location,losing_abbr,losing_name,winner,winning_abbr,winning_name,team_name,home_team,away_team,home_team_name,away_team_name,homeindex,awayindex,home_pregame_eFG,home_pregame_rebound_percentage,home_pregame_eFG_allowed,home_pregame_win_percentage,away_pregame_eFG,away_pregame_rebound_percentage,away_pregame_eFG_allowed,away_pregame_win_percentage
2020-01-04-20-murray-stateSoutheast Missouri State,2020-01-04-20-murray-state,"January 4, 2020","CFSB Center, Murray, Kentucky",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,MURRAY-STATE,Murray State,Southeast Missouri State,MURRAY-STATE,SOUTHEAST-MISSOURI-STATE,Murray State,Southeast Missouri State,2020-01-04-20-murray-stateMurray State,2020-01-04-20-murray-stateSoutheast Missouri State,,,,,0.4599483204134367,0.4715719063545151,0.5253807106598984,0.2857142857142857
2020-01-18-17-southeast-missouri-stateSoutheast Missouri State,2020-01-18-17-southeast-missouri-state,"January 18, 2020","Show Me Center, Cape Girardeau, Missouri",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Away,MURRAY-STATE,Murray State,Southeast Missouri State,MURRAY-STATE,SOUTHEAST-MISSOURI-STATE,Murray State,Southeast Missouri State,2020-01-18-17-southeast-missouri-stateMurray State,2020-01-18-17-southeast-missouri-stateSoutheast Missouri State,,,,,0.4627766599597585,0.4667258207630878,0.5498519249753209,0.2222222222222222
2020-01-23-20-southern-illinois-edwardsvilleSoutheast Missouri State,2020-01-23-20-southern-illinois-edwardsville,"January 23, 2020","Sam Vadalabene Center , Edwardsville, Illinois",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,Southeast Missouri State,SOUTHERN-ILLINOIS-EDWARDSVILLE,SOUTHEAST-MISSOURI-STATE,SIU Edwardsville,Southeast Missouri State,2020-01-23-20-southern-illinois-edwardsvilleSIU Edwardsville,2020-01-23-20-southern-illinois-edwardsvilleSoutheast Missouri State,,,,,0.4690770694576594,0.4691983122362869,0.5553990610328638,0.21052631578947367
2019-12-15-20-youngstown-stateSoutheast Missouri State,2019-12-15-20-youngstown-state,"December 15, 2019","Beeghly Center, Youngstown, Ohio",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,YOUNGSTOWN-STATE,Youngstown State,Southeast Missouri State,YOUNGSTOWN-STATE,SOUTHEAST-MISSOURI-STATE,Youngstown State,Southeast Missouri State,2019-12-15-20-youngstown-stateYoungstown State,2019-12-15-20-youngstown-stateSoutheast Missouri State,,,,,0.4848178137651822,0.4965635738831615,0.5136186770428015,0.3333333333333333
2020-02-29-17-tennessee-martinSoutheast Missouri State,2020-02-29-17-tennessee-martin,"February 29, 2020","Skyhawk Arena, Martin, Tennessee",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,TENNESSEE-MARTIN,UT-Martin,Southeast Missouri State,TENNESSEE-MARTIN,SOUTHEAST-MISSOURI-STATE,Tennessee-Martin,Southeast Missouri State,2020-02-29-17-tennessee-martinTennessee-Martin,2020-02-29-17-tennessee-martinSoutheast Missouri State,,,,,0.4705351773902586,0.4761146496815287,0.5378965922444183,0.2333333333333333
2019-11-27-19-cal-state-fullertonSoutheast Missouri State,2019-11-27-19-cal-state-fullerton,"November 27, 2019","Leavey Center, Santa Clara, California",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,CAL-STATE-FULLERTON,Cal State Fullerton,Southeast Missouri State,CAL-STATE-FULLERTON,SOUTHEAST-MISSOURI-STATE,Cal State Fullerton,Southeast Missouri State,2019-11-27-19-cal-state-fullertonCal State Fullerton,2019-11-27-19-cal-state-fullertonSoutheast Missouri State,,,,,0.4891774891774892,0.5036496350364964,0.5263157894736842,0.5
2020-02-01-16-eastern-kentuckySoutheast Missouri State,2020-02-01-16-eastern-kentucky,"February 1, 2020","McBrayer Arena, Richmond, Kentucky",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,EASTERN-KENTUCKY,Eastern Kentucky,Southeast Missouri State,EASTERN-KENTUCKY,SOUTHEAST-MISSOURI-STATE,Eastern Kentucky,Southeast Missouri State,2020-02-01-16-eastern-kentuckyEastern Kentucky,2020-02-01-16-eastern-kentuckySoutheast Missouri State,,,,,0.467046379170057,0.4675324675324675,0.5573969280517381,0.18181818181818185
2020-02-20-20-jacksonville-stateSoutheast Missouri State,2020-02-20-20-jacksonville-state,"February 20, 2020","Pete Mathews Coliseum, Jacksonville, Alabama",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,JACKSONVILLE-STATE,Jacksonville State,Southeast Missouri State,JACKSONVILLE-STATE,SOUTHEAST-MISSOURI-STATE,Jacksonville State,Southeast Missouri State,2020-02-20-20-jacksonville-stateJacksonville State,2020-02-20-20-jacksonville-stateSoutheast Missouri State,,,,,0.4731903485254692,0.4738081224249559,0.5434924787442773,0.25925925925925924
2019-12-17-19-ohio-stateSoutheast Missouri State,2019-12-17-19-ohio-state,"December 17, 2019","Value City Arena, Columbus, Ohio",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,OHIO-STATE,Ohio State,Southeast Missouri State,OHIO-STATE,SOUTHEAST-MISSOURI-STATE,Ohio State,Southeast Missouri State,2019-12-17-19-ohio-stateOhio State,2019-12-17-19-ohio-stateSoutheast Missouri State,,,,,0.4755877034358047,0.4900153609831029,0.5176991150442478,0.3
2019-12-21-16-southern-illinoisSoutheast Missouri State,2019-12-21-16-southern-illinois,"December 21, 2019","The SIU Arena, Carbondale, Illinois",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Home,SOUTHERN-ILLINOIS,Southern Illinois,Southeast Missouri State,SOUTHERN-ILLINOIS,SOUTHEAST-MISSOURI-STATE,Southern Illinois,Southeast Missouri State,2019-12-21-16-southern-illinoisSouthern Illinois,2019-12-21-16-southern-illinoisSoutheast Missouri State,,,,,0.4584013050570962,0.4781997187060478,0.5340909090909091,0.2727272727272727
