awayindex,boxscore,date,location,losing_abbr,losing_name,winner,winning_abbr,winning_name,team_name,home_team,away_team,home_team_name,away_team_name,homeindex,awayindex,home_pregame_eFG,home_pregame_rebound_percentage,home_pregame_eFG_allowed,home_pregame_win_percentage,away_pregame_eFG,away_pregame_rebound_percentage,away_pregame_eFG_allowed,away_pregame_win_percentage
2020-02-22-17-texas-stateGeorgia State,2020-02-22-17-texas-state,"February 22, 2020","Strahan Coliseum, San Marcos, Texas",GEORGIA-STATE,Georgia State,Home,TEXAS-STATE,Texas State,Georgia State,TEXAS-STATE,GEORGIA-STATE,Texas State,Georgia State,2020-02-22-17-texas-stateTexas State,2020-02-22-17-texas-stateGeorgia State,,,,,0.5093590470788428,0.5023671751709626,0.4483282674772037,0.6428571428571429
2019-12-23-19-southern-methodistGeorgia State,2019-12-23-19-southern-methodist,"December 23, 2019","Moody Coliseum, Dallas, Texas",GEORGIA-STATE,Georgia State,Home,SOUTHERN-METHODIST,SMU,Georgia State,SOUTHERN-METHODIST,GEORGIA-STATE,Southern Methodist,Georgia State,2019-12-23-19-southern-methodistSouthern Methodist,2019-12-23-19-southern-methodistGeorgia State,,,,,0.5150429799426934,0.5052910052910053,0.4429012345679013,0.7272727272727273
2019-11-17-19-georgetownGeorgia State,2019-11-17-19-georgetown,"November 17, 2019","Capital One Arena, Washington, District of Columbia",GEORGIA-STATE,Georgia State,Home,GEORGETOWN,Georgetown,Georgia State,GEORGETOWN,GEORGIA-STATE,Georgetown,Georgia State,2019-11-17-19-georgetownGeorgetown,2019-11-17-19-georgetownGeorgia State,,,,,0.5210526315789473,0.5227272727272727,0.3945945945945946,0.3333333333333333
2020-02-06-20-louisiana-lafayetteGeorgia State,2020-02-06-20-louisiana-lafayette,"February 6, 2020","Cajundome, Lafayette, Louisiana",GEORGIA-STATE,Georgia State,Home,LOUISIANA-LAFAYETTE,Louisiana,Georgia State,LOUISIANA-LAFAYETTE,GEORGIA-STATE,Louisiana,Georgia State,2020-02-06-20-louisiana-lafayetteLouisiana,2020-02-06-20-louisiana-lafayetteGeorgia State,,,,,0.5119453924914675,0.5003166561114629,0.4484421364985163,0.6521739130434783
2020-02-20-20-texas-arlingtonGeorgia State,2020-02-20-20-texas-arlington,"February 20, 2020","College Park Center, Arlington, Texas",GEORGIA-STATE,Georgia State,Home,TEXAS-ARLINGTON,Texas-Arlington,Georgia State,TEXAS-ARLINGTON,GEORGIA-STATE,UT Arlington,Georgia State,2020-02-20-20-texas-arlingtonUT Arlington,2020-02-20-20-texas-arlingtonGeorgia State,,,,,0.5138643067846608,0.5013728720483251,0.4488313329121921,0.6666666666666666
2020-01-04-14-coastal-carolinaGeorgia State,2020-01-04-14-coastal-carolina,"January 4, 2020","The HTC Center, Conway, South Carolina",GEORGIA-STATE,Georgia State,Home,COASTAL-CAROLINA,Coastal Carolina,Georgia State,COASTAL-CAROLINA,GEORGIA-STATE,Coastal Carolina,Georgia State,2020-01-04-14-coastal-carolinaCoastal Carolina,2020-01-04-14-coastal-carolinaGeorgia State,,,,,0.5083426028921023,0.4974411463664278,0.43209134615384615,0.7142857142857143
2020-01-06-20-arkansas-stateGeorgia State,2020-01-06-20-arkansas-state,"January 6, 2020","Convocation Center, Jonesboro, Arkansas",GEORGIA-STATE,Georgia State,Home,ARKANSAS-STATE,Arkansas State,Georgia State,ARKANSAS-STATE,GEORGIA-STATE,Arkansas State,Georgia State,2020-01-06-20-arkansas-stateArkansas State,2020-01-06-20-arkansas-stateGeorgia State,,,,,0.5062111801242236,0.4985754985754986,0.4325529542920847,0.6666666666666666
2019-11-15-19-dukeGeorgia State,2019-11-15-19-duke,"November 15, 2019","Cameron Indoor Stadium, Durham, North Carolina",GEORGIA-STATE,Georgia State,Home,DUKE,Duke,Georgia State,DUKE,GEORGIA-STATE,Duke,Georgia State,2019-11-15-19-dukeDuke,2019-11-15-19-dukeGeorgia State,,,,,0.55,0.6277372262773723,0.39732142857142855,0.5
2020-02-28-19-georgia-stateGeorgia State,2020-02-28-19-georgia-state,"February 28, 2020","GSU Sports Arena, Atlanta, Georgia",GEORGIA-STATE,Georgia State,Away,GEORGIA-SOUTHERN,Georgia Southern,Georgia State,GEORGIA-SOUTHERN,GEORGIA-STATE,Georgia Southern,Georgia State,2020-02-28-19-georgia-stateGeorgia Southern,2020-02-28-19-georgia-stateGeorgia State,,,,,0.5115321252059308,0.50076726342711,0.4502050380785003,0.6206896551724138
2020-03-11-19-georgia-stateGeorgia State,2020-03-11-19-georgia-state,"March 11, 2020","GSU Sports Arena, Atlanta, Georgia",GEORGIA-STATE,Georgia State,Away,GEORGIA-SOUTHERN,Georgia Southern,Georgia State,GEORGIA-SOUTHERN,GEORGIA-STATE,Georgia Southern,Georgia State,2020-03-11-19-georgia-stateGeorgia Southern,2020-03-11-19-georgia-stateGeorgia State,,,,,0.5108135942327497,0.4992791926958193,0.4520775623268698,0.6129032258064516
2020-01-18-15-troyGeorgia State,2020-01-18-15-troy,"January 18, 2020","Trojan Arena, Troy, Alabama",GEORGIA-STATE,Georgia State,Home,TROY,Troy,Georgia State,TROY,GEORGIA-STATE,Troy,Georgia State,2020-01-18-15-troyTroy,2020-01-18-15-troyGeorgia State,,,,,0.5267558528428093,0.499612102404965,0.4350766456266907,0.6842105263157895
2020-02-01-14-georgia-stateGeorgia State,2020-02-01-14-georgia-state,"February 1, 2020","GSU Sports Arena, Atlanta, Georgia",GEORGIA-STATE,Georgia State,Away,TROY,Troy,Georgia State,TROY,GEORGIA-STATE,Troy,Georgia State,2020-02-01-14-georgia-stateTroy,2020-02-01-14-georgia-stateGeorgia State,,,,,0.5151187904967602,0.4986684420772304,0.4424124513618677,0.6818181818181818
2019-11-09-14-college-of-charlestonGeorgia State,2019-11-09-14-college-of-charleston,"November 9, 2019","TD Arena, Charleston, South Carolina",GEORGIA-STATE,Georgia State,Home,COLLEGE-OF-CHARLESTON,College of Charleston,Georgia State,COLLEGE-OF-CHARLESTON,GEORGIA-STATE,College of Charleston,Georgia State,2019-11-09-14-college-of-charlestonCollege of Charleston,2019-11-09-14-college-of-charlestonGeorgia State,,,,,0.6056338028169014,0.6329113924050633,0.2457627118644068,1.0
2019-11-30-17-texas-stateHartford,2019-11-30-17-texas-state,"November 30, 2019","Strahan Coliseum, San Marcos, Texas",HARTFORD,Hartford,Home,TEXAS-STATE,Texas State,Hartford,TEXAS-STATE,HARTFORD,Texas State,Hartford,2019-11-30-17-texas-stateTexas State,2019-11-30-17-texas-stateHartford,,,,,0.4888143176733781,0.4545454545454545,0.4741935483870968,0.5
2019-11-27-19-southern-methodistHartford,2019-11-27-19-southern-methodist,"November 27, 2019","Moody Coliseum, Dallas, Texas",HARTFORD,Hartford,Home,SOUTHERN-METHODIST,SMU,Hartford,SOUTHERN-METHODIST,HARTFORD,Southern Methodist,Hartford,2019-11-27-19-southern-methodistSouthern Methodist,2019-11-27-19-southern-methodistHartford,,,,,0.4885496183206106,0.4669509594882729,0.4535175879396985,0.5714285714285714
2019-12-31-12-bowling-green-stateHartford,2019-12-31-12-bowling-green-state,"December 31, 2019","Stroh Center, Bowling Green, Ohio",HARTFORD,Hartford,Home,BOWLING-GREEN-STATE,Bowling Green State,Hartford,BOWLING-GREEN-STATE,HARTFORD,Bowling Green State,Hartford,2019-12-31-12-bowling-green-stateBowling Green State,2019-12-31-12-bowling-green-stateHartford,,,,,0.4954486345903771,0.4511930585683297,0.4793939393939394,0.5
2020-01-18-14-vermontHartford,2020-01-18-14-vermont,"January 18, 2020","Roy L. Patrick Gymnasium, Burlington, Vermont",HARTFORD,Hartford,Home,VERMONT,Vermont,Hartford,VERMONT,HARTFORD,Vermont,Hartford,2020-01-18-14-vermontVermont,2020-01-18-14-vermontHartford,,,,,0.4920398009950249,0.4630705394190872,0.4710550887021475,0.5555555555555556
2020-02-08-19-hartfordHartford,2020-02-08-19-hartford,"February 8, 2020","Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,Away,VERMONT,Vermont,Hartford,VERMONT,HARTFORD,Vermont,Hartford,2020-02-08-19-hartfordVermont,2020-02-08-19-hartfordHartford,,,,,0.479182156133829,0.4625,0.46494334277620397,0.5416666666666666
2020-01-22-19-hartfordHartford,2020-01-22-19-hartford,"January 22, 2020","Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,Away,MARYLAND-BALTIMORE-COUNTY,UMBC,Hartford,MARYLAND-BALTIMORE-COUNTY,HARTFORD,Maryland-Baltimore County,Hartford,2020-01-22-19-hartfordMaryland-Baltimore County,2020-01-22-19-hartfordHartford,,,,,0.4896128423040605,0.4599524187153053,0.4765486725663717,0.5263157894736842
2020-02-05-19-maryland-baltimore-countyHartford,2020-02-05-19-maryland-baltimore-county,"February 5, 2020","UMBC Event Center, Baltimore, Maryland",HARTFORD,Hartford,Home,MARYLAND-BALTIMORE-COUNTY,UMBC,Hartford,MARYLAND-BALTIMORE-COUNTY,HARTFORD,Maryland-Baltimore County,Hartford,2020-02-05-19-maryland-baltimore-countyMaryland-Baltimore County,2020-02-05-19-maryland-baltimore-countyHartford,,,,,0.4825174825174825,0.4612860892388451,0.4637305699481865,0.5652173913043478
2020-02-20-19-new-hampshireHartford,2020-02-20-19-new-hampshire,"February 20, 2020","Lundholm Gymnasium, Durham, New Hampshire",HARTFORD,Hartford,Home,NEW-HAMPSHIRE,New Hampshire,Hartford,NEW-HAMPSHIRE,HARTFORD,New Hampshire,Hartford,2020-02-20-19-new-hampshireNew Hampshire,2020-02-20-19-new-hampshireHartford,,,,,0.4833997343957504,0.4608938547486034,0.4681388012618297,0.5185185185185185
2020-02-15-14-hartfordHartford,2020-02-15-14-hartford,"February 15, 2020","Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,Away,MASSACHUSETTS-LOWELL,UMass-Lowell,Hartford,MASSACHUSETTS-LOWELL,HARTFORD,Massachusetts-Lowell,Hartford,2020-02-15-14-hartfordMassachusetts-Lowell,2020-02-15-14-hartfordHartford,,,,,0.4793956043956044,0.4618035611717404,0.4653368214519293,0.5384615384615384
2019-11-24-14-hartfordHartford,2019-11-24-14-hartford,"November 24, 2019","Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,Away,MERRIMACK,Merrimack,Hartford,MERRIMACK,HARTFORD,Merrimack,Hartford,2019-11-24-14-hartfordMerrimack,2019-11-24-14-hartfordHartford,,,,,0.4885386819484241,0.4516908212560386,0.4492753623188406,0.6666666666666666
2020-03-03-19-hartfordHartford,2020-03-03-19-hartford,"March 3, 2020","Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,Away,MAINE,Maine,Hartford,MAINE,HARTFORD,Maine,Hartford,2020-03-03-19-hartfordMaine,2020-03-03-19-hartfordHartford,,,,,0.4816023738872404,0.4633663366336634,0.4596638655462185,0.5333333333333333
2019-12-08-14-hartfordHartford,2019-12-08-14-hartford,"December 8, 2019","Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,Away,SACRED-HEART,Sacred Heart,Hartford,SACRED-HEART,HARTFORD,Sacred Heart,Hartford,2019-12-08-14-hartfordSacred Heart,2019-12-08-14-hartfordHartford,,,,,0.4926873857404022,0.4489489489489489,0.4802744425385935,0.4
2019-11-07-19-hartfordHartford,2019-11-07-19-hartford,"November 7, 2019","Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,Away,WINTHROP,Winthrop,Hartford,WINTHROP,HARTFORD,Winthrop,Hartford,2019-11-07-19-hartfordWinthrop,2019-11-07-19-hartfordHartford,,,,,0.5535714285714286,0.4516129032258064,0.4711538461538462,1.0
2019-11-18-19-oaklandHartford,2019-11-18-19-oakland,"November 18, 2019","Athletics Center O'rena, Rochester, Michigan",HARTFORD,Hartford,Home,OAKLAND,Oakland,Hartford,OAKLAND,HARTFORD,Oakland,Hartford,2019-11-18-19-oaklandOakland,2019-11-18-19-oaklandHartford,,,,,0.5176991150442478,0.44565217391304346,0.4520833333333333,0.75
2019-12-05-19-hartfordHartford,2019-12-05-19-hartford,"December 5, 2019","Chase Family Arena, Hartford, Connecticut",HARTFORD,Hartford,Away,ST-FRANCIS-NY,St. Francis (NY),Hartford,ST-FRANCIS-NY,HARTFORD,St. Francis (NY),Hartford,2019-12-05-19-hartfordSt. Francis (NY),2019-12-05-19-hartfordHartford,,,,,0.4828282828282828,0.4528925619834711,0.4740384615384615,0.4444444444444444
2020-02-13-20-texas-stateLittle Rock,2020-02-13-20-texas-state,"February 13, 2020","Strahan Coliseum, San Marcos, Texas",ARKANSAS-LITTLE-ROCK,Little Rock,Home,TEXAS-STATE,Texas State,Little Rock,TEXAS-STATE,ARKANSAS-LITTLE-ROCK,Texas State,Little Rock,2020-02-13-20-texas-stateTexas State,2020-02-13-20-texas-stateLittle Rock,,,,,0.5279642058165548,0.5349288486416559,0.4932239657631954,0.72
2020-01-11-17-arkansas-little-rockLittle Rock,2020-01-11-17-arkansas-little-rock,"January 11, 2020","Jack Stephens Center, Little Rock, Arkansas",ARKANSAS-LITTLE-ROCK,Little Rock,Away,SOUTH-ALABAMA,South Alabama,Little Rock,SOUTH-ALABAMA,ARKANSAS-LITTLE-ROCK,South Alabama,Little Rock,2020-01-11-17-arkansas-little-rockSouth Alabama,2020-01-11-17-arkansas-little-rockLittle Rock,,,,,0.5110132158590308,0.5387523629489603,0.4978902953586498,0.6470588235294118
2019-11-20-20-memphisLittle Rock,2019-11-20-20-memphis,"November 20, 2019","FedExForum, Memphis, Tennessee",ARKANSAS-LITTLE-ROCK,Little Rock,Home,MEMPHIS,Memphis,Little Rock,MEMPHIS,ARKANSAS-LITTLE-ROCK,Memphis,Little Rock,2019-11-20-20-memphisMemphis,2019-11-20-20-memphisLittle Rock,,,,,0.5175438596491229,0.5732217573221757,0.4832535885167464,0.75
2019-11-23-13-north-carolina-stateLittle Rock,2019-11-23-13-north-carolina-state,"November 23, 2019","PNC Arena, Raleigh, North Carolina",ARKANSAS-LITTLE-ROCK,Little Rock,Home,NORTH-CAROLINA-STATE,NC State,Little Rock,NORTH-CAROLINA-STATE,ARKANSAS-LITTLE-ROCK,NC State,Little Rock,2019-11-23-13-north-carolina-stateNC State,2019-11-23-13-north-carolina-stateLittle Rock,,,,,0.5072202166064982,0.5533980582524272,0.470479704797048,0.6
2019-11-30-15-arkansas-little-rockLittle Rock,2019-11-30-15-arkansas-little-rock,"November 30, 2019","Jack Stephens Center, Little Rock, Arkansas",ARKANSAS-LITTLE-ROCK,Little Rock,Away,EAST-TENNESSEE-STATE,ETSU,Little Rock,EAST-TENNESSEE-STATE,ARKANSAS-LITTLE-ROCK,East Tennessee State,Little Rock,2019-11-30-15-arkansas-little-rockEast Tennessee State,2019-11-30-15-arkansas-little-rockLittle Rock,,,,,0.4739229024943311,0.5426944971537002,0.4567198177676538,0.625
2020-03-03-19-georgia-stateLittle Rock,2020-03-03-19-georgia-state,"March 3, 2020","GSU Sports Arena, Atlanta, Georgia",ARKANSAS-LITTLE-ROCK,Little Rock,Home,GEORGIA-STATE,Georgia State,Little Rock,GEORGIA-STATE,ARKANSAS-LITTLE-ROCK,Georgia State,Little Rock,2020-03-03-19-georgia-stateGeorgia State,2020-03-03-19-georgia-stateLittle Rock,,,,,0.5289359054138145,0.5264,0.4880396732788798,0.7
2020-02-15-15-texas-arlingtonLittle Rock,2020-02-15-15-texas-arlington,"February 15, 2020","College Park Center, Arlington, Texas",ARKANSAS-LITTLE-ROCK,Little Rock,Home,TEXAS-ARLINGTON,Texas-Arlington,Little Rock,TEXAS-ARLINGTON,ARKANSAS-LITTLE-ROCK,UT Arlington,Little Rock,2020-02-15-15-texas-arlingtonUT Arlington,2020-02-15-15-texas-arlingtonLittle Rock,,,,,0.5281588447653429,0.5301804604853765,0.4945392491467577,0.6923076923076923
2019-12-07-18-north-texasLittle Rock,2019-12-07-18-north-texas,"December 7, 2019","UNT Coliseum, Denton, Texas",ARKANSAS-LITTLE-ROCK,Little Rock,Home,NORTH-TEXAS,North Texas,Little Rock,NORTH-TEXAS,ARKANSAS-LITTLE-ROCK,North Texas,Little Rock,2019-12-07-18-north-texasNorth Texas,2019-12-07-18-north-texasLittle Rock,,,,,0.4814814814814815,0.5449826989619377,0.4673469387755102,0.5555555555555556
2019-11-10-16-illinois-stateLittle Rock,2019-11-10-16-illinois-state,"November 10, 2019","Redbird Arena, Normal, Illinois",ARKANSAS-LITTLE-ROCK,Little Rock,Home,ILLINOIS-STATE,Illinois State,Little Rock,ILLINOIS-STATE,ARKANSAS-LITTLE-ROCK,Illinois State,Little Rock,2019-11-10-16-illinois-stateIllinois State,2019-11-10-16-illinois-stateLittle Rock,,,,,0.5480769230769231,0.5555555555555556,0.5,1.0
2020-01-09-19-troyLittle Rock,2020-01-09-19-troy,"January 9, 2020","Trojan Arena, Troy, Alabama",ARKANSAS-LITTLE-ROCK,Little Rock,Home,TROY,Troy,Little Rock,TROY,ARKANSAS-LITTLE-ROCK,Troy,Little Rock,2020-01-09-19-troyTroy,2020-01-09-19-troyLittle Rock,,,,,0.518452380952381,0.5370558375634518,0.4943757030371204,0.6875
2020-01-16-20-louisiana-monroeLouisiana-Monroe,2020-01-16-20-louisiana-monroe,"January 16, 2020","Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,Away,TEXAS-STATE,Texas State,Louisiana-Monroe,TEXAS-STATE,LOUISIANA-MONROE,Texas State,Louisiana-Monroe,2020-01-16-20-louisiana-monroeTexas State,2020-01-16-20-louisiana-monroeLouisiana-Monroe,,,,,0.4863420427553444,0.5040816326530613,0.4883203559510567,0.375
2020-01-30-20-texas-stateLouisiana-Monroe,2020-01-30-20-texas-state,"January 30, 2020","Strahan Coliseum, San Marcos, Texas",LOUISIANA-MONROE,Louisiana-Monroe,Home,TEXAS-STATE,Texas State,Louisiana-Monroe,TEXAS-STATE,LOUISIANA-MONROE,Texas State,Louisiana-Monroe,2020-01-30-20-texas-stateTexas State,2020-01-30-20-texas-stateLouisiana-Monroe,,,,,0.4811133200795229,0.4931623931623932,0.4835526315789474,0.3157894736842105
2019-12-14-21-stephen-f-austinLouisiana-Monroe,2019-12-14-21-stephen-f-austin,"December 14, 2019","William Johnson Coliseum, Nacogdoches, Texas",LOUISIANA-MONROE,Louisiana-Monroe,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,Louisiana-Monroe,STEPHEN-F-AUSTIN,LOUISIANA-MONROE,Stephen F. Austin,Louisiana-Monroe,2019-12-14-21-stephen-f-austinStephen F. Austin,2019-12-14-21-stephen-f-austinLouisiana-Monroe,,,,,0.4858611825192802,0.525974025974026,0.4379562043795621,0.5714285714285714
2020-02-15-16-south-alabamaLouisiana-Monroe,2020-02-15-16-south-alabama,"February 15, 2020","Mitchell Center, Mobile, Alabama",LOUISIANA-MONROE,Louisiana-Monroe,Home,SOUTH-ALABAMA,South Alabama,Louisiana-Monroe,SOUTH-ALABAMA,LOUISIANA-MONROE,South Alabama,Louisiana-Monroe,2020-02-15-16-south-alabamaSouth Alabama,2020-02-15-16-south-alabamaLouisiana-Monroe,,,,,0.483399209486166,0.4946091644204852,0.483739837398374,0.2916666666666667
2019-12-10-20-louisiana-monroeLouisiana-Monroe,2019-12-10-20-louisiana-monroe,"December 10, 2019","Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,Away,GRAMBLING,Grambling,Louisiana-Monroe,GRAMBLING,LOUISIANA-MONROE,Grambling,Louisiana-Monroe,2019-12-10-20-louisiana-monroeGrambling,2019-12-10-20-louisiana-monroeLouisiana-Monroe,,,,,0.4824561403508772,0.5346534653465347,0.4320809248554913,0.6666666666666666
2019-11-11-20-texas-amLouisiana-Monroe,2019-11-11-20-texas-am,"November 11, 2019","Reed Arena, College Station, Texas",LOUISIANA-MONROE,Louisiana-Monroe,Home,TEXAS-AM,Texas A&M,Louisiana-Monroe,TEXAS-AM,LOUISIANA-MONROE,Texas A&M,Louisiana-Monroe,2019-11-11-20-texas-amTexas A&M,2019-11-11-20-texas-amLouisiana-Monroe,,,,,0.4869565217391305,0.6214285714285714,0.3968253968253968,1.0
2019-11-14-19-mississippi-stateLouisiana-Monroe,2019-11-14-19-mississippi-state,"November 14, 2019","Humphrey Coliseum, Starkville, Mississippi",LOUISIANA-MONROE,Louisiana-Monroe,Home,MISSISSIPPI-STATE,Mississippi State,Louisiana-Monroe,MISSISSIPPI-STATE,LOUISIANA-MONROE,Mississippi State,Louisiana-Monroe,2019-11-14-19-mississippi-stateMississippi State,2019-11-14-19-mississippi-stateLouisiana-Monroe,,,,,0.4882352941176471,0.5882352941176471,0.4194444444444445,0.6666666666666666
2019-12-19-20-louisiana-monroeLouisiana-Monroe,2019-12-19-20-louisiana-monroe,"December 19, 2019","Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,Away,ARKANSAS-LITTLE-ROCK,Little Rock,Louisiana-Monroe,ARKANSAS-LITTLE-ROCK,LOUISIANA-MONROE,Little Rock,Louisiana-Monroe,2019-12-19-20-louisiana-monroeLittle Rock,2019-12-19-20-louisiana-monroeLouisiana-Monroe,,,,,0.4930232558139535,0.5183752417794971,0.44396551724137934,0.5
2020-02-27-19-arkansas-little-rockLouisiana-Monroe,2020-02-27-19-arkansas-little-rock,"February 27, 2020","Jack Stephens Center, Little Rock, Arkansas",LOUISIANA-MONROE,Louisiana-Monroe,Home,ARKANSAS-LITTLE-ROCK,Little Rock,Louisiana-Monroe,ARKANSAS-LITTLE-ROCK,LOUISIANA-MONROE,Little Rock,Louisiana-Monroe,2020-02-27-19-arkansas-little-rockLittle Rock,2020-02-27-19-arkansas-little-rockLouisiana-Monroe,,,,,0.4839609483960948,0.4967513290017721,0.4771391247550621,0.3333333333333333
2020-03-03-20-louisiana-monroeLouisiana-Monroe,2020-03-03-20-louisiana-monroe,"March 3, 2020","Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,Away,APPALACHIAN-STATE,Appalachian State,Louisiana-Monroe,APPALACHIAN-STATE,LOUISIANA-MONROE,Appalachian State,Louisiana-Monroe,2020-03-03-20-louisiana-monroeAppalachian State,2020-03-03-20-louisiana-monroeLouisiana-Monroe,,,,,0.4812709030100335,0.4977324263038549,0.4776869893148963,0.32142857142857145
2020-01-11-14-georgia-stateLouisiana-Monroe,2020-01-11-14-georgia-state,"January 11, 2020","GSU Sports Arena, Atlanta, Georgia",LOUISIANA-MONROE,Louisiana-Monroe,Home,GEORGIA-STATE,Georgia State,Louisiana-Monroe,GEORGIA-STATE,LOUISIANA-MONROE,Georgia State,Louisiana-Monroe,2020-01-11-14-georgia-stateGeorgia State,2020-01-11-14-georgia-stateLouisiana-Monroe,,,,,0.4892541087231353,0.5069967707212056,0.475206611570248,0.4
2020-02-08-15-louisiana-monroeLouisiana-Monroe,2020-02-08-15-louisiana-monroe,"February 8, 2020","Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,Away,GEORGIA-STATE,Georgia State,Louisiana-Monroe,GEORGIA-STATE,LOUISIANA-MONROE,Georgia State,Louisiana-Monroe,2020-02-08-15-louisiana-monroeGeorgia State,2020-02-08-15-louisiana-monroeLouisiana-Monroe,,,,,0.4810017271157168,0.4966740576496674,0.4847144006436042,0.2727272727272727
2020-01-25-20-louisiana-lafayetteLouisiana-Monroe,2020-01-25-20-louisiana-lafayette,"January 25, 2020","Cajundome, Lafayette, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,Home,LOUISIANA-LAFAYETTE,Louisiana,Louisiana-Monroe,LOUISIANA-LAFAYETTE,LOUISIANA-MONROE,Louisiana,Louisiana-Monroe,2020-01-25-20-louisiana-lafayetteLouisiana,2020-01-25-20-louisiana-lafayetteLouisiana-Monroe,,,,,0.4857293868921776,0.4922937443336355,0.4817012858555885,0.3333333333333333
2020-01-18-15-louisiana-monroeLouisiana-Monroe,2020-01-18-15-louisiana-monroe,"January 18, 2020","Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,Away,TEXAS-ARLINGTON,Texas-Arlington,Louisiana-Monroe,TEXAS-ARLINGTON,LOUISIANA-MONROE,UT Arlington,Louisiana-Monroe,2020-01-18-15-louisiana-monroeUT Arlington,2020-01-18-15-louisiana-monroeLouisiana-Monroe,,,,,0.4904601571268238,0.5038684719535783,0.4832460732984293,0.35294117647058826
2020-02-01-15-texas-arlingtonLouisiana-Monroe,2020-02-01-15-texas-arlington,"February 1, 2020","College Park Center, Arlington, Texas",LOUISIANA-MONROE,Louisiana-Monroe,Home,TEXAS-ARLINGTON,Texas-Arlington,Louisiana-Monroe,TEXAS-ARLINGTON,LOUISIANA-MONROE,UT Arlington,Louisiana-Monroe,2020-02-01-15-texas-arlingtonUT Arlington,2020-02-01-15-texas-arlingtonLouisiana-Monroe,,,,,0.4776828110161444,0.4906882591093117,0.4795555555555556,0.3
2020-01-06-19-coastal-carolinaLouisiana-Monroe,2020-01-06-19-coastal-carolina,"January 6, 2020","The HTC Center, Conway, South Carolina",LOUISIANA-MONROE,Louisiana-Monroe,Home,COASTAL-CAROLINA,Coastal Carolina,Louisiana-Monroe,COASTAL-CAROLINA,LOUISIANA-MONROE,Coastal Carolina,Louisiana-Monroe,2020-01-06-19-coastal-carolinaCoastal Carolina,2020-01-06-19-coastal-carolinaLouisiana-Monroe,,,,,0.4956268221574344,0.526774595267746,0.4621733149931224,0.4615384615384616
2019-12-21-15-louisiana-monroeLouisiana-Monroe,2019-12-21-15-louisiana-monroe,"December 21, 2019","Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,Away,ARKANSAS-STATE,Arkansas State,Louisiana-Monroe,ARKANSAS-STATE,LOUISIANA-MONROE,Arkansas State,Louisiana-Monroe,2019-12-21-15-louisiana-monroeArkansas State,2019-12-21-15-louisiana-monroeLouisiana-Monroe,,,,,0.5052301255230126,0.5212014134275619,0.4598825831702544,0.4444444444444444
2019-12-28-16-butlerLouisiana-Monroe,2019-12-28-16-butler,"December 28, 2019","Hinkle Fieldhouse, Indianapolis, Indiana",LOUISIANA-MONROE,Louisiana-Monroe,Home,BUTLER,Butler,Louisiana-Monroe,BUTLER,LOUISIANA-MONROE,Butler,Louisiana-Monroe,2019-12-28-16-butlerButler,2019-12-28-16-butlerLouisiana-Monroe,,,,,0.5038240917782026,0.5176848874598071,0.4618117229129662,0.4
2020-01-09-19-georgia-southernLouisiana-Monroe,2020-01-09-19-georgia-southern,"January 9, 2020","Hanner Fieldhouse, Statesboro, Georgia",LOUISIANA-MONROE,Louisiana-Monroe,Home,GEORGIA-SOUTHERN,Georgia Southern,Louisiana-Monroe,GEORGIA-SOUTHERN,LOUISIANA-MONROE,Georgia Southern,Louisiana-Monroe,2020-01-09-19-georgia-southernGeorgia Southern,2020-01-09-19-georgia-southernLouisiana-Monroe,,,,,0.4932157394843962,0.5132641291810842,0.4759188846641318,0.42857142857142855
2020-02-06-20-louisiana-monroeLouisiana-Monroe,2020-02-06-20-louisiana-monroe,"February 6, 2020","Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,Away,GEORGIA-SOUTHERN,Georgia Southern,Louisiana-Monroe,GEORGIA-SOUTHERN,LOUISIANA-MONROE,Georgia Southern,Louisiana-Monroe,2020-02-06-20-louisiana-monroeGeorgia Southern,2020-02-06-20-louisiana-monroeLouisiana-Monroe,,,,,0.4756756756756757,0.4945987654320987,0.4847457627118644,0.2857142857142857
